rank	username	minecraft:picked_up/minecraft:crafting_table
171	Sral7	65
177	Flores991	64
177	NameGenerat0r	64
177	calamariclam_I	64
180	Cowison	63
180	Incinere	63
180	dopplexd	63
180	olliebollie48	63
180	ZoomieZoomie	63
180	annebolyn	63
186	Secret_Canary	62
186	Inchef	62
186	EngagedGrub41	62
189	_Karmaa	61
190	Sleepy_Evelyn	60
190	Zaridey	60
192	AJplaysMC_	59
192	Mr_Sun15	59
192	weabis	59
192	pretty_pink_reno	59
196	Zythose	58
197	2Stout	57
197	Razzgriz	57
197	non089	57
197	CalebDHawk	57
201	q_wq	56
201	_Nuf	56
201	Ecplosive	56
204	_Virify_	55
204	6king6colt6	55
204	Euclidoris	55
204	titanlax	55
204	0nly_sn1per	55
204	Nicky19	55
204	AuroraSkies	55
211	RebelAndroid	54
211	TheWildMateo	54
213	TheDankPlatypus	53
213	gangloot	53
213	Luigipunch989	53
216	Megarboh	52
216	Maenara	52
216	MovingFish7	52
216	IAmTheWalrus910	52
220	NieToksikpl	51
220	excelsionprime	51
220	StarCookiees_	51
223	Ryan_GEMS	50
223	MSK__	50
223	WyngGoy	50
226	Ssor69	49
226	hanaryheatwave	49
226	Tyrannosplart	49
229	FishyBoy3811	48
229	SingedBread	48
229	TheKingK_	48
229	_TCARREIRA_	48
229	2blox_	48
229	TheWickedBird	48
235	LexMakesHistory	47
235	obzii	47
237	4774	46
237	Felenov	46
237	Pumpkin_P_Patch	46
240	r123moore	45
241	AuroraValkyrie	44
241	Awyrlas	44
241	Lord_Jord	44
241	__tomato	44
241	FormulaNewt3627	44
241	Iamthejo	44
247	himak1	43
247	True_Clipse	43
247	fkGrim	43
247	Barlycorn	43
247	Decaying_Lotus	43
252	NatalieTW	42
252	Ze_BaronKrigler	42
252	voiding_	42
252	SSytex_X	42
256	abdomera	41
256	Malorn_Aetherius	41
256	prizm_	41
259	j5ylim	40
259	elicobnoah	40
259	Fuhrer_Teemo	40
259	Druid95	40
259	taengoos	40
264	Tommhh	39
264	_Razaria	39
264	MoistMicrowave	39
264	Jackster03	39
264	SteveCraftBlocks	39
264	hcb238	39
264	XboxPanda	39
264	andy_rex	39
264	Samificator	39
264	parodypatient	39
264	Lord_Zacler	39
264	The_slideV3	39
264	ediballbearings	39
277	F_Uhre	38
277	wobn	38
277	BumbleBeever	38
277	Vorlice	38
277	BiggieDawg	38
282	Crowman1	37
282	Cortexia	37
282	shadowthemonkey	37
282	Deerfoot	37
282	Kyrum2169	37
287	ciemacigans	36
287	crashomon	36
287	AlphaWolfPlaysMC	36
287	masskedman	36
287	CattSoup	36
292	CliffEmAll	35
292	Guillemet	35
292	Nach0Bear	35
292	thgrocks	35
292	layabout100	35
292	Burge_r	35
292	jaimshae	35
292	Njensen7	35
292	cichy096	35
