rank	username	minecraft:picked_up/minecraft:lectern
114	Blu3beast	47
115	CoffeeNoir	45
115	ivorico	45
115	Fullut	45
115	xo_Marren_xo	45
115	EcksDofficial	45
120	Lez_	44
120	sp00ky_ghost977	44
122	Motsaro	42
123	FreddyFart	39
124	andy_rex	36
125	MunkaKris	35
125	ProfessorBee	35
127	Zaridey	33
128	ROY4LE	32
128	Zythose	32
130	Bolete	29
131	NYJ	28
131	Soul_Atreus	28
131	_AAZAR	28
134	FishyBoy3811	26
135	Steelynan	25
136	Hiryu27	24
137	Snowflowe	23
137	ClemenPine	23
137	Frozil12	23
137	csendeslol	23
141	FujiBS	22
141	Guillemet	22
141	thewindmillman	22
141	lordpipe	22
141	stavgod	22
146	_Dean_123	21
146	emrekn	21
146	lillips	21
149	Harotio	20
149	Blackberry1310	20
149	burbankbuilder28	20
149	djancak	20
153	Hyugo	19
153	fluddd	19
155	Dedalus36	18
155	Smashic	18
155	Inchef	18
155	CharlieButt	18
155	pappaberg	18
160	Merv__	17
160	Maenara	17
160	JESS_THE_RERE	17
163	ImpavidArcher	16
163	Inbefour	16
165	loveseeker	15
166	jcool7	14
167	TooManyDuck	13
167	theonlymagikarp	13
167	jewbacaman	13
167	jnp_gaming	13
171	SteveCraftBlocks	12
171	El_Jalapeno	12
171	ItzWqlfy	12
171	SvenskaHugo	12
171	EcksD	12
176	6king6colt6	11
176	ShedJr_	11
176	eiC_	11
176	_Karmaa	11
176	Dusk_95	11
176	BreadBacon	11
182	Huwulling	10
182	JoCoLi	10
184	Bandito_Roamer	9
184	AuroraValkyrie	9
184	numbra	9
184	H72l9w	9
184	rarrq	9
184	xxPipperDipperxx	9
184	Factoroni	9
184	Ze_BaronKrigler	9
192	Groovy_MoonBird	8
192	Onennon	8
192	Akoot_	8
192	GravitySaint	8
192	Warlord324	8
192	minekou	8
192	PortlyPete69	8
192	DennyKai	8
192	anbbang	8
201	Hpdinosaur	7
201	masskedman	7
201	Lord_Zacler	7
201	Xclax101	7
201	ediballbearings	7
201	Nicserso	7
201	Enderslayerxz3	7
208	Swexti	6
208	CliffEmAll	6
208	m_be9	6
208	UncreativeArtist	6
208	SuperPooch06	6
208	SammiWolfGirl	6
208	Dogcorn69420	6
215	teslawolf38	5
215	KingFaenor	5
215	dante_francesco	5
215	Smokydv	5
215	Jackattack53	5
215	whoaluv	5
215	Kim_Jong_eel	5
215	audiocracked	5
215	MyNameIsDakar	5
215	UCP_TheKingK	5
215	Eczbek	5
215	Vellu21	5
215	cichy096	5
215	Powowowow	5
229	jiggywraps	4
229	Megarboh	4
229	BlueZabu	4
229	Skylord_Luke	4
229	_Bguette_	4
229	stahouo	4
229	HesDemonPants	4
236	PhantomsGhost_	3
236	fanofbands101	3
236	fr0stss	3
236	Euclidoris	3
236	titanlax	3
236	2Stout	3
236	Windo_licker	3
236	AnnieBathory	3
236	Kokeech	3
236	XxCookiequeenxX	3
236	DemTechAlpha	3
236	NotMeowMix	3
236	WyngGoy	3
236	CSG_Haru	3
236	MissCeleste7	3
251	prodby_Lyka	2
251	Jovaphobic	2
251	Qennny	2
251	RoskobiOne	2
251	The_Dark_One_00	2
251	bigstankyy	2
251	DinoDoctor_	2
251	KomputerDude	2
251	Ssor69	2
251	DirtyDalle	2
251	SirDoctorAllonsy	2
251	bloodbiter	2
251	12Magner05	2
251	Enigma0251	2
251	Scattman_	2
251	Tmb1	2
251	Mewar	2
251	SHAOBADMAN	2
251	M_Patata	2
251	gabriels543	2
251	Chromary	2
251	_8man	2
251	MangoTheFish	2
251	kars0n	2
251	Hoid_the_Roamer	2
251	Rebytre	2
251	Drewen24	2
251	wezzzi	2
251	NomadicRobin_	2
251	Gryglu583	2
251	MinuteMira	2
251	godipose	2
251	Quaintster	2
251	MAns_44	2
251	MustaLoordi	2
251	MakeHistory157	2
251	Kijiki	2
251	lcvezra	2
251	PlzNoBM	2
251	MilleGrug	2
251	Njensen7	2
251	FelixPSY375	2
251	Lowjinx	2
251	Zoeyfortnite	2
251	Calbo_	2
251	00000000-0000-0000-0009-01ff0c3e5e4f	2
297	Thaumatarge	1
297	heysushii	1
297	Paint	1
297	Sleek_Storm_721	1
