rank	username	minecraft:picked_up/minecraft:end_rod
267	MyNamaSheff	5
281	soundad	4
281	I_Am_Mushkin	4
281	_Razar	4
281	TheMaster972	4
281	Smashic	4
281	PegLegPete93	4
281	__TheNorseMan__	4
281	nitram49b	4
281	ToastedGamingYT	4
281	theofiel	4
281	Lord_Jord	4
281	fkGrim	4
281	chipklip	4
281	Nnuma	4
281	ItzWqlfy	4
281	SingedBread	4
281	Vegvisir	4
281	ItsJWolff	4
281	WyngGoy	4
281	Strangemonkey71	4
