rank	username	minecraft:picked_up/minecraft:iron_door
190	fr0stss	4
190	eviltunix	4
190	DermeinUser	4
190	TheDankPlatypus	4
190	CaptainSteve345	4
190	_Boipl_	4
190	dezxalo	4
190	Jimi7hits	4
190	ADEXTV	4
190	Lord_Zacler	4
190	Russiancat1	4
190	Syropatathe	4
190	sufjanlover	4
190	The_slideV3	4
190	Vorlice	4
190	iSammael	4
190	UCP_TheKingK	4
190	xzvu	4
190	Professor_x8	4
190	obzii	4
190	Hermanni__	4
219	Jovaphobic	3
219	MuffinManzz	3
219	NatalieTW	3
219	TildaAndrea	3
219	I_Am_Mushkin	3
219	TooManyDuck	3
219	Alteriity	3
219	Natty	3
219	tsohomie	3
219	_Nuf	3
219	PegLegPete93	3
219	supernecessary	3
219	VanJosh	3
219	olliebollie48	3
219	M_Patata	3
219	ZeroAbyssTTV	3
219	MyNameIsJobo	3
219	WET_WET_WET	3
219	Skylord_Luke	3
219	Voxin2K	3
219	The11thDoctor	3
219	ooga47	3
219	Dragonlfw	3
219	Austinizzle	3
219	Klerick	3
219	Inbefour	3
219	Living_Storms	3
219	_Bguette_	3
219	LexMakesHistory	3
219	MS_Pryxx	3
219	Toriankel	3
219	SkateboardR6	3
219	_Ruzeeq_	3
219	Soul_Atreus	3
219	Shin69	3
219	SvenskaHugo	3
219	ReyTheLegend	3
219	RealGroot	3
219	Ir0npack	3
219	Nargotah	3
219	MilleGrug	3
260	_Huge_Male_	2
260	PhantomsGhost_	2
260	Harotio	2
260	soundad	2
260	SmashingPump	2
260	Killercatty78	2
260	Gundam_Steven	2
260	SyntheticSurgeon	2
260	ITDV	2
260	gaziter10	2
260	FirsTimeGamingTV	2
260	jacxhadow	2
260	Fullut	2
260	groggregg42	2
260	NotMeanttoChange	2
260	NotTrixi	2
260	NoxxxxiS	2
260	eiC_	2
260	swag_bro2004	2
260	Marbz_	2
260	whoaluv	2
260	Hoid_the_Roamer	2
260	Donutt	2
260	FishyBoy3811	2
260	groofles	2
260	SaintJosie	2
260	parodypatient	2
260	Blamphe	2
260	NomadicRobin_	2
260	Deathkob	2
260	Meatlaugh	2
260	Dooinfe	2
260	SlinkyPinky	2
260	weabis	2
260	El_Jalapeno	2
260	splatterhawk	2
260	fluddd	2
260	Ashton1242	2
260	Typadopoulos	2
260	Matorz	2
260	NotMeowMix	2
