rank	username	minecraft:picked_up/minecraft:diamond_shovel
161	djancak	5
161	SSytex_X	5
161	Ezekson	5
161	Enderxz3	5
161	HesDemonPants	5
191	Apollo_993	4
191	Yatitay	4
191	gren_ben	4
191	BlancoFlaco	4
191	Ryker	4
191	gaziter10	4
191	oreee	4
191	Euclidoris	4
191	NotMeanttoChange	4
191	XboxPanda	4
191	Kakolbus	4
191	Rumpletaezer	4
191	Queen_Jalapeno	4
191	Arceus1975	4
191	AnnieBathory	4
191	Bumpy419	4
191	Hiryu27	4
191	The11thDoctor	4
191	Cruncy_	4
191	Truckoss	4
191	KartivGal	4
191	KeruNatsema	4
191	PuFY	4
191	Wowful	4
191	Deathkob	4
191	AspenLightVT	4
191	emreknugrlu	4
191	Shogunite	4
191	mafiKiwi	4
191	GravitySaint	4
191	monky_irl	4
191	Kura2218	4
191	Strangemonkey71	4
191	MustardSquid	4
191	_i_ERROR_i_	4
191	K_a__a_n	4
191	Kubeusz2010	4
191	Nicserso	4
191	vandmanden	4
191	satuern	4
191	h2p_emrld	4
191	00000000-0000-0000-0009-01ff0c3e5e4f	4
233	Mr_Byzantine	3
233	Mowelan	3
233	BadenStayFly	3
233	SaphLaseer	3
233	SmashingPump	3
233	KarlKaek	3
233	jimbo61101jr	3
233	BoraMC	3
233	lorywithay	3
233	SOA1RR	3
233	Myszoaz	3
233	Notta	3
233	Cryptacity	3
233	Comma__	3
233	500am	3
233	intropass	3
233	Xalithia	3
233	Stiar	3
233	fallingemma	3
233	crashomon	3
233	mariominejedi	3
233	legal_tax_evader	3
233	CarltheCuck	3
233	whoaluv	3
233	Zythose	3
233	impossibleteapot	3
233	Eczbox	3
233	guiltybastard	3
233	Hoid_the_Roamer	3
233	Donutt	3
233	k1ngGilgamesh	3
233	Wouttke	3
233	Kynigito	3
233	PaperCanvas	3
233	Y_A_N_N_I	3
233	IamCL4SSY	3
233	Nicky19	3
233	FreddyFart	3
233	Inbefour	3
233	JonnyBeesh	3
233	_Karmaa	3
233	ewpunk	3
233	blackeemperor	3
233	censorsheep	3
233	Cyntrical	3
233	Hisiste	3
233	_Meow_Mix	3
233	IAmTheWalrus910	3
233	FiguraDei	3
233	layabout100	3
233	miramyu	3
233	SammiWolfGirl	3
233	xof_on_microwave	3
233	jcool7	3
233	Quotary	3
233	PlasticOtari	3
289	Lepthymo	2
289	Thaumatarge	2
289	MuffinManzz	2
289	seanitoo	2
289	_Virify_	2
289	MixerDixer	2
289	CueMix	2
289	Cowison	2
289	ItsColin11	2
289	AuroraValkyrie	2
289	shineh10	2
289	q_wq	2
