rank	username	minecraft:picked_up/minecraft:prismarine_crystals
197	Quotary	35
200	FirsTimeGamingTV	34
200	_TCARREIRA_	34
202	seanitoo	33
202	TheSecondLord	33
202	Donutt	33
202	YungWali	33
202	Razzgriz	33
202	Spenduh	33
208	set67	32
209	Krowuss	31
209	djancak	31
211	CLG_Kata	30
211	Koffeeinz	30
213	blackeemperor	29
213	ItsDeltaMC	29
215	Jamstroxian	28
215	mihimihimihi	28
217	benediktine1	27
218	crying_wolf_13	26
218	PoogersLejit	26
218	Galactic_Badger	26
218	UrbanPlanningEx	26
218	Biites	26
218	00000000-0000-0000-0009-01fe065167f0	26
224	SpartanNamor	25
224	mwrty	25
224	lorpus	25
224	brofrickcheaters	25
224	xzvu	25
229	Vellu21	24
230	Natty	23
230	MattieHD	23
230	pumpfonzo	23
230	Focat	23
230	DarlaMeow	23
230	NameGenerat0r	23
230	JayToe	23
237	NinjaKnifeKill	22
237	Flapjacker687	22
237	thgrocks	22
237	ZeaBaron	22
237	jnp_gaming	22
242	k_ce	21
242	SingedBread	21
242	PortlyPete69	21
242	ProbsNotNova	21
246	Euclidoris	20
246	Z3braYTIL	20
246	Xalithia	20
246	Arceus1975	20
246	Azmodan_246	20
246	r3xy1	20
246	KeruNatsema	20
253	_Nuf	19
253	slkiey	19
253	Skylord_Luke	19
253	Iamthejo	19
257	JohnnyFyes	18
257	RoskobiOne	18
257	PazinGaming	18
257	MrKrabOnCoke	18
257	LAVA124	18
257	00000000-0000-0000-0009-01fc3bb26159	18
263	dimondking777	17
263	Prismyst	17
263	bl1ss0	17
263	_Mythic____	17
263	MysticalKitty139	17
268	MyMawgDonaldsGon	16
268	MSK__	16
268	aluminumhelmet	16
268	pr33tu	16
268	olliebollie48	16
268	Kubelz	16
268	AnnieBathory	16
268	censorsheep	16
268	bloomkieren	16
277	gary_	15
277	Minimize501	15
277	Prodiginus	15
277	fkGrim	15
277	Meatlaugh	15
277	Eczbek	15
283	fanofbands101	14
283	nattybears	14
283	Btabtab	14
283	ougstur	14
283	Lord_Jord	14
283	ConnorTG5	14
283	plato2066	14
283	Moetis	14
291	Iagoku	13
291	Literally_Rat	13
291	WWWWMWWWWWWWWWWW	13
291	legal_tax_evader	13
291	Onennon	13
291	Samificator	13
291	teakings	13
298	Bandito_Roamer	12
298	dudcreeper	12
298	ECstardust	12
