rank	username	minecraft:picked_up/minecraft:rotten_flesh
141	Maenara	1251
142	h2p_emrld	1248
143	Rebytre	1243
144	NoChumpChange	1233
145	Skylord_Luke	1230
146	F_Uhre	1227
147	Inchef	1226
148	whoaluv	1225
149	Racengan	1212
150	Blu3beast	1193
151	NatalieTW	1189
152	masskedman	1186
153	NATE_the_HALO	1182
154	Mattesco	1180
155	Sral7	1176
156	Eczbek	1164
157	KingMatthew506	1160
158	q_wq	1159
159	Crowman1	1157
160	Zoeyfortnite	1153
161	Alteriity	1151
162	Luigipunch989	1150
163	fade_emerge78823	1149
164	tuckerdoodle	1127
165	Groovy_MoonBird	1119
166	Dogcorn69420	1116
167	youhjjhhhjj	1115
168	JESS_THE_RERE	1104
169	diggydog67	1096
170	CLG_Kata	1087
171	thebaddruid	1081
172	Dakar_	1077
173	jnp_gaming	1075
174	Chromary	1071
175	pappaberg	1062
175	ProfessorDiaper	1062
177	bloodbiter	1059
178	wezzzi	1049
179	Sleek_Storm_721	1048
180	non089	1040
181	TheBananaKat	1030
182	Ryan_GEMS	1028
183	FishyBoy3811	1021
184	ProfessorBee	1019
185	Wowful	1011
186	stavgod	1004
187	burbankbuilder28	987
188	Sheldor097	986
189	platinumzero	970
190	obzii	965
191	AstreaTSS	963
192	Warlord324	951
193	_Dean_123	937
194	Inbefour	934
195	RadarHz	933
196	Hermanni__	931
197	calamariclam_I	919
198	Onennon	911
199	I_Am_Mushkin	900
200	yheece	898
201	ApophisNova	886
201	MyNamaSheff	886
203	Soap_Bender	880
204	Njensen7	860
205	Xclax101	857
206	Fizznut909	844
207	Leyna3	834
208	IamCL4SSY	831
209	Xalithia	829
209	ItsDeltaMC	829
211	MineMaster0012	819
212	lillips	814
213	vandmanden	808
214	Comma__	807
215	TheSeismicDuck	802
216	ItsHydroMC	801
217	ShedJr_	793
217	StarCookiees_	793
219	Kamflame10	791
220	bigstankyy	774
220	BlancoFlaco	774
222	corvidpartyfor6	771
223	lcvezra	752
224	Burge_r	748
225	Quincannon	747
226	SuperPooch06	741
227	Kyrum2169	740
228	SyntheticSurgeon	739
229	fr0stss	734
230	mariominejedi	730
230	Iamthejo	730
232	Hahaa_0	727
232	IdeallyGrey	727
234	JohnPrice	722
235	Covalents	720
236	LeonelSalamanca	719
237	laron58	714
238	TooManyDuck	710
239	CoffeeNoir	709
240	TheDankPlatypus	704
241	_TCARREIRA_	703
242	H72l9w	702
243	AlexxO_o	701
244	Hoid_the_Roamer	698
245	EngagedGrub41	691
246	fluddd	689
247	StinkyDiplomat	682
248	wwwwinnebagoooo	681
249	Nicky_H225	678
250	jushykins	674
251	mwrty	673
251	CalebDHawk	673
253	ECstardust	656
253	Myszoaz	656
255	MoistMicrowave	647
256	Kubelz	633
257	KarlKaek	629
258	JayToe	625
259	fanofbands101	624
260	Krowuss	619
261	FishisTTV	614
262	UrbanPlanningEx	611
263	RatatJuice	609
264	censorsheep	607
265	Kkanot	603
265	DarlaMeow	603
267	tartanboy	596
267	00000000-0000-0000-0009-01ff0c3e5e4f	596
269	Secret_Canary	593
270	lizardfightclub	588
270	07shiny	588
272	soundad	587
273	Luminad3	574
274	NameGenerat0r	571
275	teslawolf38	567
276	smogfrog	563
277	_Meow_Mix	560
278	jcool7	559
279	Deodorante	557
279	SingedBread	557
281	PuFY	556
282	zToasty69z	555
283	HesDemonPants	554
284	DarkS0L	553
285	LordSpeed37	552
286	SSytex_X	550
287	cedric72	546
288	Jonafrog99	544
289	fw3xy74	540
290	BumbleBeever	539
291	TheTrueClipse	533
292	SquadMonster	531
292	starbits140	531
294	legal_tax_evader	530
295	_i_ERROR_i_	529
295	PlzNoBM	529
297	shadowthemonkey	527
298	weabis	524
298	Airem_Core	524
300	fkGrim	522
