rank	username	minecraft:picked_up/minecraft:cocoa_beans
93	00000000-0000-0000-0009-01ff0c3e5e4f	250
94	Crowman1	249
95	Karbl	248
96	hanaryheatwave	237
97	diamondgolem35	227
98	Ssor69	225
99	jessemgaming	224
100	T045RTY	219
101	Werbe	216
102	titanlax	213
103	Deerfoot	199
104	_Virify_	198
105	DarlaMeow	193
105	jcool7	193
107	UrbanPlanningEx	192
108	sp00ky_ghost977	188
108	smogfrog	188
110	MousePlays	186
111	Bandito_Roamer	180
111	jacxhadow	180
113	LilLizardWizard	176
114	legal_tax_evader	175
115	M_Patata	174
115	TakeThis2UrGrave	174
115	MasterNueve	174
118	fluddd	172
119	Xclax101	169
120	NATE_the_HALO	168
121	RadarHz	165
122	bladeefan2009	163
123	ItsAki_	162
124	cichy096	161
125	Cats_Fly	159
126	KeruNatsema	154
127	SvenskaSara	152
128	Kakolbus	145
129	__tomato	142
130	LordSpeed37	141
131	ese_wn_po	138
132	starbits140	137
132	jnp_gaming	137
134	KASAN420	134
135	Kubelz	132
136	Chaotic1s	129
137	_Karmaa	128
137	Lord_Doob	128
139	heckface	126
140	binman420	119
141	SaucyDark	114
142	hollowww	113
143	Eraxa	111
143	djancak	111
145	Kamflame10	109
146	Winklepicker279	108
146	thgrocks	108
146	BreadBacon	108
149	teslawolf38	107
150	IWorkAtIkea	106
150	Cryptacity	106
150	Steelynan	106
153	capn__crunch	105
153	mwrty	105
155	WET_WET_WET	102
156	eitanzaki	96
156	TheSeismicDuck	96
158	Valoth	93
159	shyshyannne	90
160	MattieHD	88
161	Cocoamallows	86
162	Yahrto	84
163	MakeHistory157	82
164	Xalithia	81
165	Hiryu27	78
165	_Bguette_	78
167	intropass	76
168	SaintJosie	74
169	Prodiginus	72
169	PigDab	72
169	NomadicRobin_	72
172	Alteriity	66
172	Quaintster	66
172	Blu3beast	66
175	MovingFish7	65
176	xzvu	64
177	FazeObama69	63
178	babycamm	61
178	lordpipe	61
180	Eraza	60
180	cedric72	60
180	StinkyDiplomat	60
183	AlexxO_o	59
184	SSytex_X	58
185	TAKrules	57
185	Moofyman	57
187	pixelviolin	56
188	ThiccExotic	55
188	Deathkob	55
188	EngagedGrub41	55
191	CaptainDeadBread	54
191	Jiminbub	54
191	LargeCarl	54
191	Zoeyfortnite	54
195	TheALV	52
196	ShedJr_	51
197	Kynigito	50
197	claivin	50
199	dopplexd	49
199	Donutt	49
201	Skylord_Luke	48
201	Lekol	48
201	Ashton1242	48
204	Esme_1	46
204	Bumpy419	46
206	set67	45
206	Yirtle	45
206	TylerDupree	45
206	Zaridey	45
206	Nycteus_	45
211	trexgb	44
212	AuroraValkyrie	40
213	BronkerBrum	39
213	JayToe	39
215	AlexStrange	38
215	natajimi	38
217	corvidpartyfor6	37
217	Soul_Atreus	37
219	123louis456	36
219	ImpavidArcher	36
219	bbrothers_5	36
219	Secret_Canary	36
219	TheDiamondCG	36
219	PegLegPete93	36
219	KingEgg1	36
219	sxc_	36
219	ZoomieZoomie	36
228	MyNameIsJobo	35
228	XxCookiequeenxX	35
230	theofiel	34
231	funeralhome	33
231	BlancoFlaco	33
231	MLG_Kirby69	33
231	PeteO1995	33
231	RefluxRatio	33
231	HELLO_I_AM_BEAR	33
231	WhyTho_1	33
238	Vetral1	32
239	Kim_Jong_eel	31
239	monky_irl	31
241	TooManyDuck	30
241	youhjjhhhjj	30
241	ITDV	30
241	dream_mist	30
241	purpolepickle	30
241	Smussa	30
241	Toiton	30
241	Dusk_95	30
249	CryoInferno_	28
249	Comma__	28
251	Killercatty78	27
251	AngalexikCZ	27
251	epiksk8erduck	27
251	krutas2000	27
251	LeeMcGee30	27
256	Lukeee33	26
256	cog	26
258	301851	25
258	Dabatha	25
260	H72l9w	24
260	m_be9	24
260	Bazongoman	24
260	RobotMinion101	24
264	Notta	23
264	Kukkelikuk	23
264	GlitchyPlate810	23
267	q_wq	22
267	imNP	22
267	Soplight	22
267	xolstoi	22
271	peachfuzz1267	21
271	dudcreeper	21
271	EMC_	21
271	12Magner05	21
271	PartyPhoenix	21
271	FlashMigma	21
271	Hisiste	21
271	trashmammals	21
271	Skippeh	21
280	RoskobiOne	20
280	lorpus	20
280	wTXop	20
280	Hoid_the_Roamer	20
280	BRRRN179	20
285	mimbo1211	19
286	_Nuf	18
286	Inchef	18
286	unren	18
286	Maenara	18
286	Bismarck_KMS	18
286	sq0id	18
286	Optiprimus	18
286	underscore_2	18
294	DanTheBuilderino	17
295	Creativebuilder2	16
295	ougstur	16
295	Jimb0nat0r	16
298	ZaneABrain	15
298	QuiCreans	15
298	zemey	15
