rank	username	minecraft:picked_up/minecraft:end_stone_bricks
109	ImpavidArcher	82
109	SellyZ	82
109	Dusk_95	82
112	TooManyDuck	80
112	Touched_Bread	80
114	fluddd	77
114	MovingFish7	77
114	Winston_Ingram	77
117	NotMeowMix	76
118	UrbanPlanner1978	75
119	epiksk8erduck	68
119	RoboTramp7865	68
121	KarlKaek	66
121	TheSeismicDuck	66
123	Xclax101	65
124	Rumpletaezer	63
124	EveryonesUncle	63
126	Rasmanden	59
127	Spacewardharpy7	58
128	jushykins	55
128	VentiHilton	55
130	_Bguette_	53
131	Hpdinosaur	52
131	kekhon	52
131	Skippeh	52
134	Myszoaz	51
135	Zythose	50
136	HesDemonPants	48
137	Inchef	47
138	33sudo	46
139	SvenskaHugo	41
140	Dedalus36	40
140	DTwenty	40
142	pappaberg	39
143	JayToe	38
144	Houstonion	37
144	Quotary	37
146	Zaridey	36
147	MinttyFressh	31
147	mariominejedi	31
149	Zoeyfortnite	30
150	MangoTheFish	29
150	LeGold	29
150	Sky_light_KING	29
150	Eczbek	29
154	Donutt	28
154	Afinnity	28
154	Akoot_	28
154	layabout100	28
158	Gab4101	27
158	kinas45y5	27
160	T045RTY	26
160	EcksDofficial	26
162	__TheNorseMan__	25
162	Snowflowe	25
162	AlexxO_o	25
162	_Karmaa	25
166	501g	24
166	Sheldor097	24
168	MAns_44	23
169	ItsJWolff	22
169	Powowowow	22
171	BodaciousCake	21
172	shyshyannne	19
172	SwooshBoi	19
172	TheDumbHuman	19
175	SpaceGrenadier	18
175	LazySupport00	18
175	vandmanden	18
178	ssleepless	17
178	Kakolbus	17
178	TheTrueClipse	17
178	Warlord324	17
178	Segotep999	17
183	Ezekson	16
183	oxfordschool	16
185	SaucyDark	15
185	_Razar	15
185	Deodorante	15
185	Quincannon	15
185	Nycteus_	15
190	crying_wolf_13	14
190	loveseeker	14
190	LilyNova	14
190	fkGrim	14
190	djancak	14
195	rarrq	13
195	xxPipperDipperxx	13
195	lillips	13
195	Barlycorn	13
195	SkateboardR6	13
200	FishyBoy3811	12
200	Razzgriz	12
200	FishisTTV	12
203	CoffeeNoir	11
203	John6970	11
203	wwwwinnebagoooo	11
206	Incinere	10
206	zorin123	10
206	fw3xywashere	10
206	SingedBread	10
206	ElectricDragon81	10
206	stavgod	10
206	ayamefag	10
206	KG1999	10
206	Fizznut909	10
206	microcrisp	10
206	diggydog67	10
217	Whiterooster001	9
217	TheDankPlatypus	9
217	ReyTheLegend	9
220	MixerDixer	8
220	Merv__	8
220	ExtraDumb	8
220	SailiXX	8
220	Nagasaki_Riku	8
220	Strangemonkey71	8
220	Soplight	8
220	tartanboy	8
228	Avermu	7
228	GoigeFZ	7
228	ApophisNova	7
228	wezzzi	7
228	MyNamaSheff	7
233	CollinMH06	6
233	Hyp3rion_	6
233	domagawha	6
233	MrQuanQuan	6
233	lordpipe	6
233	CalebDHawk	6
233	2blox	6
240	_Nuf	5
240	ToastedGamingYT	5
240	_k2x	5
240	geekbird	5
240	Physics_Breaker	5
245	teslawolf38	4
245	joethahobo	4
245	Motsaro	4
245	theonlymagikarp	4
245	_naturell	4
245	ClemenPine	4
245	Spenduh	4
245	stellarjay	4
245	ProbsNotNova	4
254	Groovy_MoonBird	3
254	dabloons	3
254	livingdaydreams	3
254	Swexti	3
254	JuuustYeet	3
254	XboxPanda	3
254	M_Patata	3
254	Karbl	3
254	Quaintster	3
254	BumbleBeever	3
254	MasterNueve	3
254	__tomato	3
266	itburb	2
266	hm947	2
266	wickedword	2
266	FirsTimeGamingTV	2
266	Megarboh	2
266	himak1	2
266	eviltunix	2
266	Xalithia	2
266	SamZombie	2
266	TheWildMateo	2
266	CruncyIsTaken	2
266	1442	2
266	FlashMigma	2
266	GravitySaint	2
266	Teserox	2
266	WyngGoy	2
266	Eraxa	2
266	voiding_	2
266	PortlyPete69	2
266	xof_on_microwave	2
266	anbbang	2
287	RebelAndroid	1
287	Batman922	1
287	Seyaboy	1
287	egglapras	1
287	ooga47	1
287	bpmm	1
287	Fuhrer_Teemo	1
287	DemTechAlpha	1
287	iHuntWeeaboos	1
287	Xovalt_	1
287	sp00ky_ghost977	1
287	Kijiki	1
287	TheOnlyRake	1
287	Weepingbiel	1
