rank	username	minecraft:picked_up/minecraft:polished_blackstone_bricks
197	Chromary	30
197	_Boipl_	30
199	gustarlep	29
200	tartanboy	28
200	WYFYoyo	28
202	xxPipperDipperxx	27
203	JitteryJared2	26
203	PortlyPete69	26
205	RadarHz	25
206	Paint	22
207	Afinnity	21
208	NameGenerat0r	20
208	Hisiste	20
210	Klerick	19
211	eclipseboi	18
211	fade_emerge78823	18
211	yulgur1	18
211	Fuad_R	18
215	Touched_Bread	17
215	iSammael	17
215	Eon_57	17
218	Soplight	16
218	cichy096	16
220	DanTheBuilderino	15
221	Jindong	14
221	ChampPog_	14
221	TheFlfthHorseman	14
221	HyperCave	14
225	RoskobiOne	13
225	NinjaKnifeKill	13
225	TheTommyGun63	13
225	jcool7	13
229	CoffeeNoir	12
229	TinyTheMelon	12
231	soundad	11
231	q_wq	11
231	The_Fulgurator	11
231	masskedman	11
231	brofrickcheaters	11
236	gren_ben	10
236	Myszoaz	10
236	Saucepeh	10
236	ratglock	10
236	DracZSenpai	10
241	titanlax	9
241	Kokeech	9
241	Optiprimus	9
241	anbbang	9
241	CattSoup	9
246	BlancoFlaco	8
246	WET_WET_WET	8
246	FelixPSY375	8
249	EMC_	7
249	Mookle96	7
249	olliebollie48	7
249	prizm_	7
249	breadbowlgamer	7
249	AlexxO_o	7
249	bluefragmentt	7
256	m_be9	6
256	noodlepack	6
256	LittleIan365	6
256	Blu3beast	6
256	ItsDeltaMC	6
256	sp00ky_ghost977	6
256	hdtpm	6
256	Sheldor097	6
256	alderban107	6
265	SuperPooch06	5
265	Syropatathe	5
265	MissCeleste7	5
268	BPTY4618	4
268	AuroraValkyrie	4
268	jimbo61101jr	4
268	Archsam	4
268	UncreativeArtist	4
268	ARandomHedge	4
268	XboxPanda	4
268	HAIRYCLOUD626	4
268	jaimshae	4
268	mobunni	4
278	Merv__	3
278	hm947	3
278	YairZaki	3
278	PhantomBionic	3
278	Whiterooster001	3
278	Arch3lia	3
278	Nicky_H225	3
278	thebaddruid	3
278	Quinasin	3
278	jake314810	3
278	claivin	3
278	Lunkuku	3
278	lordpipe	3
278	LeEricc	3
292	teslawolf38	2
292	Da_Boss_Rani	2
292	bugrq_	2
292	SteveCraftBlocks	2
292	Trixididntdie	2
292	CollinMH06	2
292	corpsecity	2
292	PaperCanvas	2
292	YahooScreen9000	2
