rank	username	minecraft:picked_up/minecraft:cactus
158	dopplexd	75
159	Natofthese	74
159	awesomeoneme	74
159	SvenskaHugo	74
162	Maenara	73
163	Sleek_Storm_721	72
163	IWorkAtIkea	72
163	Xalithia	72
163	Zaridey	72
167	MSK__	71
167	_Karmaa	71
169	123louis456	69
169	teslawolf38	69
171	BumbleBeever	66
172	q_wq	65
172	Wolf_Mauler_73	65
172	SingedBread	65
175	Lumien_	64
175	eiC_	64
175	Theo34	64
175	Jiminbub	64
175	rotten_mango	64
175	Shin69	64
175	Zoeyfortnite	64
182	Hisiste	63
182	yatsuta	63
184	Skylord_Luke	61
184	The11thDoctor	61
186	ChillenChiggen	60
186	SolicitedPuma101	60
186	PortlyPete69	60
189	Racengan	59
190	RefluxRatio	58
191	Notta	57
191	UncleDanDan	57
191	natajimi	57
191	MeetTheWollo	57
195	gcaisawesome	56
195	thgrocks	56
197	gabriels543	54
198	Nicky_H225	53
199	Vizzoid	52
199	PegLegPete93	52
201	Merv__	51
202	Deathkob	50
202	PlzNoBM	50
204	JEWISHBadenBeele	48
204	bloodbiter	48
204	Negriuke	48
207	squigglybones	47
207	ROY4LE	47
207	DTwenty	47
207	2blox	47
211	SDMNAEK	46
211	DC_XII	46
211	KG1999	46
211	Luigipunch989	46
215	MeanTugger	45
216	Inchef	44
216	yulgur1	44
218	bigstankyy	42
218	Hyugo	42
218	Hiryu27	42
218	halfbakedlasagna	42
222	wezzzi	41
222	MyNameIsDakar	41
224	Dreamdbr14	40
225	cowgirlkasia	39
225	mariominejedi	39
227	xXTheWolfmanXx	38
227	oreee	38
227	Cryptacity	38
227	xxPipperDipperxx	38
227	Barlycorn	38
232	CarltheCuck	37
233	error10101	36
233	sxc_	36
235	Ailmast	35
235	AnnieBathory	35
235	starbits140	35
238	youhjjhhhjj	34
238	brrh	34
238	Orcus113	34
241	rachcl	33
241	picardred	33
241	Nycteus_	33
241	ProfessorDiaper	33
241	stellarjay	33
246	_naturell	32
247	Froste131	30
247	MattieHD	30
247	SellyZ	30
247	ooga47	30
247	victorLIE	30
247	Joestra	30
253	Awyrlas	29
253	seramalen	29
253	Ajax6	29
253	SpouHn	29
253	stahouo	29
253	JasmineGK	29
259	Kubeusz2010	28
260	Kubelz	27
260	SkateboardR6	27
262	WarMachina	26
262	ori0le	26
262	monky_irl	26
262	layabout100	26
262	MilleGrug	26
267	Myszoaz	25
267	Resner	25
267	burbankbuilder28	25
267	RobotMinion101	25
267	LordSpeed37	25
267	lcvezra	25
267	MissCeleste7	25
274	Lord_Zacler	24
274	EveryonesUncle	24
274	cytotoxaint	24
277	SpaceGrenadier	23
277	12Magner05	23
277	SLASHZEERA	23
277	Taddaiv	23
277	Kyrum2169	23
282	SteveCraftBlocks	22
282	pappaberg	22
282	Serenqeti	22
282	chipklip	22
282	fluddd	22
282	GravitySaint	22
282	Poppy235	22
282	Moetis	22
290	rarrq	21
290	potato292	21
290	GLLogan2	21
290	mafiKiwi	21
290	hdtpm	21
290	djancak	21
296	numbra	20
296	livingdaydreams	20
296	uhm__okay	20
296	DAD_1996	20
296	Xeno175	20
