rank	username	minecraft:picked_up/minecraft:redstone
222	LexMakesHistory	3165
223	TheDankPlatypus	3158
223	_8man	3158
225	NLKBuilder	3142
226	picardred	3138
227	Dreamdbr14	3134
228	Sral7	3124
229	Scathra	3034
230	Houstonion	3007
231	Jimi7hits	2955
232	teslawolf38	2936
233	RadarHz	2928
234	Giannism	2919
235	Smiguli_	2914
236	Vizzoid	2913
237	07shiny	2900
238	Fildyr	2875
239	ClemenPine	2865
240	Merv__	2844
241	Maenara	2822
242	M_Patata	2813
243	MasterNueve	2811
244	epiksk8erduck	2805
245	Swexti	2800
246	Voxin2K	2797
247	Jiminbub	2793
248	BobDeBouwer1337	2790
249	surfinggiraffejp	2781
250	IAmTheWalrus910	2780
251	Vorlice	2741
252	pixelviolin	2727
253	Flores991	2705
254	groofles	2694
255	obzii	2691
256	Winklepicker279	2687
257	Fuhrer_Teemo	2684
258	Onennon	2678
258	Segotep999	2678
260	Huwulling	2656
261	balin55	2645
262	toj__	2638
263	Stynxy	2611
264	Lukeee33	2601
265	MustaLoordi	2547
266	Iagoku	2546
267	MovingFish7	2537
268	bigstankyy	2521
269	Euclidoris	2503
270	Karbl	2500
271	Blu3beast	2481
272	Froste131	2454
272	Touched_Bread	2454
274	Marbz_	2439
275	DirtyDalle	2419
276	JayToe	2393
277	legal_tax_evader	2383
278	BlancoFlaco	2365
279	andy_rex	2352
280	Rocco_Lane	2335
281	Drewen24	2302
282	MOSS000	2301
283	Sleepy_Time_	2285
284	MAns_44	2281
285	KlausVonStiglitz	2275
286	ItsJunoIGuess	2264
287	FreddyFart	2257
288	ayamefag	2244
289	xolstoi	2214
290	dedgt	2196
291	ItsHydroMC	2193
292	Wooptey	2187
293	Crowman1	2186
293	CrateOfBoxes	2186
295	CoryJJ	2180
295	Zoeyfortnite	2180
297	jacxhadow	2177
298	leaf26	2166
299	MattieHD	2163
300	Katthaj	2137
