rank	username	minecraft:picked_up/minecraft:water_bucket
158	ewsophie	6
158	tsohomie	6
158	Ozixar	6
158	CliffEmAll	6
158	m_be9	6
158	ProfessorBee	6
158	_Nuf	6
158	SteveCraftBlocks	6
158	CharlieButt	6
158	Marbz_	6
158	CarltheCuck	6
158	Arceus1975	6
158	BronkerBrum	6
158	DAD_1996	6
158	Hiryu27	6
158	Skylord_Luke	6
158	Jimi7hits	6
158	fkGrim	6
158	iHuntWeeaboos	6
158	GravitySaint	6
158	Factoroni	6
158	Kferno	6
158	MilleGrug	6
158	Hermanni__	6
158	AstroLightz_	6
158	AltnumberF4	6
158	YoshikageBites	6
186	Houstonion	5
186	lotarp	5
186	FirsTimeGamingTV	5
186	hcb238	5
186	r123moore	5
186	pumpfonzo	5
186	WET_WET_WET	5
186	yaboo88	5
186	ooga47	5
186	Mattesco	5
186	epiksk8erduck	5
186	LeGold	5
186	ToastedGamingYT	5
186	Leyna3	5
186	Inbefour	5
186	fluddd	5
186	marumochis	5
186	Vorlice	5
186	IAmTheWalrus910	5
186	sp00ky_ghost977	5
186	ZoharGoldMine	5
186	Nagasaki_Riku	5
186	SpacesickPrism	5
186	Nicserso	5
186	2blox	5
186	Teebone15	5
212	Jovaphobic	4
212	_Virify_	4
212	soundad	4
212	diamondgolem35	4
212	itburb	4
212	Wooptey	4
212	Alteriity	4
212	ShedJr_	4
212	Myszoaz	4
212	Da_Boss_Rani	4
212	Ssor69	4
212	NieToksikpl	4
212	MinttyFressh	4
212	MattieHD	4
212	GingerNeutron	4
212	_Dean_123	4
212	Nach0Bear	4
212	Stiar	4
212	Zaridey	4
212	Kakolbus	4
212	Winklepicker279	4
212	Doom_melon	4
212	burbankbuilder28	4
212	Parcc	4
212	Hoid_the_Roamer	4
212	Onennon	4
212	aec9	4
212	Luminad3	4
212	Rasmanden	4
212	Nicky19	4
212	Lord_Zacler	4
212	ori0le	4
212	Soap_Bender	4
212	Racengan	4
212	__Auspicious	4
212	Toriankel	4
212	MovingFish7	4
212	AvaRosey	4
212	Ze_BaronKrigler	4
212	ayamefag	4
212	starbits140	4
212	Deguns123	4
212	laron58	4
212	Skippeh	4
212	OfficerAnvil	4
212	Miko_Fullbuster	4
212	momis24	4
259	Groovy_MoonBird	3
259	AuroraValkyrie	3
259	6king6colt6	3
259	Ryker	3
259	Spaghettatron	3
259	CoffeeNoir	3
259	Kuragari_	3
259	tramizu	3
259	TinMaster	3
259	InfernalMound	3
259	Frxnkz	3
259	Cryptacity	3
259	TheThomas69	3
259	Masssonnn	3
259	NotMeanttoChange	3
259	CollinMH06	3
259	gabriels543	3
259	Jonafrog99	3
259	TheWildMateo	3
259	Moofyman	3
259	DC_XII	3
259	lizardfightclub	3
259	AuroraSkies	3
259	KnightmareD	3
259	binman420	3
259	Russiancat1	3
259	Deathkob	3
259	the_russell1611	3
259	MyNameIsDakar	3
259	DarlaMeow	3
259	NameGenerat0r	3
259	Nycteus_	3
259	Yahir091	3
259	OG_Songsee	3
259	ediballbearings	3
259	Luigipunch989	3
259	Dogcorn69420	3
259	LeeMcGee30	3
259	Kubeusz2010	3
259	anbbang	3
259	RadarHz	3
259	FelixPSY375	3
