rank	username	minecraft:picked_up/minecraft:music_disc_13
140	GustavoMS_64	3
140	miramyu	3
140	Quotary	3
140	Yahrto	3
182	Alexanderjac	2
182	MunkaKris	2
182	Cowison	2
182	teslawolf38	2
182	Niklas20114552	2
182	LovelyDane	2
182	gren_ben	2
182	Ryan_GEMS	2
182	DinoDoctor_	2
182	Furiuosbeast0404	2
182	RebelAndroid	2
182	Kronos42	2
182	Historical_Sand	2
182	Ssor69	2
182	Ozixar	2
182	Malorn_Aetherius	2
182	xPixelRainx	2
182	Kalwag	2
182	Nicky_H225	2
182	Secret_Canary	2
182	cyrusisntgay	2
182	knarian	2
182	lorpus	2
182	Awyrlas	2
182	eviltunix	2
182	Resner	2
182	olliebollie48	2
182	noam464	2
182	DisgruntledKoala	2
182	shadowthemonkey	2
182	ImDisconnected_	2
182	CollinMH06	2
182	Giannism	2
182	Rumpletaezer	2
182	pappaberg	2
182	Krowuss	2
182	tobinwilliams	2
182	ooga47	2
182	F_Uhre	2
182	yulgur1	2
182	NomadicRobin_	2
182	DTwenty	2
182	ese_wn_po	2
182	Jiminbub	2
182	SolicitedPuma101	2
182	DemTechAlpha	2
182	Paul_Katan	2
182	StinkyDiplomat	2
182	Umprella	2
182	Vicemaniac	2
182	WyngGoy	2
182	layabout100	2
182	Razzgriz	2
182	Burge_r	2
182	ayamefag	2
182	Bambuino	2
182	SvenskaHugo	2
182	Zetsey	2
182	bloomkieren	2
182	Ripzch	2
182	MC_Skribble	2
182	SammiWolfGirl	2
182	Celeste_121	2
182	mawileite	2
182	mobunni	2
182	EcksD	2
182	KamFurnace	2
182	_Dri_	2
182	ThatBurritoTh0	2
182	FishisTTV	2
252	TheRomanNoodles1	1
252	SygnalX	1
252	Matemkas	1
252	Froste131	1
252	chipklip	1
252	_Huge_Male_	1
252	nev_s	1
252	Deu_Stew	1
252	EdaterPure	1
252	SaphSaff	1
252	LJW517	1
252	TildaAndrea	1
252	SlowMoNinja1994	1
252	EMC_	1
252	Frozil20	1
252	Wolf_Mauler_73	1
252	LagVibes	1
252	T045RTY	1
252	Natty	1
252	CoffeeNoir	1
252	Julmish	1
252	MOSS000	1
252	SkullxKandyz	1
252	akap47	1
252	_Destina_	1
252	CaracolCxnt	1
252	Cryptacity	1
252	hydrothebot	1
252	bloodbiter	1
252	MinttyFressh	1
252	Tiberonus	1
252	zorin123	1
252	eclipseboi	1
252	poopybh	1
252	Pelbo	1
252	AJ_Dubz	1
252	ZeDasCabra	1
252	Kkanot	1
252	Cambo5000	1
252	m4amagz	1
252	Flapjacker687	1
252	fade_emerge78823	1
252	himak1	1
252	PegLegPete93	1
252	Mewar	1
252	intropass	1
252	Roenfire	1
252	theonlymagikarp	1
252	SpicyMeatballs	1
