rank	username	minecraft:picked_up/minecraft:dark_oak_planks
198	sp00ky_ghost977	292
200	Kubeusz2010	288
201	SaucyDark	286
201	SOA1RR	286
201	Ecplosive	286
204	NormanFetus	284
205	stellarjay	282
206	RoskobiOne	280
206	fkGrim	280
208	Eczbek	279
209	77Holly7	278
210	ShedJr_	274
210	ChocolatePepsi	274
212	olliebollie48	272
213	ZoomieZoomie	270
214	ratglock	265
214	SellyZ	265
214	thebaddruid	265
217	Kynigito	262
218	blackeemperor	260
219	NomadicRobin_	258
220	Miroryk	257
221	Sheldor097	254
222	Lil_Breadboy	252
223	snizv1	249
224	Nicserso	245
225	Sral7	242
226	Ozixar	240
227	Shogunite	239
228	ergoalias	236
229	Luminad3	235
230	Elastiq	228
231	benediktine1	226
232	PazinGaming	225
232	Toriankel	225
232	HesDemonPants	225
235	abdomera	224
235	Smashic	224
237	Prodiginus	223
238	djancak	219
238	Nekomin0	219
240	cichy096	218
241	Incinere	212
242	Kekoo	211
243	KliBeast21	209
243	TheKingK_	209
243	SammiWolfGirl	209
246	U_Mos_	208
246	theofiel	208
248	Skomo	202
248	parodypatient	202
250	Bandito_Roamer	200
250	T045RTY	200
250	FelixPSY375	200
253	Chromary	193
253	diggydog67	193
255	brycepants	185
255	PncakeUniverse	185
257	eviltunix	183
257	2Stout	183
259	Jalvajar	182
259	TheWickedBird	182
261	buss081	181
261	Segotep999	181
263	Hyugo	178
263	thgrocks	178
263	The_slideV3	178
266	BlankityMcBlank	175
267	NinjaKnifeKill	173
267	fragrantmonke444	173
269	bigstankyy	171
269	TheBananaKat	171
271	PegLegPete93	170
271	CharlieButt	170
271	DarkS0L	170
274	mwrty	169
274	1442	169
276	SyntheticSurgeon	168
276	Typadopoulos	168
278	bl1ss0	167
279	corvidpartyfor6	166
280	I_Am_Mushkin	165
281	Hydro___________	162
282	remgrandt	161
282	SPUDonSTEROIDS	161
284	_i_ERROR_i_	159
285	DinoDoctor_	158
286	ProfessorBee	154
287	Rumpletaezer	153
288	Lord_Zacler	150
289	emrekn	149
290	carloselpapii	148
291	Vetral1	144
291	Deathkob	144
291	TheOuterCore	144
294	Norrhede	141
295	CoffeeNoir	140
295	420BreadLizard	140
297	cyuar	139
297	KlausVonStiglitz	139
299	AlphaWolfPlaysMC	138
300	TheOnlyRake	135
