rank	username	minecraft:picked_up/minecraft:lever
187	SlayerCrypto	18
187	Skylord_Luke	18
187	DarlaMeow	18
187	Shin69	18
187	Kateesaur	18
193	ssleepless	17
193	Swexti	17
193	MattieHD	17
193	Bucscw24	17
193	Kouridragon	17
193	Onennon	17
193	MustaLoordi	17
193	Jordan_R	17
201	Huwulling	16
201	Sleepy_Time_	16
201	jushykins	16
201	Ardennes	16
201	Inchef	16
201	RIPB0ZO	16
201	MinerDec	16
201	Ritter__	16
201	Iamthejo	16
201	HesDemonPants	16
211	_Nuf	15
211	Smashic	15
211	Xalithia	15
211	legal_tax_evader	15
211	Donutt	15
211	ApophisNova	15
211	masskedman	15
211	Kura2218	15
211	starbits140	15
211	MyNamaSheff	15
221	shineh10	14
221	Yirtle	14
221	audiocracked	14
221	Gryglu583	14
221	Nycteus_	14
221	GoofySilly	14
221	Fildyr	14
221	TheDumbHuman	14
221	SvenskaHugo	14
221	alderban107	14
221	Jimb0nat0r	14
221	JayToe	14
233	Tobinator_007	13
233	Malorn_Aetherius	13
233	lorpus	13
233	Paintz	13
233	Winklepicker279	13
233	SuperPooch06	13
233	Russiancat1	13
233	Fuhrer_Teemo	13
233	Cocoamallows	13
233	EngagedGrub41	13
243	Louiis123	12
243	H72l9w	12
243	picardred	12
243	Comma__	12
243	Guillemet	12
243	Nyxiom_	12
243	ZA07	12
243	Luminad3	12
243	valkam13	12
243	madderfall	12
243	fluddd	12
243	Barlycorn	12
243	Idobetoasty	12
243	MilleGrug	12
257	weezygator	11
257	xXTheWolfmanXx	11
257	Hyugo	11
257	M_Patata	11
257	CarltheCuck	11
257	Chromary	11
257	CaptainAvenger7	11
257	zToasty69z	11
257	ILoveCarrot	11
257	yulgur1	11
257	KlausVonStiglitz	11
257	Fuad_R	11
257	Typadopoulos	11
257	ReyTheLegend	11
257	Zoeyfortnite	11
272	CaptainSteve345	10
272	seramalen	10
272	groofles	10
272	DTwenty	10
272	malgosia14	10
272	Dusk_95	10
272	radioactv_jelly	10
272	MasterNueve	10
272	yatsuta	10
272	vandmanden	10
282	_stets	9
282	MOSS000	9
282	tsohomie	9
282	Scathra	9
282	ClemenPine	9
282	dezxalo	9
282	AvaRosey	9
282	SpacesickPrism	9
282	Nicserso	9
282	FelixPSY375	9
282	bladeefan2009	9
282	The_SlideV5	9
282	Teebone15	9
295	dimondking777	8
295	SlowMoNinja1994	8
295	tuckerdoodle	8
295	ThiccExotic	8
295	TheThomas69	8
295	gabriels543	8
