rank	username	minecraft:picked_up/minecraft:chipped_anvil
102	GlitchyPlate810	3
102	ProbsNotNova	3
102	Kubeusz2010	3
102	Ezekson	3
102	Legendosh	3
102	Powowowow	3
102	EcksDofficial	3
138	RosaDoesMC	2
138	PhantomsGhost_	2
138	teslawolf38	2
138	ImpavidArcher	2
138	Flores991	2
138	Incinere	2
138	Wooptey	2
138	RebelAndroid	2
138	AlazelTheReal	2
138	Jackster03	2
138	Arteriana	2
138	MSK__	2
138	H72l9w	2
138	301851	2
138	Swexti	2
138	Malorn_Aetherius	2
138	TheSecondLord	2
138	m_be9	2
138	noodlepack	2
138	_Dean_123	2
138	ConcretePirate	2
138	Mewar	2
138	eviltunix	2
138	xxPipperDipperxx	2
138	Covalents	2
138	Giannism	2
138	fr_ser	2
138	Jackattack53	2
138	WET_WET_WET	2
138	Hiryu27	2
138	ooga47	2
138	Truckoss	2
138	fred870d	2
138	cedric72	2
138	MousePlays	2
138	Gmoney390	2
138	KliBeast21	2
138	wezzzi	2
138	yulgur1	2
138	Lord_Zacler	2
138	Jiminbub	2
138	chipklip	2
138	Karbl	2
138	ewpunk	2
138	Quaintster	2
138	FlashMigma	2
138	censorsheep	2
138	MightyWertu	2
138	GravitySaint	2
138	Hisiste	2
138	Airem_Core	2
138	Factoroni	2
138	ElKaySVK	2
138	CSG_Haru	2
138	CACTUSLAD	2
138	Kyrum2169	2
138	__tomato	2
138	LeeMcGee30	2
138	ZeroKraken	2
138	OfficerAnvil	2
138	hauspool	2
138	oxfordschool	2
138	EcksD	2
138	RadarHz	2
138	Nicserso	2
203	Mr_Worthless	1
203	Barry_All3n_	1
203	Groovy_MoonBird	1
203	Matemaks2137	1
203	Froste131	1
203	JohnnyFyes	1
203	nataliecool	1
203	dudcreeper	1
203	fanofbands101	1
203	The_Dark_One_00	1
203	Merv__	1
203	Ailmast	1
203	TildaAndrea	1
203	KingFaenor	1
203	Tommhh	1
203	EMC_	1
203	Iagoku	1
203	ssleepless	1
203	jimbo61101jr	1
203	TooManyDuck	1
203	Natofthese	1
203	Natty	1
203	lotarp	1
203	awesomeoneme	1
203	buss081	1
203	SteveWithClout	1
203	SpaceGrenadier	1
203	Meme25327	1
203	Prodiginus	1
203	picardred	1
203	SDMNAEK	1
203	Cryptacity	1
203	Zedducius	1
203	jacxhadow	1
203	Ardennes	1
203	ProfessorBee	1
203	zorin123	1
203	Enigma0251	1
203	Austine6698	1
203	500am	1
203	G1ldor	1
203	Z3braYTIL	1
203	UncreativeArtist	1
203	kapono209	1
203	paranoid_plant	1
203	egglapras	1
203	himak1	1
203	orxngejuice	1
203	SharpDev	1
203	__TheNorseMan__	1
203	Cerbric	1
203	Diavri	1
203	hcb238	1
203	ayqq	1
203	Paintz	1
203	SeverianTheLame	1
203	fallingemma	1
203	breadbowlgamer	1
203	Windo_licker	1
203	Marbz_	1
203	GOOBERGABE04	1
203	Zythose	1
203	King_Pancake1	1
203	Nyxiom_	1
203	CaptainDeadBread	1
203	The11thDoctor	1
203	p4lp	1
203	PigDab	1
203	jewbacaman	1
203	victorLIE	1
203	Ender_Souls	1
203	FishyBoy3811	1
203	lizardfightclub	1
203	Leyna3	1
203	timelyenigma	1
203	Lord_Jord	1
203	stuy9	1
203	Inbefour	1
203	XxCookiequeenxX	1
203	NYJ	1
203	_Bguette_	1
203	Meatlaugh	1
203	claivin	1
203	Stylessz	1
203	Xclax101	1
203	Cyntrical	1
203	fluddd	1
203	SingedBread	1
203	Fildyr	1
203	MovingFish7	1
203	Dusk_95	1
203	Leithz6	1
203	Xovalt_	1
203	IAmTheWalrus910	1
203	33sudo	1
203	Nagasaki_Riku	1
203	LordSpeed37	1
203	stavgod	1
