rank	username	minecraft:picked_up/minecraft:diamond_leggings
101	SingedBread	3
101	Hisiste	3
101	MovingFish7	3
101	Eraxa	3
101	Spenduh	3
101	CalebDHawk	3
101	SlimeBOI03	3
101	LeeMcGee30	3
101	MilleGrug	3
101	Skippeh	3
101	cichy096	3
101	UrbanPlanner1978	3
101	2blox	3
136	heysushii	2
136	nataliecool	2
136	_NieToksikpl_	2
136	abramgray	2
136	fanofbands101	2
136	numbra	2
136	Wooptey	2
136	Batman922	2
136	Reamdin	2
136	InfernalMound	2
136	titanlax	2
136	Cryptacity	2
136	jacxhadow	2
136	TheDiamondCG	2
136	CyrusIsTired	2
136	G1ldor	2
136	set67	2
136	IforgotCS_Source	2
136	Xalithia	2
136	gcaisawesome	2
136	NotKaden_	2
136	Kubelz	2
136	Ecplosive	2
136	Lil_Breadboy	2
136	SuperPooch06	2
136	Snowflowe	2
136	_Buffo	2
136	_Boipl_	2
136	domagawha	2
136	Hoid_the_Roamer	2
136	DAD_1996	2
136	Zayisblack	2
136	CaptainDeadBread	2
136	k1ngGilgamesh	2
136	RobotMinion101	2
136	ooga47	2
136	Onennon	2
136	KeruNatsema	2
136	sxc_	2
136	Joestra	2
136	fkGrim	2
136	IsabellasOF	2
136	YungWali	2
136	NameGenerat0r	2
136	claivin	2
136	bluefragmentt	2
136	Spacewardharpy7	2
136	MakeHistory157	2
136	Razzgriz	2
136	SexcMf	2
136	stavgod	2
136	Cliopatra	2
136	Segotep999	2
136	SSytex_X	2
136	PlzNoBM	2
136	ProbsNotNova	2
136	jcool7	2
136	Kferno	2
136	KingMatthew506	2
136	Kubeusz2010	2
136	da10shi	2
136	smogfrog	2
136	FelixPSY375	2
136	MeetTheWollo	2
136	Powowowow	2
136	vandmanden	2
136	Yogscast_Manden	2
136	WYFYoyo	2
136	Smoke____	2
136	SilentKarma	2
136	561cool	2
207	MunkaKris	1
207	SaltineDream	1
207	Krasnal1337	1
207	Lisa_Katrina_17	1
207	doopiyo	1
207	THExMuffinx	1
207	Bandito_Roamer	1
207	_Virify_	1
207	Tobinator_007	1
207	Froste131	1
207	peachfuzz1267	1
207	Harotio	1
207	Ninzyyy	1
207	littlesophiagirl	1
207	strongman951753	1
207	LittleBug562	1
207	Vaarde	1
207	Ze1ig	1
207	pZygh0st	1
207	Drlzyy	1
207	vanabell06	1
207	homeofmew	1
207	teslawolf38	1
207	honeybuggie	1
207	Foof13	1
207	q_wq	1
207	Yatitay	1
207	EMC_	1
207	Sleek_Storm_721	1
207	martvnka	1
207	Nesquiczek	1
207	Dedalus36	1
207	ExtraDumb	1
207	omariacts	1
207	Bad_At_Names_Guy	1
207	Minimize501	1
207	Furiuosbeast0404	1
207	Incinere	1
207	wickedword	1
207	ofekgo	1
207	NatrixxddxYT	1
207	DrogV2	1
207	awesomeoneme	1
207	Ao_Ken	1
207	5hit455	1
207	fr0stss	1
207	Freebolt	1
207	TheMaster972	1
207	Da_Boss_Rani	1
207	DBoydart303	1
207	nocturne78	1
207	SquadMonster	1
207	speenduhXD	1
207	LoboTheLobster	1
207	heckface	1
207	Sparky_KT	1
207	Prodiginus	1
207	Valoth	1
207	Khelvoryk	1
207	Upstro10	1
207	yoyonovice63	1
207	prelutrinae	1
207	roxycherry	1
207	ATrojansLegend	1
207	Frxnkz	1
207	aluminumhelmet	1
207	Comma__	1
207	jushykins	1
207	BobDeBouwer1337	1
207	Sebastiannlol	1
207	Rich_Kat	1
207	m_be9	1
207	Nicky_H225	1
207	ThePoliteG	1
207	Boboczus	1
207	MrExplorer	1
207	Gofeeh	1
207	TowenPL	1
207	ProfessorBee	1
207	nhmx	1
207	zorin123	1
207	GingerNeutron	1
207	_Nuf	1
207	shyshyannne	1
207	Enigma0251	1
207	FemboyFwuit	1
207	slkiey	1
207	Raxmalor	1
207	Baozai	1
207	sp00k1e_	1
207	Kkanot	1
207	Cambo5000	1
207	marul1002	1
207	egglapras	1
