rank	username	minecraft:picked_up/minecraft:amethyst_block
199	LeonelSalamanca	31
199	StinkyDiplomat	31
203	JETrotter	30
203	secondstepsis	30
203	LeEricc	30
206	ccwildfire1	26
207	Jonafrog99	25
208	IdeallyGrey	22
209	0Vyp_	20
209	Spacewardharpy7	20
211	Da_Boss_Rani	19
212	Merv__	17
212	Ghemmah	17
212	Not_Insom	17
212	kalzor	17
216	NATE_the_HALO	16
216	Trioxide	16
218	SmashingPump	15
218	IgnoredBee	15
218	HolyVenom	15
221	Secret_Canary	14
221	OreTheBear	14
223	Valoth	13
224	LazySupport00	12
224	athereall	12
226	Creativebuilder2	11
227	TAKrules	10
227	joethahobo	10
227	FadedSpade82	10
227	FormulaNewt3627	10
231	catandmoose	9
231	SteveCraftBlocks	9
231	2Stout	9
231	Solar_Power	9
231	Werbe	9
236	orxngejuice	8
236	Nadhorion	8
236	infiniteQuery	8
236	Quotary	8
236	00000000-0000-0000-0009-01f570995a20	8
241	tuckerdoodle	7
241	CoffeeNoir	7
241	Lord_Zacler	7
241	shrimp_flips	7
245	xfemboyx	6
245	MC_Gamer_Geek	6
245	Chickenchaser2	6
245	Itz_DuongVN	6
245	fw3xy74	6
245	DracZSenpai	6
251	weabis	5
252	ChampPog_	4
252	ARandomHedge	4
252	Malware_Mara	4
252	lizardfightclub	4
252	Elastiq	4
252	Quincannon	4
252	NameGenerat0r	4
252	NiveauSubmarine	4
252	youarefrench_	4
252	FishisTTV	4
262	DinoDoctor_	3
262	T045RTY	3
262	ZaneABrain	3
262	_lildarki3	3
262	oscminus	3
262	Human_Resource	3
262	YuenKei	3
269	CLG_Kata	2
269	Deu_Stew	2
269	KarlKaek	2
269	chrolus	2
269	IronArshXS	2
269	Archsam	2
269	QuiCreans	2
269	Btabtab	2
269	WeebleSock	2
269	RedcatVII	2
269	Eczbek	2
269	Ezekson	2
269	Paguz01	2
282	H0UNDFRMH3LL	1
282	j5ylim	1
282	e_hernandez57	1
282	Rocco_Lane	1
282	TJawesome09	1
282	parodypatient	1
282	H_O_M_H	1
282	fluddd	1
282	BartekB19	1
282	_Mythic____	1
282	Yungandspicy	1
