rank	username	minecraft:picked_up/minecraft:slime_block
95	ConnorDanky_	96
98	victorLIE	93
99	Steelynan	92
100	MilleGrug	91
101	ITDV	90
102	Arceus1975	88
103	ese_wn_po	85
103	Skippeh	85
105	Eczbox	84
106	SharpDev	82
107	Onennon	79
108	LeEricc	78
109	Aryamanee	77
110	rarrq	76
110	SellyZ	76
112	FelixPSY375	75
113	Groundler	74
114	FishisTTV	72
115	SteveCraftBlocks	71
116	jnp_gaming	68
117	_Dean_123	67
117	mariominejedi	67
117	Dogcorn69420	67
120	SyntheticSurgeon	65
120	jcool7	65
122	lorpus	64
122	BartekB19	64
122	acqw	64
122	MsFemboy	64
122	Empresario	64
127	Fuad_R	62
128	Masssonnn	59
128	Deodorante	59
128	Tyrannosplart	59
128	TechnoNinja64	59
128	CrazyPotater	59
133	TheMilkerOfCats	58
133	bloodbiter	58
133	TheDumbHuman	58
136	Lez_	57
136	Steve897	57
136	Nicserso	57
139	TheTrueClipse	56
140	djancak	53
141	Rasmanden	52
142	soundad	51
142	ImpavidArcher	51
142	NieToksikpl	51
142	deadshot16	51
146	masskedman	50
146	fluddd	50
148	Tolhart	49
148	gcaisawesome	49
150	Soap_Bender	47
151	Karbl	46
152	AstreaTSS	43
152	xX_Stalin69_Xx	43
154	Spenduh	42
154	Jimb0nat0r	42
156	Groovy_MoonBird	41
157	RIPB0ZO	40
157	Dreamdbr14	40
159	Bumpy419	37
160	NotMeanttoChange	35
160	balin55	35
162	ReSynced	34
162	Dakar_	34
164	I_Am_Mushkin	33
164	Chromary	33
164	MineMaster0012	33
164	UCP_TheKingK	33
168	PazinGaming	32
168	lunathelemon	32
168	Scathra	32
168	Weepingbiel	32
172	j5ylim	31
173	mwrty	30
173	Racengan	30
175	Factoroni	29
176	SmashingPump	28
176	yatsuta	28
178	T045RTY	27
178	Samificator	27
178	Lunkuku	27
181	RobotMinion101	26
181	Wowful	26
181	Kijiki	26
181	HesDemonPants	26
185	Krowuss	25
185	DarlaMeow	25
185	SammiWolfGirl	25
185	NATE_the_HALO	25
189	itburb	22
189	Snowflowe	22
189	Elastiq	22
189	luseis	22
193	CoffeeNoir	21
194	fr_ser	20
194	Muffindrake	20
196	MoonWatcher19	19
196	legal_tax_evader	19
196	The11thDoctor	19
196	fxiryglitch	19
196	Akoot_	19
201	NotKaden_	18
201	Barlycorn	18
203	Jackywho	17
203	MC_Gamer_Geek	17
203	fr0stss	17
203	ROY4LE	17
203	Ripleey	17
203	SvenskaHugo	17
209	KarlKaek	15
210	Apollo_993	14
210	m_be9	14
210	lillips	14
210	ProfessorDiaper	14
210	WingedTortoise	14
210	calamariclam_I	14
210	diggydog67	14
217	dimondking777	13
217	xxPipperDipperxx	13
217	Doom_melon	13
217	Deathkob	13
217	Burge_r	13
217	Segotep999	13
223	Tiberonus	12
223	himak1	12
223	Zythose	12
223	MustaLoordi	12
223	JayToe	12
228	tuckerdoodle	11
228	Incinere	11
228	Arteriana	11
228	ShedJr_	11
228	_Nuf	11
228	Cellcorgi649	11
228	Winklepicker279	11
228	GreedyFern8581	11
228	drompje	11
228	RadarHz	11
238	Krasnal1337	10
238	ssleepless	10
238	Cryptacity	10
238	imcombxt	10
238	Blenderyoda	10
238	El_Jalapeno	10
238	icim	10
245	eiC_	9
245	Marbz_	9
245	Fildyr	9
248	Merv__	8
248	shadowthemonkey	8
248	avalan64	8
248	Airem_Core	8
248	stavgod	8
248	CalebDHawk	8
248	Quotary	8
248	cichy096	8
248	Zoeyfortnite	8
257	chipklip	7
257	DepressedCubic	7
257	Swexti	7
257	hanaryheatwave	7
257	Truckoss	7
257	Mattesco	7
257	DanTheBuilderino	7
257	BumbleBeever	7
257	__tomato	7
266	MinttyFressh	6
266	SuperPooch06	6
266	Skylord_Luke	6
266	ApophisNova	6
266	Druid95	6
266	MyNamaSheff	6
272	RebelAndroid	5
272	Huwulling	5
272	MoistMicrowave	5
272	Chehov	5
272	FirsTimeGamingTV	5
272	Smashic	5
272	Azmodan_246	5
272	Inconvenionce	5
272	Kouridragon	5
272	EveryonesUncle	5
272	NameGenerat0r	5
272	Ze_BaronKrigler	5
272	tsitrawhy	5
272	campbellenio08	5
272	mawileite	5
272	Hermanni__	5
272	EngagedGrub41	5
272	Rectron2007	5
272	h2p_emrld	5
291	Hpdinosaur	4
291	Euclidoris	4
291	Prodiginus	4
291	excelsionprime	4
291	Xalithia	4
291	crashomon	4
291	King_Pancake1	4
291	bearlystraight	4
291	HolyVenom	4
291	JESS_THE_RERE	4
