rank	username	minecraft:picked_up/minecraft:cooked_cod
277	Sleek_Storm_721	67
277	xDzarkious	67
277	The_slideV3	67
277	LeeMcGee30	67
281	Z3braYTIL	66
281	Jonte0599	66
281	Nicky19	66
281	ewpunk	66
285	teslawolf38	65
285	AshleeCW	65
285	Zlatovlas	65
285	irregularshed	65
285	finbob5	65
285	FreddyFart	65
285	The_Quack_Dealer	65
285	LordLukas04	65
285	y0shik	65
294	dann_n	64
294	wickedword	64
294	DementedTOAD	64
294	Cartoonmaniac	64
294	ATrojansLegend	64
294	Auseawesome	64
294	Dnulgreb	64
