rank	username	minecraft:picked_up/minecraft:salmon
212	UncreativeArtist	31
212	F_Uhre	31
212	master9067	31
212	MAns_44	31
218	H72l9w	30
218	Eczbox	30
220	SnowyAvi	29
220	Xclax101	29
222	Sleek_Storm_721	28
222	corpsecity	28
222	Hahaa_0	28
225	Paintz	27
225	OverallConcept	27
225	Enderxz3	27
228	JESS_THE_RERE	26
228	PlatonicSteve	26
228	Jordan_R	26
231	Huwulling	25
231	gcaisawesome	25
231	mimbo1211	25
231	jnp_gaming	25
235	Ailmast	24
235	KarlKaek	24
235	DinoDoctor_	24
235	ivorico	24
235	Airem_Core	24
235	pixelviolin	24
241	DepressedCubic	23
241	tramizu	23
241	Covalents	23
241	Groundler	23
245	Groovy_MoonBird	22
245	Prismyst	22
245	firesgal3116	22
245	Nach0Bear	22
245	whoaluv	22
245	sufjanlover	22
245	mountaingirl311	22
245	calamariclam_I	22
253	ougstur	21
253	Luigipunch989	21
253	Dogcorn69420	21
256	FujiBS	20
256	Sleepy_Time_	20
256	lunathelemon	20
256	GingerNeutron	20
256	ComplexSquirrel	20
256	Kowcio_	20
256	Kubeusz2010	20
256	anbbang	20
264	Zee_zey	19
264	peach0s	19
264	RustyKedel	19
264	DeuceBird	19
264	SvenskaSara	19
264	Toiton	19
264	Nycteus_	19
264	stavgod	19
264	EtherealEspresso	19
273	Kakolbus	18
273	burbankbuilder28	18
273	Dragonlfw	18
273	IAmTheWalrus910	18
273	SquidZooka2	18
278	Batman922	17
278	IforgotCS_Source	17
278	RobotMinion101	17
281	_Razaria	16
281	301851	16
281	TheFlfthHorseman	16
281	Ozixar	16
281	LeeMcGee30	16
286	IgnoredBee	15
286	titanlax	15
286	Typadopoulos	15
286	athereall	15
286	FelixPSY375	15
291	seanitoo	14
291	_darky1_	14
291	QuiCreans	14
291	Zerosene	14
291	eviltunix	14
291	Avocadogerms	14
291	StinkyDiplomat	14
291	sq0id	14
291	Western_1	14
291	jcool7	14
