rank	username	minecraft:picked_up/minecraft:white_shulker_box
106	MineMaster0012	72
107	Awyrlas	71
107	Arceus1975	71
107	PigDab	71
110	JayToe	70
111	paranoid_plant	69
111	Wanjibon	69
113	TheWildMateo	66
113	xzvu	66
115	shineh10	63
115	Bumpy419	63
117	MixerDixer	62
117	Sheldor097	62
119	EcksD	60
120	SoftSix	59
120	Werbe	59
120	El_Jalapeno	59
120	Hisiste	59
124	Iagoku	58
124	MattieHD	58
124	geekbird	58
127	Merv__	57
128	himak1	56
128	Sral7	56
130	diamondgolem35	53
131	fade_emerge78823	52
132	Rasmanden	51
132	__Auspicious	51
132	WyngGoy	51
132	jcool7	51
136	Cryptacity	50
136	TheTrueClipse	50
138	SyntheticSurgeon	49
138	Azmodan_246	49
140	Da_Boss_Rani	47
140	pixelviolin	47
142	CLG_Kata	46
142	Xalithia	46
142	SpacesickPrism	46
142	KingMatthew506	46
146	jessewegottacook	45
146	groofles	45
146	Racengan	45
149	xxPipperDipperxx	44
149	ClemenPine	44
149	Groundler	44
152	NinjaKnifeKill	43
153	ApophisNova	41
153	MyNamaSheff	41
153	HesDemonPants	41
156	catandmoose	40
157	Myszoaz	39
157	masskedman	39
159	ssleepless	38
159	prizm_	38
161	NameGenerat0r	37
162	Crowman1	35
162	fw3xy74	35
162	Steve897	35
165	Groovy_MoonBird	33
166	TooManyDuck	32
166	lorpus	32
166	Cocoamallows	32
166	CalebDHawk	32
170	Rich_Kat	31
170	weabis	31
170	SexcMf	31
170	starbits140	31
174	Malorn_Aetherius	30
174	TheShyPig	30
174	GooseWithin	30
174	FreakGenius	30
174	tsitrawhy	30
174	EngagedGrub41	30
180	Ssor69	29
180	SlayerCrypto	29
180	Mr_Teddiursa_K	29
183	MOSS000	28
183	SteveCraftBlocks	28
185	Legendosh	27
186	Kakolbus	26
186	_Bguette_	26
188	Ryan_GEMS	25
188	ITDV	25
188	titanlax	25
188	Kekoo	25
188	TechnoNinja64	25
193	Historical_Sand	24
193	Di_infiri	24
193	fffMike	24
193	MissCeleste7	24
197	imcombxt	23
197	Ecplosive	23
197	pappaberg	23
197	_Mythic____	23
201	1442	22
201	Spenduh	22
201	Skippeh	22
204	Karbl	21
204	SingedBread	21
204	CattSoup	21
207	Aneurysmas	20
207	yheece	20
207	Jonafrog99	20
207	LeonelSalamanca	20
211	Euclidoris	19
211	Auseawesome	19
211	07shiny	19
211	SvenskaHugo	19
211	LeEricc	19
216	BPTY4618	18
216	SellyZ	18
216	walll	18
219	Crowvens	17
219	wwwwinnebagoooo	17
219	ItsJWolff	17
219	little_dUki	17
223	Yatitay	16
223	MrAdamant209	16
223	Prodiginus	16
223	Onennon	16
223	cedric72	16
223	Deathkob	16
223	Fizznut909	16
230	YinToYin	15
230	KarlKaek	15
230	ExtraDumb	15
230	FirsTimeGamingTV	15
230	Inchef	15
230	longappendage	15
230	Chromary	15
230	NomadicRobin_	15
238	EMC_	14
238	KartivGal	14
238	Lutres_	14
238	Tyrannosplart	14
238	DemTechAlpha	14
238	MAns_44	14
244	Badenbeele	13
244	jushykins	13
244	EtherealSilveon	13
244	Ender_Souls	13
244	3_Solar_3	13
244	Kyrum2169	13
244	Eczbek	13
251	Creativebuilder2	12
251	Prismyst	12
251	Warlord324	12
251	Aezekial	12
251	stellarjay	12
256	k_ce	11
256	peach0s	11
256	ese_wn_po	11
256	striker90333	11
256	calamariclam_I	11
261	Incinere	10
261	MinttyFressh	10
261	emrekn	10
261	HyperCave	10
261	Blu3beast	10
261	FishisTTV	10
267	xPixelRainx	9
267	Hoid_the_Roamer	9
267	Wowful	9
267	NATE_the_HALO	9
267	ZeroKraken	9
267	Nicserso	9
267	xolstoi	9
274	6king6colt6	8
274	DinoDoctor_	8
274	ProfessorBee	8
274	p4lp	8
274	Razzgriz	8
274	MilleGrug	8
274	ZoomieZoomie	8
274	AltnumberF4	8
282	Deu_Stew	7
282	PhantomsGhost_	7
282	SmashingPump	7
282	bigstankyy	7
282	surfinggiraffejp	7
282	olliebollie48	7
282	Nycteus_	7
282	VentiHilton	7
282	Quotary	7
291	Paint	6
291	Killercatty78	6
291	Nicky_H225	6
291	MyNameIsJobo	6
291	Eczbox	6
291	F_Uhre	6
291	AuroraSkies	6
291	shrimp_flips	6
291	Vegvisir	6
291	Yahir091	6
