rank	username	minecraft:picked_up/minecraft:dark_oak_slab
171	H0UNDFRMH3LL	112
172	Spacewardharpy7	111
172	Deguns123	111
174	set67	110
175	12Magner05	108
175	dartwaffle	108
175	Xclax101	108
178	teslawolf38	105
178	Wowful	105
178	NomadicRobin_	105
181	__tomato	103
182	Hiryu27	101
182	brycepants	101
184	MattieHD	100
185	SuperPooch06	97
186	LeeMcGee30	96
187	RebelAndroid	93
187	SquadMonster	93
187	Krowuss	93
190	dopplexd	92
190	Megarboh	92
192	Deathkob	91
193	Groovy_MoonBird	90
193	Yahir091	90
195	Stiar	89
195	Sral7	89
197	SDMNAEK	83
198	Incinere	82
198	Ryker	82
198	selectrix	82
198	Smiguli_	82
202	MindyDooWho	81
202	xzvu	81
204	AngalexikCZ	80
205	Saucepeh	79
205	censorsheep	79
207	hollowww	78
208	Ryan_GEMS	76
208	tobinwilliams	76
208	parodypatient	76
211	AnnieBathory	74
212	heckface	73
213	Crowman1	72
214	bearlystraight	71
215	CornOnTheCobalt	70
215	sp00ky_ghost977	70
217	Sheellky	69
217	The_Cruncy	69
219	CoffeeNoir	67
219	Karetoko	67
219	yheece	67
222	Inchef	66
222	0Vyp_	66
222	420BreadLizard	66
222	StinkyDiplomat	66
226	dudcreeper	65
226	BlankityMcBlank	65
226	FelixPSY375	65
229	lordpipe	62
230	ITDV	61
230	XboxPanda	61
232	olliebollie48	59
233	orxngejuice	58
233	_Bguette_	58
235	JasmineGK	57
236	excelsionprime	56
236	The_slideV3	56
236	MakeHistory157	56
239	KingMatthew506	55
239	WYFYoyo	55
241	NieToksikpl	54
242	DinoDoctor_	53
242	Skylord_Luke	53
244	Kkanot	50
245	07shiny	49
246	_Huge_Male_	48
246	_stets	48
246	lillips	48
249	ZigzagLily43042	46
249	MonitorLizards	46
251	Hyugo	45
251	Blu3beast	45
253	avalan64	44
254	Ecplosive	43
255	00000000-0000-0000-0009-01f80c5e9346	42
256	LittleBug562	41
256	6king6colt6	41
256	Nicserso	41
259	zMarciano	40
259	AvaRosey	40
259	Kubeusz2010	40
262	CollinMH06	39
262	Ze_BaronKrigler	39
262	Kyrum2169	39
265	FirsTimeGamingTV	38
265	JoCoLi	38
267	CliffEmAll	37
267	Felenov	37
267	DemTechAlpha	37
267	cichy096	37
271	PegLegPete93	36
271	jewishnoselong	36
271	Nekomin0	36
271	smogfrog	36
275	Sleek_Storm_721	35
275	Kura2218	35
277	Skomo	34
277	TheEnderMan548	34
277	Jimb0nat0r	34
280	Cortexia	33
281	UncreativeArtist	32
281	Aneurysmas	32
283	thebaddruid	31
284	bigstankyy	30
284	Eczbox	30
284	DarkS0L	30
284	snizv1	30
288	SpaceGrenadier	28
288	SellyZ	28
288	k1ngGilgamesh	28
288	Typadopoulos	28
288	Spenduh	28
293	poopybh	27
293	G1ldor	27
293	Awyrlas	27
293	Lekol	27
297	Lumien_	26
297	Kynigito	26
299	ketaminmann	25
299	Jackattack53	25
