rank	username	minecraft:picked_up/minecraft:music_disc_blocks
176	SolarKar	1
176	TheShyPig	1
176	theofiel	1
176	parodypatient	1
176	wezzzi	1
176	fw3xy	1
176	the_russell1611	1
176	emreknugrlu	1
176	DarkS0L	1
176	handsome_strong	1
176	Karbl	1
176	Quaintster	1
176	Ritter__	1
176	Racengan	1
176	lunkuku	1
176	Druid95	1
176	WyngGoy	1
176	sp00ky_ghost977	1
176	LordSpeed37	1
176	yyatsuta	1
176	somegirl12_	1
176	Segotep999	1
176	__tomato	1
176	MC_Skribble	1
176	Spenduh	1
176	Luigipunch989	1
176	hermmm_	1
176	_KuruKuru	1
176	ConnorDanky_	1
176	Etnavn373	1
176	jnp_gaming	1
176	TheSandwhich_	1
176	Faart	1
176	Freedrik	1
