rank	username	minecraft:picked_up/minecraft:dark_oak_log
138	Nycteus_	1585
139	avalan64	1568
140	jacxhadow	1564
141	tobinwilliams	1563
142	seramalen	1559
142	tsitrawhy	1559
144	SDMNAEK	1554
145	pixelviolin	1553
146	lillips	1549
147	lordpipe	1543
148	MineMaster0012	1539
149	Blaiku	1528
150	ProfessorBee	1520
151	6king6colt6	1495
152	KingMatthew506	1491
153	2blox	1481
154	Lutres_Torane	1475
155	chipklip	1467
156	Natty	1452
156	TheOnlyRake	1452
158	Nicserso	1445
159	jnp_gaming	1430
160	Shogunite	1390
161	CalebDHawk	1387
162	Meatlaugh	1384
162	MyNameIsDakar	1384
164	00000000-0000-0000-0009-01ff0c3e5e4f	1378
165	FirsTimeGamingTV	1375
166	h2p_emrld	1369
167	Sheldor097	1365
168	yulgur1	1347
169	Ssor69	1343
170	Motsaro	1338
171	KeruNatsema	1329
172	dartwaffle	1323
173	dudcreeper	1311
174	Optiprimus	1300
175	The_slideV3	1298
176	Sleek_Storm_721	1295
177	djancak	1294
178	_Razar	1292
179	T045RTY	1257
180	SaucyDark	1251
181	Typadopoulos	1238
182	BronkerBrum	1235
183	Stiar	1220
184	DarkS0L	1213
185	Cortexia	1172
186	hollowww	1153
186	Jij0	1153
188	Jovaphobic	1135
189	gabriels543	1123
190	Xclax101	1081
191	MightyWertu	1058
192	Ryker	1054
193	benediktine1	1051
194	AlphaWolfPlaysMC	1024
195	awesomeoneme	1022
196	fkGrim	1019
197	Inchef	1014
198	MakeHistory157	991
199	Malorn_Aetherius	986
200	ooga47	971
201	PortlyPete69	964
202	MilleGrug	953
203	Paint	942
204	ZoomieZoomie	931
205	SellyZ	906
206	LeauVox4921	885
207	thgrocks	866
208	Scathra	864
209	Kyrum2169	851
210	Mr_Byzantine	837
211	Dreamdbr14	833
211	Kateesaur	833
213	Ecplosive	815
214	Dedalus36	812
215	_Karmaa	806
216	PhantomsGhost_	805
217	diamondgolem35	799
218	Njensen7	785
219	bigstankyy	783
220	chlorinex	777
221	Hyperphoenix42	759
222	Hyugo	757
223	Queen_Jalapeno	750
224	Ardennes	743
225	Historical_Sand	741
226	YungJakobo	734
227	GoofyBread	733
228	Purplehere	731
229	JayToe	728
230	Rumpletaezer	722
231	microcrisp	713
232	Wowful	710
233	smogfrog	707
234	Chromary	703
235	felincaus	689
236	brycepants	686
237	PabloGonza02	680
238	Marbz_	678
239	SingedBread	673
240	CoffeeNoir	663
240	theofiel	663
242	TheOuterCore	656
243	WYFYoyo	650
244	ThePoliteG	649
245	sp00ky_ghost977	643
246	NormanFetus	641
247	Warlord324	636
248	MattieHD	635
249	Yatitay	629
250	NotMeanttoChange	628
251	Leyna3	615
252	__hinterland__	614
253	Flores991	607
254	OfficerAnvil	605
255	Sral7	603
256	Toriankel	601
257	Nach0Bear	595
258	ItzYaBoiPicard	587
258	VentiHilton	587
260	H72l9w	574
261	mwrty	565
262	ApophisNova	560
262	JESS_THE_RERE	560
262	MyNamaSheff	560
265	Skylord_Luke	559
266	KlausVonStiglitz	555
267	Vetral1	548
268	CookTheChef3	540
268	claivin	540
270	Bumpy419	535
271	dopplexd	523
272	Airem_Core	517
273	dezxalo	501
274	intropass	493
275	Yahir091	491
276	I_Am_Mushkin	487
277	Groundler	483
278	Nekomin0	482
279	cowgirlkasia	473
280	Smashic	472
281	GravitySaint	470
282	SquadMonster	468
283	Jackattack53	466
284	Rexorout	465
284	_Dri_	465
286	youhjjhhhjj	458
286	Leithz6	458
288	ratglock	456
288	obzii	456
290	The_Fulgurator	455
291	Cryptacity	453
292	LeGold	449
293	NinjaKnifeKill	448
294	Moofyman	447
295	Lord_Zacler	446
296	Lotheburgh	444
297	Incinere	438
298	annoyingenderman	435
299	KartivGal	431
300	420BreadLizard	427
