rank	username	minecraft:picked_up/minecraft:stone_pickaxe
148	Comma__	2
148	ABUSNA1996	2
148	MrExplorer	2
148	jjsadler	2
148	pr33tu	2
148	Scattman_	2
148	Awyrlas	2
148	Motsaro	2
148	PFFR	2
148	emrekn	2
148	Mewar	2
148	Septemb3r	2
148	SPUDonSTEROIDS	2
148	2Stout	2
148	imcombxt	2
148	UncleDanDan	2
148	M_Patata	2
148	Nightfigh1	2
148	Karetoko	2
148	xFaiithyX	2
148	mick407	2
148	Rumpletaezer	2
148	burbankbuilder28	2
148	calajimi	2
148	SirPiccardo	2
148	CasperHxly	2
148	The_Fulgurator	2
148	msJabberwock	2
148	Sheellky	2
148	JustAWill_	2
148	Muffindrake	2
148	Werbe	2
148	ooga47	2
148	_Cloverbelle_	2
148	PigDab	2
148	Vetral1	2
148	thgrocks	2
148	Dan_Scha	2
148	KliBeast21	2
148	parodypatient	2
148	Lord_Jord	2
148	natajimi	2
148	FearMyPetBeaver	2
148	DTwenty	2
148	XxCookiequeenxX	2
148	MinuteMira	2
148	ChocolatePepsi	2
148	n0qtrnL	2
148	GoofyBread	2
148	KermitTheKripple	2
148	Acartec	2
148	Shogunite	2
148	The_Skramz	2
148	SwooshBoi	2
148	ThatMan_Dave	2
148	marumochis	2
148	greatimes	2
148	JoCoLi	2
148	Yahir091	2
148	AvaRosey	2
148	SevenMELIODAS	2
148	Momomia1997	2
148	StarCookiees_	2
148	Soul_Atreus	2
148	carbo_bro	2
148	Kowcio_	2
148	ARCTICxLORD	2
148	felincaus	2
148	DennyKai	2
148	kaiwill0w	2
148	EngagedGrub41	2
148	FormulaNewt3627	2
148	taengoos	2
148	Iamthejo	2
148	EcksD	2
148	blackmage426	2
148	tompup	2
148	SirDodgyBob	2
148	Powowowow	2
148	UrbanPlanningEx	2
148	DkansK	2
148	zmpeg	2
148	JayToe	2
148	_Dri_	2
148	Deliriohm	2
148	Schlitzman	2
148	Goat_Man512	2
262	SaltineDream	1
262	JuckFuan	1
262	Thaumatarge	1
262	Matemkas	1
262	seanitoo	1
262	Diamondpanda4	1
262	Bandito_Roamer	1
262	_Virify_	1
262	heysushii	1
262	Froste131	1
262	BigMaoguai	1
262	Elprone266	1
262	JohnnyFyes	1
262	Stevielukas05	1
262	Claw262	1
262	Apollo_993	1
262	gizmo98	1
262	_Panyu_	1
262	Jalvajar	1
262	Lotheburgh	1
262	SoosAmongus	1
262	Voltique69	1
262	squigglybones	1
262	NibPicker	1
262	NexusAI	1
262	Adem192	1
262	Merv__	1
262	BoopDoop_123	1
262	EKUG	1
262	teslawolf38	1
262	Lapbottom	1
262	Azorathum	1
262	SlowMoNinja1994	1
262	Mocha_Mug	1
262	q_wq	1
262	Ilinca_Io	1
262	jpoxman	1
262	LeberkasWeckerl	1
262	NattyLux	1
