rank	username	minecraft:picked_up/minecraft:spruce_planks
159	DarlaMeow	503
160	MAns_44	502
161	Inbefour	500
162	fluddd	496
163	sp00ky_ghost977	491
164	PortlyPete69	482
165	groofles	481
166	DC_XII	466
167	lillips	462
168	krutas2000	461
169	monolu	459
170	ewsophie	451
171	MoistMicrowave	448
171	TheOuterCore	448
173	SvenskaHugo	446
174	H72l9w	443
175	T045RTY	441
175	rotten_mango	441
177	Klerick	439
178	olliebollie48	433
179	hanaryheatwave	430
180	Groundler	423
181	MrKrabOnCoke	422
182	nattybears	418
183	Arteriana	417
184	Fullut	416
185	LeauVox4921	410
186	JETrotter	405
187	tsitrawhy	399
188	Cowison	397
189	lorpus	392
189	HyperCave	392
191	Prismyst	384
192	Biites	383
193	FadedSpade82	381
194	Laykon	380
194	sammidk	380
196	whoaluv	376
197	obzii	371
198	thebaddruid	370
199	Jackster03	369
200	BlankityMcBlank	360
201	Smashic	358
202	_Boipl_	356
202	KingMatthew506	356
204	Tyrannosplart	352
205	Kkanot	348
206	Jakobo1337	345
206	07shiny	345
206	diggydog67	345
209	_Razaria	341
209	shadowthemonkey	341
211	SteveCraftBlocks	338
212	Serval2000	337
213	Cocoamallows	333
214	_k2x	328
215	OffWithTheirHead	327
216	RedcatVII	326
217	laron58	320
218	Jiminbub	319
219	The_Cruncy	315
220	epiksk8erduck	313
221	blackmage426	310
222	Bobby808	308
222	Maenara	308
224	Incinere	307
224	CoffeeNoir	307
224	Historical_Sand	307
227	__Fanda__	306
227	Warlord324	306
227	CattSoup	306
230	livingdaydreams	304
230	_havick	304
230	Powowowow	304
233	Nycteus_	303
234	Malorn_Aetherius	300
235	rats_life	297
236	Enigma0251	296
236	Eczbek	296
238	Jimi7hits	295
238	JayToe	295
240	Alteriity	293
241	XxCookiequeenxX	289
241	anbbang	289
243	teslawolf38	287
244	squigglybones	284
244	Kamflame10	284
244	Wowful	284
247	CloroxBleach385	279
247	Shogunite	279
249	Luigipunch989	277
250	IAmTheWalrus910	276
251	SvenskaSara	275
251	EfficientC52	275
253	ProbablyNick	274
253	Wolverine4302	274
255	elleparo	273
256	Cryptacity	271
256	breadbowlgamer	271
258	Bazongoman	270
258	thgrocks	270
260	MovingFish7	269
261	Soap_Bender	268
262	Patwannabegamer	267
262	nut_e	267
262	vandmanden	267
265	skrongus	265
266	Alphanzt99	264
266	Jokerman369	264
266	Fuad_R	264
266	Steve897	264
270	pappaberg	262
271	ratglock	261
272	Ssor69	259
273	SpicyMeatballs	256
274	StinkyDiplomat	255
275	roxycherry	254
276	CLG_Kata	251
277	2Stout	250
278	Fakiuss	249
279	ganyuganyu	247
280	drunkeeez	246
280	drumine	246
280	Quincannon	246
280	Bloo2406	246
284	BlueZabu	243
285	BlancoFlaco	241
286	_Bguette_	239
287	AlazelTheReal	238
287	Smaldo	238
287	QueenOfDirt	238
290	SPUDonSTEROIDS	237
290	okCrypto	237
292	IWorkAtIkea	235
292	IceYoung	235
294	SaltineDream	234
294	Felenov	234
296	dopplexd	233
296	wezzzi	233
298	TheBiggestFeller	232
299	JohnPrice	229
300	DermeinUser	228
