rank	username	minecraft:picked_up/minecraft:trident
90	Onennon	7
90	AlexxO_o	7
90	censorsheep	7
90	Groundler	7
90	SingedBread	7
90	tsitrawhy	7
90	_i_ERROR_i_	7
90	Hermanni__	7
90	alderban107	7
90	skrongus	7
90	calamariclam_I	7
103	PhantomsGhost_	6
103	Auseawesome	6
103	500am	6
103	SlayerCrypto	6
103	pappaberg	6
103	fw3xy74	6
103	the__Reaper4999	6
103	Spacewardharpy7	6
103	sp00ky_ghost977	6
103	_Mythic____	6
103	pixelviolin	6
103	_TCARREIRA_	6
115	PazinGaming	5
115	diamondgolem35	5
115	DinoDoctor_	5
115	FirsTimeGamingTV	5
115	m_be9	5
115	Smashic	5
115	emrekn	5
115	ROY4LE	5
115	xxPipperDipperxx	5
115	XboxPanda	5
115	Eczbox	5
115	LeonelSalamanca	5
115	NomadicRobin_	5
115	EveryonesUncle	5
115	fkGrim	5
115	luseis	5
115	Fuhrer_Teemo	5
115	YungWali	5
115	Xclax101	5
115	Kyrum2169	5
115	CattSoup	5
115	HesDemonPants	5
115	MirielThePastor	5
115	Zoeyfortnite	5
115	Kateesaur	5
140	KarlKaek	4
140	hm947	4
140	Batman922	4
140	Lez_	4
140	SquadMonster	4
140	TheSecondLord	4
140	intropass	4
140	Marbz_	4
140	yheece	4
140	WET_WET_WET	4
140	andy_rex	4
140	thebaddruid	4
140	F_Uhre	4
140	LeGold	4
140	Rasmanden	4
140	Maenara	4
140	_Karmaa	4
140	Racengan	4
140	Hisiste	4
140	MovingFish7	4
140	Airem_Core	4
140	33sudo	4
140	Kura2218	4
140	AssFullaCum	4
140	fffMike	4
140	Legendosh	4
140	vandmanden	4
140	00000000-0000-0000-0009-01f16526f034	4
168	_Virify_	3
168	SmashingPump	3
168	teslawolf38	3
168	IronArshXS	3
168	Wooptey	3
168	nattybears	3
168	Alteriity	3
168	Myszoaz	3
168	NieToksikpl	3
168	Crowman1	3
168	Sebastiannlol	3
168	MinttyFressh	3
168	set67	3
168	Kakolbus	3
168	fr_ser	3
168	hanaryheatwave	3
168	corpsecity	3
168	Snowflowe	3
168	KartivGal	3
168	ougstur	3
168	Dakar_	3
168	Soap_Bender	3
168	Quaintster	3
168	WyngGoy	3
168	PortlyPete69	3
168	Nicserso	3
168	2blox_	3
168	Jimb0nat0r	3
196	k_ce	2
196	Mr_Byzantine	2
196	_Huge_Male_	2
196	RoskobiOne	2
196	Jorrdi	2
196	dimondking777	2
196	Yatitay	2
196	bigstankyy	2
196	Ryker	2
196	livingdaydreams	2
196	CoffeeNoir	2
196	MrKrabOnCoke	2
196	moertymoertan	2
196	ratglock	2
196	jushykins	2
196	Chickenchaser2	2
196	SteveCraftBlocks	2
196	Cambo5000	2
196	Flapjacker687	2
196	himak1	2
196	Inchef	2
196	2Stout	2
196	r123moore	2
196	TheDankPlatypus	2
196	M_Patata	2
196	Ecplosive	2
196	CollinMH06	2
196	legal_tax_evader	2
196	burbankbuilder28	2
196	CrateOfBoxes	2
196	Rocco_Lane	2
196	Hoid_the_Roamer	2
196	ooga47	2
196	Kynigito	2
196	CarryLine	2
196	HolyVenom	2
196	Lord_Jord	2
196	AuroraSkies	2
196	Inbefour	2
196	NoChumpChange	2
196	NYJ	2
196	Nycteus_	2
196	lordpipe	2
196	AvaRosey	2
196	MasterNueve	2
196	ItsDeltaMC	2
196	OG_Songsee	2
196	kyouma777	2
196	IdeallyGrey	2
196	__tomato	2
196	lcvezra	2
196	Kubeusz2010	2
196	laron58	2
196	jnp_gaming	2
196	JayToe	2
196	diggydog67	2
196	00000000-0000-0000-0009-01f80c5e9346	2
253	gary_	1
253	Bandito_Roamer	1
253	abramgray	1
253	q_wq	1
253	ImNotYuqii	1
253	martvnka	1
253	Creativebuilder2	1
253	BlancoFlaco	1
253	Natty	1
253	ZaneABrain	1
253	lotarp	1
253	Reamdin	1
253	scottkidz	1
253	ManUtdBoy_	1
253	Maltyy	1
253	ShedJr_	1
253	jessewegottacook	1
253	Da_Boss_Rani	1
253	oreee	1
253	Alfred603	1
253	quintendoty	1
253	Prodiginus	1
253	Shadoko_	1
253	Miroryk	1
253	Notta	1
253	Comma__	1
253	jacxhadow	1
253	Boboczus	1
253	MrExplorer	1
253	GingerNeutron	1
253	_Nuf	1
253	corvidpartyfor6	1
253	excelsionprime	1
253	IKeepDying	1
253	Z3braYTIL	1
253	Kkanot	1
253	Scathra	1
253	Nach0Bear	1
253	fade_emerge78823	1
253	eviltunix	1
253	Noah_Bez	1
253	eiC_	1
253	hotdogdude23	1
253	John6970	1
253	mimbo1211	1
253	shadowthemonkey	1
253	Winklepicker279	1
253	mariominejedi	1
