rank	username	minecraft:picked_up/minecraft:painting
191	Professor_x8	40
194	MSK__	39
194	HuangMeiHua	39
196	ECstardust	38
196	ese_wn_po	38
196	Buuck_	38
199	teslawolf38	37
199	6king6colt6	37
199	rarrq	37
199	SteveCraftBlocks	37
199	bl1ss0	37
199	Meatlaugh	37
199	_Dri_	37
206	Moofyman	36
206	MisfitsMike	36
208	BPTY4618	35
208	Killercatty78	35
210	Frozil20	34
211	SyntheticSurgeon	32
211	tsohomie	32
213	Chromary	31
213	wrinkledpiglet	31
213	_flud	31
216	eitanzaki	30
216	Meme25327	30
216	Onennon	30
219	CharlieButt	28
219	Fakiuss	28
219	Kateesaur	28
222	Euclidoris	27
222	Cortexia	27
222	natajimi	27
222	Jiminbub	27
222	Yahir091	27
222	IlkeCookes_	27
222	Corkchef	27
229	Pofen	26
229	CarryLine	26
229	pixelviolin	26
229	obzii	26
229	jcool7	26
234	_Huge_Male_	25
234	Cowison	25
234	RebelAndroid	25
234	Swexti	25
234	roxycherry	25
234	jacxhadow	25
234	hanaryheatwave	25
234	Snowflowe	25
234	ConnorDanky_	25
243	drumine	24
243	stellarjay	24
243	es0th	24
246	VanJosh	23
246	AnnieBathory	23
246	Toasty_Tom	23
246	monky_irl	23
246	KingMatthew506	23
251	PazinGaming	22
251	Huwulling	22
251	HUNTERmaun	22
251	Ecplosive	22
251	masskedman	22
251	majlin16	22
251	TheWickedBird	22
258	Chuvacevedo	21
258	Mr_Sun15	21
258	Blaiku	21
258	Nymphiauwu	21
258	jnp_gaming	21
263	CoffeeNoir	20
263	Touched_Bread	20
263	noam464	20
263	ConnorTG5	20
263	MakeHistory157	20
263	ZoomieZoomie	20
263	BreadBacon	20
270	dopplexd	19
270	Crowman1	19
270	__Fanda__	19
270	Hiryu27	19
270	Spacewardharpy7	19
270	Biites	19
276	Megarboh	18
276	milltesco	18
276	ApophisNova	18
276	MyNamaSheff	18
280	joethahobo	17
280	Ssor69	17
280	John6970	17
280	IamCL4SSY	17
280	smogfrogg	17
285	Morgf	16
285	ARandomHedge	16
285	Rocketlaunchers	16
285	nitram49b	16
285	parodypatient	16
285	cutelilreno	16
285	Erased_Identity	16
292	Tommhh	15
292	UnderKat	15
292	Roenfire	15
292	olliebollie48	15
292	Vetral1	15
292	KlausVonStiglitz	15
292	Paul_Katan	15
292	PlzNoBM	15
300	Dark_Crusader21	14
