rank	username	minecraft:picked_up/minecraft:iron_ore
138	soundad	1745
139	Paint	1704
140	chipklip	1703
141	picardred	1702
142	Windo_licker	1695
143	Groovy_MoonBird	1679
144	Kijiki	1648
145	claivin	1638
146	Razzgriz	1632
147	Xalithia	1631
148	silverpopcorn	1606
149	The11thDoctor	1605
150	ShedJr_	1584
151	surfinggiraffejp	1580
152	cytotoxaint	1555
153	DarlaMeow	1553
154	BumbleBeever	1547
155	q_wq	1541
156	Comma__	1535
157	RyuNeko932000	1534
158	TheSeismicDuck	1531
159	SuperPooch06	1515
160	Awyrlas	1511
161	ExtraDumb	1505
162	Kim_Jong_eel	1499
162	Fuhrer_Teemo	1499
164	Hiryu27	1491
165	hcb238	1488
166	Dedalus36	1485
167	Deodorante	1484
168	eitanzaki	1475
168	lotarp	1475
168	fred870d	1475
171	I_Am_Mushkin	1473
172	jewbacaman	1454
173	CoffeeNoir	1441
174	ClemenPine	1432
175	jacxhadow	1420
176	Jiminie	1414
177	stahouo	1392
178	Nyxiom_	1385
179	Blu3beast	1384
180	__Fanda__	1379
181	youhjjhhhjj	1377
181	Soap_Bender	1377
183	Corbsman	1372
183	Shogunite	1372
185	Hyugo	1368
186	wobn	1366
187	Reamdin	1362
188	MattieHD	1352
189	Iagoku	1348
190	Decaying_Lotus	1347
191	starbits140	1337
192	SellyZ	1333
193	07shiny	1330
194	Racengan	1322
195	NoChumpChange	1320
196	Hoid_the_Roamer	1312
197	fanofbands101	1306
198	Quincannon	1302
199	G1ldor	1300
200	Merv__	1293
201	Scathra	1292
202	Froste131	1290
202	JayToe	1290
204	_8man	1289
205	obzii	1284
206	XboxPanda	1280
206	MelodyGaysharks	1280
208	PegLegPete93	1276
209	Zedducius	1272
210	Covalents	1266
211	Fildyr	1249
212	Harotio	1233
213	Kamflame10	1227
214	H72l9w	1218
215	GravitySaint	1207
216	Dreamdbr14	1206
217	fluddd	1204
218	djancak	1201
219	jnp_gaming	1199
220	Powowowow	1190
221	NinjaKnifeKill	1186
221	alderban107	1186
223	Inchef	1183
224	ivorico	1173
224	PortlyPete69	1173
226	ImDisconnected_	1167
227	MakeHistory157	1142
228	bloomkieren	1138
229	RefluxRatio	1137
230	AlphaWolfPlaysMC	1130
231	Historical_Sand	1127
232	_3Stump_	1118
233	TheTrueClipse	1114
234	Luigipunch989	1106
235	NameGenerat0r	1102
236	Tobinator_007	1096
237	sufjanlover	1095
238	lizardfightclub	1083
239	laron58	1082
240	Vizzoid	1076
240	jcool7	1076
242	Typadopoulos	1073
243	Factoroni	1070
243	CalebDHawk	1070
245	xxPipperDipperxx	1067
246	Invisie	1053
247	Kouridragon	1052
248	DanTheBuilderino	1047
249	slkiey	1045
250	drumine	1043
251	Warlord324	1040
252	Hermanni__	1039
253	epiksk8erduck	1031
254	selectrix	1028
255	crying_wolf_13	1027
256	BreadBacon	1022
257	toj__	1017
258	Gary_	1010
259	boog4loo	1009
260	Lukeee33	1007
260	SpaceGrenadier	1007
262	BodaciousCake	999
263	Cryptacity	992
264	SUN_DREAM	986
265	__tomato	984
266	bigstankyy	978
267	mariominejedi	970
268	Wolverine4302	967
269	gaziter10	961
270	301851	959
271	layabout100	956
272	MilleGrug	952
273	AvaRosey	951
274	Notta	948
275	balin55	944
275	Nicserso	944
277	BlankityMcBlank	942
278	Megarboh	937
279	DaviusMaximoose	929
280	intropass	927
280	gabriels543	927
282	Bloo2406	925
283	lillips	924
284	1442	921
285	Noah_Bez	917
286	theonlymagikarp	909
287	fkGrim	899
288	r123moore	898
289	Houstonion	897
290	BlancoFlaco	896
291	_czarny	885
292	SingedBread	884
292	CoryJJ	884
294	_Virify_	882
295	Skomo	881
295	Lutres_Torane	881
297	bloodbiter	877
298	diamondgolem35	869
299	Kowcio_	865
300	Natty	863
