rank	username	minecraft:picked_up/minecraft:charcoal
100	TheDankPlatypus	24
100	KamFurnace	24
103	TheSeismicDuck	23
103	WYFYoyo	23
105	Rorrofighter	22
105	Vizzoid	22
105	Werbe	22
105	lordpipe	22
105	00000000-0000-0000-0009-01ff0c3e5e4f	22
110	Joestra	21
111	500am	20
111	KingEgg1	20
111	_Cloverbelle_	20
114	NieToksikpl	18
114	crying_wolf_13	18
114	Reneedium	18
114	LugusMcGrugus	18
114	Racengan	18
119	Blackberry1310	17
119	Optiprimus	17
121	SaltineDream	16
121	Bandito_Roamer	16
121	MyNameIsJobo	16
121	Fuhrer_Teemo	16
121	sp00ky_ghost977	16
121	xzvu	16
121	TwinTowerV2	16
128	dopplexd	14
128	kekhon	14
128	ConcretePirate	14
128	Winklepicker279	14
128	dendydoom	14
128	Sophia_Irene	14
128	Akoot_	14
128	ese_wn_po	14
128	Nicserso	14
128	Enderxz3	14
138	No_Bena	13
138	InfernalMound	13
138	LavenderBi1ch	13
138	JETrotter	13
138	Typadopoulos	13
143	TheBiggestFeller	12
143	SpartanNamor	12
143	Euclidoris	12
143	Ozixar	12
143	SnowyAvi	12
143	Auseawesome	12
143	bloodbiter	12
143	Kamflame	12
143	mwrty	12
143	Pineapplesugr	12
143	Marbz_	12
143	Mr_Sun15	12
143	brofrickcheaters	12
143	PortlyPete69	12
143	TheWickedBird	12
158	weezygator	11
158	_stets	11
158	rarrq	11
158	Malorn_Aetherius	11
158	Gingayy	11
158	Gzrdy	11
158	ooga47	11
158	avalan64	11
158	LuvLuvLove	11
167	Tommhh	10
167	Frozil20	10
167	Ryan_GEMS	10
167	SaucyDark	10
167	heckface	10
167	Cryptacity	10
167	Arceus1975	10
167	420BreadLizard	10
167	Manaateee	10
167	MAns_44	10
167	ZeaBaron	10
167	kyouma777	10
167	jcool7	10
167	cichy096	10
181	Prismyst	9
181	Tino666	9
181	Syropatathe	9
181	AspenLightVT	9
181	NameGenerat0r	9
181	kalzor	9
181	Legendosh	9
188	teslawolf38	8
188	Ssor69	8
188	titanlax	8
188	Comma__	8
188	hydrothebot	8
188	12Magner05	8
188	Guillemet	8
188	orxngejuice	8
188	Inchef	8
188	NoxxxxiS	8
188	Covalents	8
188	XboxPanda	8
188	HyperCave	8
188	epiksk8erduck	8
188	Drewen24	8
188	Roikdean	8
188	audiocracked	8
188	Inbefour	8
188	HELLO_I_AM_BEAR	8
188	Dakar_	8
188	Myntsys	8
188	StarCookiees_	8
188	starbits140	8
188	BurgerKnight	8
188	Njensen7	8
188	_KuruKuru	8
214	varvania	7
214	TerraVl	7
214	imcombxt	7
214	Moofyman	7
214	brycepants	7
214	CarryLine	7
214	Skyle169	7
214	rotten_mango	7
214	MakeHistory157	7
223	CLG_Kata	6
223	q_wq	6
223	mymayowasgone	6
223	ImpavidArcher	6
223	Tolhart	6
223	JokoFiskare	6
223	RatatJuice	6
223	Alteriity	6
223	CoffeeNoir	6
223	Huwulling	6
223	TheSecondLord	6
223	craaaash	6
223	ee_echo_oo	6
223	RyuNeko932000	6
223	ApophisNova	6
223	Shiirazu	6
223	Fakiuss	6
223	privatemeekly	6
223	Sorry_Arey07	6
223	Vol_Rod33	6
223	E775	6
223	Druid95	6
223	CheifJumbo	6
223	WyngGoy	6
223	Sayid951	6
223	SammiWolfGirl	6
223	Dreamdbr14	6
223	Skippeh	6
223	Quotary	6
223	MyNamaSheff	6
223	mountaingirl311	6
223	jnp_gaming	6
223	TechnoNinja64	6
223	beephyra	6
257	Goleam	5
257	Cats_Fly	5
257	IgnoredBee	5
257	Rumpletaezer	5
257	burbankbuilder28	5
257	Cruncy_	5
257	Nadhorion	5
257	LordSpeed37	5
257	SvenskaHugo	5
257	djancak	5
257	Hisidae	5
257	OfficerAnvil	5
269	Harotio	4
269	squigglybones	4
269	PazinGaming	4
269	hollowww	4
269	diamondgolem35	4
269	Jindong	4
269	Iagoku	4
269	DinoDoctor_	4
269	Incinere	4
269	Wooptey	4
269	BodaciousCake	4
269	nattybears	4
269	T045RTY	4
269	abdomera	4
269	Rox_The_Box	4
269	FirsTimeGamingTV	4
269	royal_2	4
269	Presisor	4
269	dawerty	4
269	_Nuf	4
269	poopybh	4
269	slkiey	4
269	Mariopreeet	4
269	Mookle96	4
269	Juansinmiedo18	4
269	Xalithia	4
269	ROY4LE	4
269	benediktine1	4
269	bl1ss0	4
269	Windo_licker	4
269	yheece	4
269	Zythose	4
