rank	username	minecraft:picked_up/minecraft:brown_mushroom
211	Groundler	33
211	SvenskaHugo	33
211	Kubeusz2010	33
211	Nicserso	33
211	Powowowow	33
222	sideofbbq	32
223	TheMilkerOfCats	31
223	ITDV	31
223	12Magner05	31
223	NotMeanttoChange	31
223	Crasswolf	31
223	NomadicRobin_	31
223	APS_Dan	31
223	JayToe	31
231	6king6colt6	30
231	Kynigito	30
231	censorsheep	30
231	Skippeh	30
235	SellyZ	29
235	ItsMrRamen	29
235	jambvds	29
235	NebulousBadger	29
239	FirsTimeGamingTV	28
239	ZeroAbyssTTV	28
239	whoaluv	28
239	LunarRedPanda	28
239	thebaddruid	28
239	Spenduh	28
239	00000000-0000-0000-0009-01ff0c3e5e4f	28
246	dopplexd	27
246	Guillemet	27
246	Smashic	27
246	Zaridey	27
246	ReSynced	27
246	xyfrs	27
246	LetsDoItLive	27
246	EtherealEspresso	27
246	Quotary	27
255	Merv__	26
255	PhantomBionic	26
255	SlayerCrypto	26
255	CraftingWithXav	26
255	smogfrog	26
255	DkansK	26
261	potato292	25
261	JESS_THE_RERE	25
261	drumine	25
261	marumochis	25
261	wwwwinnebagoooo	25
261	UCP_TheKingK	25
261	xzvu	25
268	Bandito_Roamer	24
268	ColeSnyder	24
268	BilboBaggins23	24
268	Fast_Turtle	24
268	audiocracked	24
268	ebanana	24
268	EfficientC52	24
268	Templar_David	24
268	Racengan	24
268	Optiprimus	24
278	skelctal	23
278	Shavrin	23
278	Yahrto	23
278	Freedrik	23
282	FujiBS	22
282	KarlKaek	22
282	ThePoliteG	22
282	MrExplorer	22
282	GingerNeutron	22
282	hcb238	22
282	bee_gorl	22
282	athereall	22
290	wylify	21
290	H0UNDFRMH3LL	21
290	Froste131	21
290	Comma__	21
290	AnnieBathory	21
295	Sleek_Storm_721	20
295	DinoDoctor_	20
295	Hpdinosaur	20
295	Sna_Ke	20
295	Natty	20
295	Boogaloo242	20
