rank	username	minecraft:picked_up/minecraft:ice
170	_Karmaa	22
174	I_Am_Mushkin	21
175	Euclidoris	20
176	Hisiste	19
177	M_Patata	18
177	Sqwishy	18
177	TheShyPig	18
177	MasterNueve	18
181	RobotMinion101	15
181	JESS_THE_RERE	15
183	NameGenerat0r	14
184	MattieHD	12
185	6king6colt6	11
185	Arceus1975	11
185	_naturell	11
185	wezzzi	11
185	SvenskaHugo	11
190	Dedalus36	10
190	SteveCraftBlocks	10
190	PigDab	10
190	Rasmanden	10
190	masskedman	10
195	KartivGal	9
196	hm947	8
196	surfinggiraffejp	8
196	Skippeh	8
196	Jordan_R	8
200	audiocracked	7
200	stahouo	7
200	Powowowow	7
203	_Bguette_	6
203	2blox	6
205	NoChumpChange	5
205	ediballbearings	5
207	Cowison	4
207	Kouridragon	4
207	yulgur1	4
207	Blu3beast	4
207	fluddd	4
212	BlancoFlaco	3
212	Flores991	3
212	Scathra	3
212	fred870d	3
212	proxivitoid	3
212	MovingFish7	3
212	layabout100	3
212	jcool7	3
212	Quotary	3
221	teslawolf38	2
221	T045RTY	2
221	SteveWithClout	2
221	H72l9w	2
221	tramizu	2
221	EveryonesUncle	2
221	chipklip	2
221	Nycteus_	2
221	the__Reaper4999	2
221	Racengan	2
221	PortlyPete69	2
221	_Yonk_	2
221	kinas45y5	2
234	_NieToksikpl_	1
234	q_wq	1
234	livingdaydreams	1
234	Auseawesome	1
234	shyshyannne	1
234	Hanselhoof	1
234	NotMeanttoChange	1
234	r123moore	1
234	burbankbuilder28	1
234	Shiirazuku	1
234	sammidk	1
234	madderfall	1
234	Typadopoulos	1
234	Ze_BaronKrigler	1
234	_TCARREIRA_	1
234	Luigipunch989	1
234	CalebDHawk	1
234	Njensen7	1
234	TheOuterCore	1
234	Enderslayerxz3	1
234	Yogscast_Manden	1
