rank	username	minecraft:picked_up/minecraft:diorite
85	audiocracked	5697
86	Jackattack53	5592
87	NameGenerat0r	5502
88	cedric72	5400
89	Akoot_	5306
90	FallenCorps	5200
91	Deodorante	5189
92	Groundler	5169
93	Quotary	5115
94	PlzNoBM	5064
95	Arceus1975	4989
96	MilleGrug	4908
97	sp00ky_ghost977	4876
98	fffMike	4809
99	censorsheep	4682
100	stahouo	4549
101	lillips	4531
102	Quincannon	4487
103	Dedalus36	4483
104	MinttyFressh	4452
105	anbbang	4389
106	q_wq	4380
107	jnp_gaming	4371
108	Jovaphobic	4352
109	livingdaydreams	4349
110	SuperPooch06	4342
111	burbankbuilder28	4312
112	Airem_Core	4283
113	M_Patata	4261
114	MrExplorer	4176
115	TooManyDuck	4139
116	Western_1	4068
117	ROY4LE	4067
118	CollinMH06	4058
119	FelixPSY375	4018
120	MasterNueve	3980
121	set67	3970
122	teslawolf38	3947
123	Rasmanden	3922
124	MightyWertu	3913
125	XboxPanda	3909
126	h2p_emrld	3902
127	_Nuf	3860
128	Sral7	3760
129	6king6colt6	3732
130	Toriankel	3596
131	NoChumpChange	3584
132	EcksDofficial	3555
133	Blu3beast	3554
134	SammiWolfGirl	3545
135	Soplight	3531
136	fluddd	3515
137	T045RTY	3495
138	alderban107	3475
139	mariominejedi	3458
140	awesomeoneme	3450
141	Kubelz	3438
142	Njensen7	3414
143	SpaceGrenadier	3367
144	Nicserso	3324
145	Hermanni__	3312
146	Malorn_Aetherius	3297
147	Eraxa	3293
148	The11thDoctor	3286
149	claivin	3171
150	RedcatVII	3136
151	Fuhrer_Teemo	3131
152	GoofyBread	3102
152	UltraZombie	3102
154	LordSpeed37	3095
155	MattieHD	3087
156	Racengan	3082
157	Hiryu27	3040
158	Groovy_MoonBird	3036
159	himak1	3027
160	SaucyDark	3018
161	Dreamdbr14	3014
162	Gab4101	3007
163	Comma__	2993
164	Winklepicker279	2978
165	DTwenty	2954
166	Soap_Bender	2936
167	CoffeeNoir	2924
168	Prodiginus	2862
169	Zedducius	2839
170	Meatlaugh	2795
171	TheSeismicDuck	2711
172	_Karmaa	2700
173	Lukeee33	2686
174	DarlaMeow	2681
175	Zoeyfortnite	2676
176	soundad	2654
177	CalebDHawk	2630
178	SingedBread	2628
179	_Dean_123	2609
180	_TCARREIRA_	2603
181	TheThomas69	2582
182	Kowcio_	2541
183	Barlycorn	2527
184	Corbsman	2525
185	chipklip	2504
186	_Virify_	2494
187	r123moore	2466
188	ExtraDumb	2463
189	gabriels543	2451
189	WET_WET_WET	2451
191	pixelviolin	2444
192	ssleepless	2433
193	Strangemonkey71	2412
194	__tomato	2382
195	KarlKaek	2328
196	bigstankyy	2312
197	GlitchyPlate810	2297
198	CrateOfBoxes	2262
199	Scathra	2250
200	Windo_licker	2236
201	Powowowow	2233
202	NomadicRobin_	2224
203	diamondgolem35	2201
204	Awyrlas	2189
205	Wolverine4302	2168
206	SvenskaHugo	2149
207	OfficerAnvil	2148
208	Warlord324	2147
209	Skylord_Luke	2146
210	AuroraValkyrie	2127
211	Rocco_Lane	2114
212	PortlyPete69	2098
213	Vorlice	2091
214	xxPipperDipperxx	1998
215	Steven1282598	1989
216	Darkgon	1988
217	Houstonion	1986
218	DanTheBuilderino	1975
219	BlankityMcBlank	1944
220	_3Stump_	1917
221	KingMatthew506	1908
222	selectrix	1900
223	FishyBoy3811	1865
224	bloodbiter	1843
225	Zaridey	1827
226	Stiar	1816
227	Cryptacity	1812
228	seanitoo	1810
229	TheDankPlatypus	1799
230	Swexti	1797
231	07shiny	1783
232	lotarp	1782
233	Ecplosive	1780
234	SquadMonster	1774
235	Vetral1	1747
236	H72l9w	1738
237	drumine	1720
238	SSytex_X	1701
239	Fildyr	1693
240	JayToe	1683
241	lizardfightclub	1654
242	fkGrim	1647
243	jacxhadow	1627
244	ElectricDragon81	1626
245	Mr_Byzantine	1612
246	Tolhart	1583
247	TheDumbHuman	1576
248	RodSerlingCringe	1573
249	trexgb	1563
250	Bandito_Roamer	1552
251	RyuNeko932000	1530
252	_8man	1529
253	Hpdinosaur	1525
254	jcool7	1519
255	emrekn	1508
255	Nycteus_	1508
257	ayamefag	1506
258	Ssor69	1497
259	ediballbearings	1483
260	DemTechAlpha	1477
261	Sheldor097	1475
262	theonlymagikarp	1445
263	ShedJr_	1444
264	Nagasaki_Riku	1425
265	Merv__	1420
266	picardred	1403
267	Lutres_Torane	1401
268	UncreativeArtist	1389
269	AlphaWolfPlaysMC	1386
270	Cyntrical	1385
271	Russiancat1	1379
272	eiC_	1377
273	SkateboardR6	1374
273	MakeHistory157	1374
275	cog	1351
276	BronkerBrum	1347
277	lcvezra	1340
278	Flores991	1316
279	fred870d	1314
280	surfinggiraffejp	1303
281	Kamflame10	1288
282	_naturell	1283
283	Drlzyy	1278
284	hcb238	1272
285	Covalents	1249
286	kinas45y5	1238
287	purpolepickle	1214
288	djancak	1209
289	I_Am_Mushkin	1203
289	The_slideV3	1203
291	SlayerCrypto	1200
292	Paintz	1193
293	_Bguette_	1189
294	Wooptey	1188
295	Razzgriz	1184
296	TheBiggestFeller	1179
297	diggydog67	1165
298	Typadopoulos	1123
299	boog4loo	1111
300	masskedman	1104
