rank	username	minecraft:picked_up/minecraft:gold_nugget
213	Blackberry1310	319
214	lorywithay	309
215	paranoid_plant	308
216	I_Am_Mushkin	306
217	vandmanden	303
218	TheSecondLord	302
219	Whiterooster001	296
220	SammiWolfGirl	294
221	BPTY4618	292
222	Syropatathe	290
223	PaperCanvas	289
224	gustarlep	286
225	Jovaphobic	284
225	MinttyFressh	284
227	_Ruzeeq_	280
228	Nycteus_	278
229	Paint	274
229	Eon_57	274
229	HesDemonPants	274
232	Lumien_	272
233	anbbang	269
234	4774	264
235	FishisTTV	254
236	Archsam	253
236	Njensen7	253
238	xolstoi	251
239	e_hernandez57	247
239	Enigma0251	247
239	Hoid_the_Roamer	247
242	Zoeyfortnite	242
243	AuroraValkyrie	238
243	Sheldor097	238
245	_Karmaa	235
245	Steelynan	235
245	Aryamanee	235
248	thebaddruid	234
249	SaphLaseer	231
250	Quaintster	230
251	H0UNDFRMH3LL	226
252	Mattesco	224
253	Nadhorion	223
253	calamariclam_I	223
255	Krasnal1337	219
255	HolyVenom	219
257	Mr_Byzantine	213
258	xPixelRainx	212
258	Snowflowe	212
260	soundad	211
261	Jimb0nat0r	210
262	Akoot_	209
263	tartanboy	208
264	TooManyDuck	202
265	Comma__	200
266	QuiCreans	197
267	Hermanni__	195
268	H72l9w	194
269	SlayerCrypto	193
270	Hahaa_0	191
271	Sleepy_Time_	190
272	Ezekson	188
273	ItsHydroMC	186
273	OreTheBear	186
275	Da_Boss_Rani	184
275	prizm_	184
275	CACTUSLAD	184
278	TheEnderMan548	182
279	SvenskaAlvar	181
280	Maenara	180
281	Luminad3	178
281	jaimshae	178
283	ratglock	177
283	ProfessorDiaper	177
285	Tyrannosplart	176
286	Master_Kol	170
287	Tiberonus	168
287	jnp_gaming	168
289	BercikV	167
289	xzvu	167
291	Zythose	166
291	Rasmanden	166
293	SirBreadward	165
294	ATurtle4936	164
295	ccwildfire1	163
296	tortillatitan	159
297	RoskobiOne	157
298	wezzzi	155
298	IvarEXE	155
300	groofles	152
