rank	username	minecraft:picked_up/minecraft:sandstone_stairs
175	Crizma_	7
175	G1ldor	7
175	GLLogan2	7
175	thewindmillman	7
175	Egom_musk	7
175	wobn	7
175	Blu3beast	7
175	KamFurnace	7
175	jnp_gaming	7
184	Huwulling	6
184	Vizzoid	6
184	thescout7	6
184	shadowthemonkey	6
184	pappaberg	6
184	oscminus	6
184	Felenov	6
184	claivin	6
184	lordpipe	6
184	IAmTheWalrus910	6
184	hermmm_	6
195	Apollo_993	5
195	Incinere	5
195	wickedword	5
195	drunkeeez	5
195	Blaiku	5
195	ProfessorDiaper	5
195	BlankityMcBlank	5
195	Jimb0nat0r	5
203	ImNotYuqii	4
203	RebelAndroid	4
203	T045RTY	4
203	_Nuf	4
203	Frach23	4
203	mwrty	4
203	CrateOfBoxes	4
203	Maenara	4
203	shrimp_flips	4
203	MakeHistory157	4
203	Eraxa	4
203	Segotep999	4
203	ZeroKraken	4
203	Wanjibon	4
217	6king6colt6	3
217	Cats_Fly	3
217	m_be9	3
217	F_Uhre	3
217	Deathkob	3
217	Sheldor097	3
223	NatalieTW	2
223	Alteriity	2
223	Eraza	2
223	NotoriousNina	2
223	crashomon	2
223	WarMachina	2
223	CarryLine	2
223	NomadicRobin_	2
223	Crumbls	2
223	WyngGoy	2
223	Cocoamallows	2
223	IdeallyGrey	2
223	starbits140	2
223	striker90333	2
223	VentiHilton	2
223	Quotary	2
223	Oxygen16	2
240	k_ce	1
240	HollieDaNugget	1
240	ThePaladin1	1
240	Gregward_Smith	1
240	MrKrabOnCoke	1
240	Blazebit	1
240	Cellcorgi649	1
240	NotKaden_	1
240	XboxPanda	1
240	Mobstr	1
240	MyNameIsJobo	1
240	SlayerCrypto	1
240	mshs94	1
240	U_Mos_	1
240	SirPiccardo	1
240	Boipl	1
240	Eczbox	1
240	The11thDoctor	1
240	Chrisdeadeye	1
240	ADEXTV	1
240	natajimi	1
240	TheSeismicDuck	1
240	linxthesontaran	1
240	KlausVonStiglitz	1
240	NumbaOneMunch	1
240	JESS_THE_RERE	1
240	Manaateee	1
240	DASH_X7	1
240	MAns_44	1
240	toos1esl1de	1
240	LilcoinXX	1
240	Pumpkin_P_Patch	1
240	lexrl_	1
240	erkada	1
240	Ezekson	1
240	FelixPSY375	1
240	HelloIamSora	1
240	Zoeyfortnite	1
