rank	username	minecraft:picked_up/minecraft:netherite_pickaxe
244	Wolf_Mauler_73	1
244	jessemgaming	1
244	Hpdinosaur	1
244	tuckerdoodle	1
244	Natofthese	1
244	TAKrules	1
244	stevewithclout	1
244	Swexti	1
244	xPixelRainx	1
244	tlal002	1
244	12Magner05	1
244	Boboczus	1
244	MinttyFressh	1
244	Megarboh	1
244	corvidpartyfor6	1
244	rebichuu	1
244	SteveCraftBlocks	1
244	TwinkBreeder	1
244	Kkanot	1
244	Kamflame10	1
244	Yirtle	1
244	KGTV	1
244	ROY4LE	1
244	olliebollie48	1
244	HoltGrim	1
244	TheDankPlatypus	1
244	Mobstr	1
244	ReverendSmith	1
244	Snowflowe	1
244	burbankbuilder28	1
244	King_Pancake1	1
244	LAVA129	1
244	xDzarkious	1
244	Felenov	1
244	TheWildMateo	1
244	KowcioJr	1
244	LeGold	1
244	Skoll05	1
244	PuFY	1
244	Dan_Scha	1
244	Veillax135	1
244	_Karmaa	1
244	Quaintster	1
244	Not_Insom	1
244	rezi	1
244	vadar12	1
244	ItzWqlfy	1
244	ChronoSounds	1
