rank	username	minecraft:picked_up/minecraft:magma_block
102	gcaisawesome	602
103	DTwenty	584
104	r123moore	566
105	Xalithia	565
106	censorsheep	563
107	Syropatathe	559
108	Nicserso	555
109	ExtraDumb	550
110	himak1	547
111	luseis	546
111	Barlycorn	546
113	jewbacaman	536
114	thescout7	527
114	Njensen7	527
116	xxPipperDipperxx	522
117	301851	503
118	500am	478
119	xolstoi	474
119	JayToe	474
121	ROY4LE	470
122	Sleek_Storm_721	466
122	kekhon	466
122	SuperPooch06	466
125	IvarEXE	463
126	ProfessorBee	461
127	ayamefag	452
128	TAKrules	451
129	soundad	450
130	PlasticOtari	445
131	RadarHz	437
132	EcksD	434
133	JESS_THE_RERE	432
134	XeroByMyth	403
135	Blaiku	402
136	F_Uhre	399
137	Scathra	397
138	djancak	395
139	Druid95	392
140	TheDankPlatypus	389
141	Hoid_the_Roamer	386
141	Hermanni__	386
143	remmisrat	384
144	mariominejedi	381
144	Marbz_	381
146	excelsionprime	357
146	cichy096	357
148	WET_WET_WET	349
148	Smiguli_	349
150	DarkS0L	347
151	UrbanPlanningEx	334
152	6king6colt6	333
153	surfinggiraffejp	330
154	fr_ser	329
155	Lez_	328
156	SammiWolfGirl	318
157	AuroraValkyrie	311
158	NoChumpChange	309
159	Historical_Sand	307
160	SingedBread	295
161	PhantomsGhost_	294
162	Kouridragon	288
163	NameGenerat0r	280
164	kubinek69	276
165	Vorlice	275
166	Iamthejo	271
167	Smashic	263
168	Chromary	262
169	masskedman	261
169	Enderxz3	261
171	BreadBacon	260
172	Dreamdbr14	257
173	Sheldor097	253
174	Comma__	241
175	The_slideV3	239
176	PazinGaming	238
176	Blackberry1310	238
178	StinkyDiplomat	237
179	ImpavidArcher	233
179	MustaLoordi	233
181	Rasmanden	227
182	maxdacatv2	226
182	AssFullaCum	226
184	Ssor69	224
185	XboxPanda	219
186	livingdaydreams	217
187	h2p_emrld	216
188	fallingemma	215
189	Prismyst	213
190	non089	211
191	Mr_Byzantine	206
191	Aneurysmas	206
193	monky_irl	204
194	Steelynan	202
195	Ryker	198
196	NieToksikpl	195
197	lordpipe	193
198	ITDV	191
199	Moetis	190
200	groofles	188
201	UltraZombie	186
202	yaboo88	183
202	Akoot_	183
204	Firecracker320	182
205	Covalents	179
206	NatalieTW	178
207	Fuad_R	176
208	wwwwinnebagoooo	175
209	Arceus1975	174
210	IamCL4SSY	172
210	Nargotah	172
210	nonarso	172
210	MrMeisterProper	172
214	Bandito_Roamer	171
214	Groundler	171
216	tuckerdoodle	170
216	fffMike	170
218	Cowison	169
219	striker90333	167
219	Skippeh	167
221	theofiel	164
222	Windo_licker	162
223	FishyBoy3811	161
223	Xclax101	161
225	Pickel_Lord	160
226	_Bguette_	156
227	tsitrawhy	155
228	Zedducius	151
229	Tyrannosplart	150
230	H0UNDFRMH3LL	149
230	Yatitay	149
230	FelixPSY375	149
233	jcool7	147
234	lizardfightclub	144
234	calamariclam_I	144
236	Kura2218	143
237	Kubelz	142
238	Tobinator_007	141
239	The11thDoctor	140
240	ori0le	139
240	Razzgriz	139
242	Guillemet	138
243	Huwulling	137
243	ivorico	137
243	Tiberonus	137
243	yheece	137
247	Reamdin	136
248	Lord_Doob	132
248	NebulousBadger	132
248	Chuglyfe	132
251	Kowcio_	131
252	fade_emerge78823	130
252	_8man	130
254	GOOBERGABE04	129
255	Sabby65	127
256	DemTechAlpha	126
257	selectrix	124
258	Merv__	123
258	Awyrlas	123
260	k_ce	121
260	AltnumberF4	121
262	mimbo1211	120
263	Jimb0nat0r	119
264	Fizznut909	117
265	starbits140	116
266	oscminus	115
266	claivin	115
266	Bloo2406	115
269	MoistMicrowave	114
270	Skylord_Luke	111
270	ItsAki_	111
272	RocketRidge	110
272	Spenduh	110
274	RoskobiOne	109
274	MirielThePastor	109
276	diamondgolem35	106
277	Bumpy419	105
278	bloodbiter	103
278	dendydoom	103
278	MAns_44	103
281	RosaDoesMC	101
281	SyK7	101
281	SaucyDark	101
281	Rumpletaezer	101
285	SmashingPump	100
285	poopybh	100
287	Jovaphobic	98
287	TheMilkerOfCats	98
289	SaltineDream	97
289	00000000-0000-0000-0009-01ff0c3e5e4f	97
291	Alteriity	96
292	Creativebuilder2	95
292	Megarboh	95
294	IforgotCS_Source	94
294	_Meow_Mix	94
294	IAmTheWalrus910	94
297	Alexanderjac	92
298	Hyugo	90
299	titanlax	85
299	Mattesco	85
