rank	username	minecraft:picked_up/minecraft:iron_pickaxe
141	AlexStrange	4
141	Neemuuri	4
141	_Boipl_	4
141	RyuNeko932000	4
141	seramalen	4
141	CruncyIsTaken	4
141	YahooScreen9000	4
141	Austinizzle	4
141	natajimi	4
141	Lord_Zacler	4
141	rotten_mango	4
141	Blu3beast	4
141	Groundler	4
141	SkateboardR6	4
141	Airem_Core	4
141	geekbird	4
141	IAmTheWalrus910	4
141	emantbe	4
141	Cocoamallows	4
141	Optiprimus	4
141	Eraxa	4
141	robotemo	4
141	DontHaveKick	4
141	_TCARREIRA_	4
141	Catharsist	4
141	jcool7	4
141	alderban107	4
141	oxfordschool	4
141	Wolverine4302	4
180	MunkaKris	3
180	grillie3	3
180	Mr_Byzantine	3
180	fanofbands101	3
180	Cowison	3
180	The_Dark_One_00	3
180	Merv__	3
180	SlowMoNinja1994	3
180	KarlKaek	3
180	Humpcat	3
180	AlazelTheReal	3
180	CoffeeNoir	3
180	ivorico	3
180	joethahobo	3
180	TinMaster	3
180	12Magner05	3
180	Guillemet	3
180	_Nuf	3
180	Sloths_Ender	3
180	Fullut	3
180	sandmire	3
180	Awyrlas	3
180	himak1	3
180	Mewar	3
180	2Stout	3
180	theonlymagikarp	3
180	maddog2014	3
180	SHAOBADMAN	3
180	M_Patata	3
180	BlueZabu	3
180	MyNameIsJobo	3
180	jedi_george	3
180	Chromary	3
180	Rumpletaezer	3
180	King_Pancake1	3
180	impossibleteapot	3
180	Parcc	3
180	bean__salad	3
180	Truckoss	3
180	_Cloverbelle_	3
180	Dan_Scha	3
180	Drewen24	3
180	Leyna3	3
180	sxc_	3
180	wirelesstree	3
180	SpookyDraggin	3
180	TheSeismicDuck	3
180	wobn	3
180	StitchCrashes	3
180	madderfall	3
180	jambvds	3
180	ATurtle4936	3
180	censorsheep	3
180	Racengan	3
180	Matorz	3
180	TheDumbHuman	3
180	WyngGoy	3
180	SexcMf	3
180	Pickel_Lord	3
180	ayamefag	3
180	Kowcio_	3
180	Siguy__	3
180	__tomato	3
180	Soplight	3
180	Juh1s	3
180	SammiWolfGirl	3
180	TheGameArchitect	3
180	mobunni	3
180	RadarHz	3
180	smogfrog	3
180	Kiki_Majiki	3
180	Powowowow	3
180	vandmanden	3
180	camando92	3
180	MelodyGaysharks	3
180	_Dri_	3
256	rats_life	2
256	SaltineDream	2
256	Astronicky	2
256	SugarMyNuggets	2
256	seanitoo	2
256	Bandito_Roamer	2
256	Crowvens	2
256	SyK7	2
256	domon41c_2	2
256	2xil2	2
256	Harotio	2
256	Ninzyyy	2
256	abramgray	2
256	Lotheburgh	2
256	strongman951753	2
256	The_Great_Jake	2
256	Ze1ig	2
256	ItsColin11	2
256	Ailmast	2
256	teslawolf38	2
256	Foof13	2
256	xXTheWolfmanXx	2
256	freeandrew	2
256	ImpavidArcher	2
256	Paleshield	2
256	_Razar	2
256	Zippyzam	2
256	HollieDaNugget	2
256	livingdaydreams	2
256	jimintyy	2
256	youhjjhhhjj	2
256	Myszoaz	2
256	EliteTrashPanda_	2
256	TastyPorkchop	2
256	chlorinex	2
256	Euclidoris	2
256	Mimiir345	2
256	Sparky_KT	2
256	Prodiginus	2
256	picardred	2
256	MinePowerz	2
256	prelutrinae	2
256	Blackberry1310	2
256	Cryptacity	2
256	Comma__	2
