rank	username	minecraft:picked_up/minecraft:raw_gold
166	Lord_Doob	97
167	ZeroAbyssTTV	96
168	TheALV	95
169	TJawesome09	94
170	strongman951753	93
170	Nycteus_	93
172	tuckerdoodle	92
172	orxngejuice	92
174	FlirtingWithBoys	91
175	Lez_	90
176	KGTV	89
177	Z3braYTIL	86
178	ImpavidArcher	85
179	kinas45y5	81
180	Boboczus	80
180	alderban107	80
182	Chickenchaser2	79
182	Mookle96	79
184	Begformurrcy	78
184	MSK__	78
186	hm947	75
187	chrolus	74
187	NoHaHeHa	74
189	Veillax135	73
190	q_wq	72
190	hcb238	72
190	KartivGal	72
190	Poppy235	72
194	Ev0luti0nz	69
195	Blackberry1310	68
195	Schokoreo	68
197	Yahir091	67
198	microcrisp	65
199	Jonte0599	63
199	SvenskaAlvar	63
199	Sheldor097	63
199	AstroLightz_	63
203	PoofHairGuy	62
204	AlexxO_o	59
204	MrQuanQuan	59
206	Aryamanee	58
206	CattSoup	58
208	ThatMan_Dave	57
209	deerm	55
210	Mattesco	53
211	Khelvoryk	52
211	GOOBERGABE04	52
211	00000000-0000-0000-0009-01fbab7ea71d	52
214	masskedman	50
215	drunkeeez	48
215	Zackran	48
217	EtherealSilveon	47
217	Ghemmah	47
219	_DKC	46
220	Jackattack53	45
221	MogusBussy69	44
221	_Karmaa	44
223	HoltGrim	43
224	ConJaBz	42
225	Joestra	41
226	floodjon	39
226	binman420	39
226	iHuntWeeaboos	39
229	BungalowBeet	38
230	breadbowlgamer	37
230	lizardfightclub	37
230	H_O_M_H	37
233	smarticuno	36
233	Winklepicker279	36
233	Vegvisir	36
236	SpaggeDR	35
236	infiniteQuery	35
236	athereall	35
239	Saltymart	34
239	Racengan	34
241	Mr_Byzantine	33
241	SteveCraftBlocks	33
241	PigDab	33
241	MinuteMira	33
245	I_Moose	32
245	Glowhetic	32
247	Valoth	31
247	WeebleSock	31
247	MineMaster0012	31
247	SpicyDuckMan	31
247	bagel980	31
252	Krasnal1337	30
252	ChampPog_	30
252	Skylord_Luke	30
252	EveryonesUncle	30
256	Alfred603	29
256	DolphinLaugh	29
256	IDealess_At_This	29
256	NATE_the_HALO	29
256	Legendosh	29
256	momis24	29
262	PazinGaming	28
262	Base_Tempest	28
262	joethahobo	28
262	Akoot_	28
266	MrKrabOnCoke	27
266	ZoharGoldMine	27
268	Laykon	26
268	MADDMASTA	26
268	MissCeleste7	26
268	Rexorout	26
272	kekhon	24
272	2Stout	24
272	Toriankel	24
275	SBean737	23
275	benediktine1	23
275	Testificate_517	23
278	Lilinaya17	22
278	Farv	22
278	Kekoo	22
281	shineh10	21
281	ChronoSounds	21
281	Eczbek	21
284	ArdaAslan02	20
284	Xi_J1nping	20
286	Patwannabegamer	19
286	Dan_Scha	19
286	Ossem	19
289	JuuustYeet	18
289	CarryLine	18
289	TheEnderman548	18
289	Weepingbiel	18
289	obtusely	18
294	MarianooItaliano	17
294	Toasty_Tom	17
296	SDW_Insanity	16
296	mix9ine_maz	16
296	skonos	16
299	dimitri0s	15
299	SDMNAEK	15
