rank	username	minecraft:picked_up/minecraft:blue_ice
169	ssleepless	17
169	BlancoFlaco	17
169	Myszoaz	17
169	Touched_Bread	17
169	Snowflowe	17
169	Powowowow	17
175	FiguraDei	15
176	Secret_Canary	14
176	dartwaffle	14
178	ECstardust	13
178	Tyrannosplart	13
180	H0UNDFRMH3LL	12
180	ShedJr_	12
180	kekhon	12
180	_Mythic____	12
180	TheKingK_	12
180	TheBananaKat	12
180	Nicserso	12
180	JayToe	12
188	Cowison	11
188	SvenskaHugo	11
188	annebolyn	11
191	k_ce	10
191	Da_Boss_Rani	10
191	HUNTERmaun	10
191	set67	10
191	Arceus1975	10
191	_8man	10
191	Dragonlfw	10
191	MandenR1	10
199	zmpeg	9
200	tuckerdoodle	8
200	Scathra	8
200	handsome_strong	8
200	censorsheep	8
204	ZaneABrain	6
204	Skylord_Luke	6
204	Cruncy_	6
204	Lord_Jord	6
208	Vizzoid	5
209	Mahoose	4
209	hanaryheatwave	4
209	ApophisNova	4
209	Sheldor097	4
209	MyNamaSheff	4
209	00000000-0000-0000-0009-01ff0c3e5e4f	4
215	peachfuzz1267	3
215	ewsophie	3
215	301851	3
215	Zxhir	3
215	Stynxy	3
215	Cryptacity	3
215	catandmoose	3
215	legal_tax_evader	3
215	Rumpletaezer	3
215	Mr_Sun15	3
215	DTwenty	3
215	Xclax101	3
215	voiding_	3
228	Huwulling	2
228	MoistMicrowave	2
228	Archsam	2
228	_Dean_123	2
228	HolyVenom	2
228	NomadicRobin_	2
228	Fuad_R	2
228	SingedBread	2
228	__tomato	2
228	ConnorDanky_	2
228	smogfrog	2
239	PhantomsGhost_	1
239	RebelAndroid	1
239	MSK__	1
239	Megarboh	1
239	Winklepicker279	1
239	Marbz_	1
239	Rocco_Lane	1
239	RobotMinion101	1
239	EveryonesUncle	1
239	NBK365	1
239	EfficientC52	1
239	iSammael	1
239	OG_Songsee	1
239	mobunni	1
239	little_dUki	1
239	Jimb0nat0r	1
239	trexgb	1
