rank	username	minecraft:picked_up/minecraft:bone
187	MAns_44	509
188	Kubeusz2010	505
189	xxPipperDipperxx	504
190	RyuNeko932000	492
191	jimintyy	489
192	masskedman	481
193	Inchef	477
194	UrbanPlanningEx	475
195	T045RTY	474
196	CrateOfBoxes	472
197	GravitySaint	465
198	bigstankyy	459
198	ProfessorBee	459
200	Awyrlas	453
201	HesDemonPants	449
202	301851	440
203	TheDankPlatypus	433
203	Serval2000	433
203	2bolx_	433
206	Killercatty78	432
207	RadarHz	427
208	Kateesaur	425
209	djancak	422
210	Hpdinosaur	418
211	r123moore	415
211	__tomato	415
213	Ryker	412
214	jacxhadow	407
215	H72l9w	404
216	bloodbiter	402
217	MyNameIsDakar	401
218	groofles	398
219	Barlycorn	397
220	IdeallyGrey	394
221	Wowful	390
222	Windo_licker	389
222	SunsetwolfGG	389
224	KingFaenor	388
224	Cocoamallows	388
226	Paintz	381
226	NotMeowMix	381
228	Hiryu27	380
228	seramalen	380
230	obzii	379
231	NatalieTW	378
232	Touched_Bread	377
233	Deodorante	372
234	Historical_Sand	371
235	Natty	367
236	_8man	363
237	FirsTimeGamingTV	354
237	Sral7	354
239	Lez_	353
240	CoffeeNoir	352
240	CollinMH06	352
240	PlzNoBM	352
243	platinumzero	350
243	SSytex_X	350
245	MovingFish7	349
246	_Nuf	345
247	SellyZ	341
248	mariominejedi	339
249	diamondgolem35	338
250	livingdaydreams	325
250	fluddd	325
252	Truckoss	324
252	layabout100	324
254	AlexxO_o	323
254	Luigipunch989	323
254	CalebDHawk	323
257	Malorn_Aetherius	318
258	QuiCreans	317
258	Chromary	317
258	GoofyBread	317
261	IamCL4SSY	315
262	burbankbuilder28	313
263	SwooshBoi	312
264	Leyna3	311
264	Soul_Atreus	311
264	00000000-0000-0000-0009-01ff0c3e5e4f	311
267	AuroraValkyrie	310
268	starbits140	309
269	ExtraDumb	307
269	Quincannon	307
271	audiocracked	305
272	Dusk_95	304
273	TheTrueClipse	303
274	tartanboy	300
275	SyntheticSurgeon	299
276	alderban107	298
277	cedric72	297
278	Huwulling	294
278	fade_emerge78823	294
278	Hermanni__	294
281	12Magner05	291
282	Hoid_the_Roamer	290
283	_Virify_	288
283	I_Am_Mushkin	288
285	MrKrabOnCoke	287
286	Myszoaz	286
287	Swexti	285
288	Fuad_R	282
289	RobotMinion101	281
289	weabis	281
289	monky_irl	281
292	RefluxRatio	280
293	lotarp	279
293	MakeHistory157	279
295	ColeSnyder	276
296	ItsDeltaMC	275
297	NoChumpChange	272
298	Alteriity	271
299	SquadMonster	270
300	XboxPanda	269
