rank	username	minecraft:picked_up/minecraft:spruce_boat
144	fr_ser	33
144	Spenduh	33
147	Awyrlas	32
147	El_Jalapeno	32
147	lordpipe	32
150	Da_Boss_Rani	31
150	FirsTimeGamingTV	31
150	whoaluv	31
153	awesomeoneme	30
153	Tmb1	30
153	Septemb3r	30
153	_Boipl_	30
153	epiksk8erduck	30
153	Quincannon	30
153	E775	30
153	Ze_BaronKrigler	30
161	Yogscast_Manden	29
162	Rich_Kat	28
162	Kkanot	28
162	__tomato	28
162	Nicserso	28
166	Shazzyling	27
166	paranoid_plant	27
166	egglapras	27
166	stahouo	27
166	LeeMcGee30	27
166	Dreamdbr14	27
172	hollowww	26
172	Rocco_Lane	26
172	fkGrim	26
172	KlausVonStiglitz	26
172	Quaintster	26
177	Harotio	25
177	Incinere	25
177	thescout7	25
177	AnnieBathory	25
177	Rebytre	25
177	Inbefour	25
177	Blu3beast	25
177	kinas45y5	25
185	zqw10k	24
185	Natty	24
185	Matek_	24
185	ItzWqlfy	24
185	Groundler	24
185	obzii	24
191	Zythose	23
191	MyNameIsDakar	23
191	MineMaster0012	23
191	lcvezra	23
191	Poppy235	23
196	rats_life	22
196	Thaumatarge	22
196	JohnnyFyes	22
196	jiggywraps	22
196	reiwai	22
196	CrateOfBoxes	22
196	Hiryu27	22
196	TiborSterle	22
196	yatsuta	22
196	TheALV	22
196	2blox	22
207	CarbonatedCola	21
207	encraft05	21
207	eiC_	21
207	Bumpy419	21
207	IAmTheWalrus910	21
207	Kowcio_	21
207	PlzNoBM	21
214	6king6colt6	20
214	bigstankyy	20
214	Stynxy	20
214	Inchef	20
214	John6970	20
214	Joestra	20
214	SlinkyPinky	20
214	MeetTheWollo	20
214	h2p_emrld	20
223	Cowison	19
223	ssleepless	19
223	Ardennes	19
223	G1ldor	19
223	Cambo5000	19
223	Covalents	19
223	Parcc	19
223	FishyBoy3811	19
223	AuroraSkies	19
223	Bloo2406	19
223	ayamefag	19
223	SSytex_X	19
223	Slapface522	19
223	trexgb	19
237	Mr_Byzantine	18
237	KingFaenor	18
237	XeroByMyth	18
237	anbbang	18
237	smogfrog	18
237	vandmanden	18
237	WYFYoyo	18
244	MSK__	17
244	tramizu	17
244	jushykins	17
244	AdvertisingMerc	17
244	Ithaca_GC	17
244	XboxPanda	17
244	Voxin2K	17
244	TTNG	17
244	AlphaWolfPlaysMC	17
244	Jiminbub	17
244	QueenShuvi	17
255	Vizzoid	16
255	Infernowithazero	16
255	The11thDoctor	16
255	Eerini	16
255	OG_Songsee	16
255	Optiprimus	16
255	KingMatthew506	16
255	Kubeusz2010	16
255	da10shi	16
255	Powowowow	16
265	ratglock	15
265	Hoid_the_Roamer	15
265	CruncyIsTaken	15
265	cosq	15
265	ogoa	15
265	sufjanlover	15
265	ebanana	15
265	The_slideV3	15
265	EfficientC52	15
265	Nycteus_	15
265	verynothing	15
265	_3Stump_	15
277	MunkaKris	14
277	Whiterooster001	14
277	Ozixar	14
277	Prodiginus	14
277	ketaminmann	14
277	Marbz_	14
277	Snowflowe	14
277	burbankbuilder28	14
277	thgrocks	14
277	wrgates99	14
277	Lutres_Torane	14
277	ConJaBz	14
277	Bonzaidalek	14
277	sp00ky_ghost977	14
277	Segotep999	14
277	Quotary	14
277	xRB34	14
294	Krasnal1337	13
294	SirMinza	13
294	M_Patata	13
294	thewindmillman	13
294	MousePlays	13
294	OverallConcept	13
294	MasterNueve	13
