rank	username	minecraft:picked_up/minecraft:packed_ice
236	RobotMinion101	253
237	shyshyannne	251
238	XboxPanda	243
238	OfficerAnvil	243
240	SaucyDark	234
241	fanofbands101	233
242	RodSerlingCringe	224
243	KingMatthew506	222
244	Yogscast_Manden	219
245	Alteriity	218
245	oxfordschool	218
247	SvenskaHugo	211
248	FelixPSY375	210
249	_Boipl_	208
250	Spenduh	205
251	iSammael	203
252	wickedword	197
253	sxc_	194
254	IforgotCS_Source	192
254	Dabatha	192
254	xsewn	192
257	Lowjinx	188
258	HolyVenom	186
259	Skylord_Luke	185
260	jacxhadow	179
261	Slavisaa	178
262	Euclidoris	172
263	egglapras	169
264	AlexxO_o	162
264	mihimihimihi	162
266	RocketRidge	160
267	Giannism	152
268	Kouridragon	141
268	wwwwinnebagoooo	141
270	Krasnal1337	139
270	RedcatVII	139
272	groofles	133
272	Nycteus_	133
274	ayamefag	132
275	Nicky19	129
276	TheWildMateo	128
277	ogoa	126
278	Inbefour	125
279	Lord_Jord	119
280	Zaridey	108
281	CaptainDeadBread	107
282	MrExplorer	102
283	Marbz_	100
284	Xalithia	96
285	DTwenty	94
286	gabriels543	89
287	hcb238	88
288	KG1999	87
289	smogfrog	86
290	NomadicRobin_	83
291	diamondgolem35	82
292	IdeallyGrey	80
293	Candad_	77
294	titanlax	73
295	Hpdinosaur	72
296	SuperPooch06	71
296	SokaOtaku	71
298	Toriankel	69
299	Kynigito	68
300	RyuNeko932000	66
