rank	username	minecraft:picked_up/minecraft:redstone_ore
255	HolyVenom	66
255	Karbl	66
257	IWorkAtIkea	65
258	gustarbite	64
259	Crowvens	63
259	AuroraValkyrie	63
261	FishyBoy3811	62
262	Nach0Bear	61
263	MixerDixer	60
263	XeroByMyth	60
265	Lowjinx	59
266	JEWISHBadenBeele	58
266	_Tilariel_	58
266	JayToe	58
269	Jovaphobic	57
269	theonlymagikarp	57
269	drumine	57
269	SSytex_X	57
269	_3Stump_	57
274	Racengan	56
275	Os_qq	55
276	peachfuzz1267	54
276	Xclax101	54
276	GlitchyPlate810	54
276	erkada	54
280	YungJakobo	53
280	SUN_DREAM	53
280	PortlyPete69	53
280	Kferno	53
284	selectrix	52
285	mariominejedi	51
285	Quincannon	51
287	Ssor69	50
287	TheOuterCore	50
287	EcksDofficial	50
290	6king6colt6	49
290	ProfessorDiaper	49
292	Comma__	48
292	Rumpletaezer	48
292	K_a__a_n	48
292	WYFYoyo	48
296	SaucyDark	47
296	theofiel	47
296	Quaintster	47
296	SexcMf	47
300	WET_WET_WET	46
