rank	username	minecraft:picked_up/minecraft:acacia_planks
192	MrKrabOnCoke	22
194	parodypatient	21
195	Batman922	20
195	titanlax	20
195	rpmm	20
195	ReflexCode	20
195	UCP_TheKingK	20
200	HolyVenom	19
200	stuy9	19
200	_Karmaa	19
200	C0oOK13M0N5T3R	19
204	TheSecondLord	18
204	PA_Tech_Gaming	18
206	_Huge_Male_	17
206	dimondking777	17
206	Racengan	17
206	SvenskaHugo	17
206	ItsJunoIGuess	17
211	Secret_Canary	16
211	_Dean_123	16
211	twinkel_star24	16
211	WyngGoy	16
215	Froste131	15
215	CEOofSHINS	15
215	Fullut	15
215	kars0n	15
215	KillerNekoRain	15
215	Biites	15
221	Ozixar	14
221	TinMaster	14
221	John6970	14
221	xX_Stalin69_Xx	14
221	momis24	14
226	ooga47	13
226	OPTOMA_KING	13
228	Mocha_Mug	12
228	RatatJuice	12
228	MAns_44	12
228	stellarjay	12
228	Dreamdbr14	12
233	funeralhome	11
233	Droonie	11
233	o0z	11
233	Maenara	11
233	NomadicRobin_	11
233	tlustyCZARNY	11
233	Nicserso	11
233	h2p_emrld	11
241	xExpresso	10
241	DiscardedCE	10
241	Hpdinosaur	10
241	Kamflame10	10
241	KingEgg1	10
241	The11thDoctor	10
241	Lord_Zacler	10
241	Dakar_	10
241	SammiWolfGirl	10
250	Cryptacity	9
250	BlueZabu	9
250	MousePlays	9
250	yulgur1	9
250	tsitrawhy	9
255	Auseawesome	8
255	12Magner05	8
255	500am	8
255	himak1	8
255	DabKeepaBlicky	8
255	AlexxO_o	8
255	Akoot_	8
255	audiocracked	8
255	Blaiku	8
255	halfbakedlasagna	8
255	OfficerAnvil	8
255	skrongus	8
255	Schlitzman	8
268	Huwulling	7
268	ShedJr_	7
268	FlackoJonah	7
268	Master_Kol	7
268	TylerDupree	7
268	ItsAki_	7
268	fqdeintoyou	7
268	imaginek1d	7
276	AgressiveEggdog	6
276	T045RTY	6
276	rarrq	6
276	Rebytre	6
276	Vetral1	6
276	AlexChristian	6
276	Ze_BaronKrigler	6
276	Chayula	6
276	AssFullaCum	6
276	MasterOwen1	6
286	SaucyDark	5
286	Crowman1	5
286	MattieHD	5
286	G1ldor	5
286	slkiey	5
286	switchNat	5
286	Resner	5
286	NotSoJamie	5
286	CollinMH06	5
286	andy_rex	5
286	MeanTugger	5
286	lizardfightclub	5
286	duqboy	5
286	XxCookiequeenxX	5
286	censorsheep	5
