rank	username	minecraft:picked_up/minecraft:smoker
132	Kim_Jong_eel	4
132	SaintJosie	4
132	DarkS0L	4
132	YungMaki	4
132	starbits140	4
132	Powowowow	4
132	Jimb0nat0r	4
132	00000000-0000-0000-0009-01fc3bb26159	4
159	SugarMyNuggets	3
159	seanitoo	3
159	CLG_Kata	3
159	EMC_	3
159	hm947	3
159	Flores991	3
159	Jahara	3
159	Myszoaz	3
159	Stynxy	3
159	tortillatitan	3
159	corvidpartyfor6	3
159	Master_Kol	3
159	thescout7	3
159	Mariopreeet	3
159	Inchef	3
159	SlayerCrypto	3
159	Jackattack53	3
159	Chromary	3
159	Zythose	3
159	killmeiamtraitor	3
159	Skylord_Luke	3
159	Mattesco	3
159	ADEXTV	3
159	yulgur1	3
159	MinuteMira	3
159	balin55	3
159	Dakar_	3
159	AstreaTSS	3
159	El_Jalapeno	3
159	lordpipe	3
159	Druid95	3
159	stavgod	3
159	07shiny	3
159	xorompole	3
159	smogfrog	3
159	WYFYoyo	3
159	00000000-0000-0000-0009-01ff0c3e5e4f	3
196	_Virify_	2
196	SmashingPump	2
196	teslawolf38	2
196	TildaAndrea	2
196	bigstankyy	2
196	Ryan_GEMS	2
196	eitanzaki	2
196	livingdaydreams	2
196	SidorAlex	2
196	peach0s	2
196	PhantomBionic	2
196	SquadMonster	2
196	beeperbeeper5	2
196	Mercadies	2
196	NieToksikpl	2
196	Auseawesome	2
196	shdesolt	2
196	StanceTB	2
196	MattieHD	2
196	ProfessorBee	2
196	Jokerman369	2
196	slkiey	2
196	mwrty	2
196	Bobby808	2
196	fade_emerge78823	2
196	Xalithia	2
196	XboxPanda	2
196	HoltGrim	2
196	SHAOBADMAN	2
196	Rumpletaezer	2
196	fenkuu	2
196	AnnieBathory	2
196	Solar_Power	2
196	Krowuss	2
196	SvenskaSara	2
196	nut_e	2
196	F_Uhre	2
196	epiksk8erduck	2
196	J4k__	2
196	ClemenPine	2
196	Aangezet	2
196	kiluaemc	2
196	Fuhrer_Teemo	2
196	KlausVonStiglitz	2
196	SolicitedPuma101	2
196	Mr_Gulle	2
196	JESS_THE_RERE	2
196	1442	2
196	The_slideV3	2
196	xyfrs	2
196	WyngGoy	2
196	Optiprimus	2
196	SSytex_X	2
196	stellarjay	2
196	c0la_c0ca	2
196	Invintic	2
196	MineCryptian	2
196	mountaingirl311	2
196	UrbanPlanningEx	2
196	TechnoNinja64	2
196	trexgb	2
257	gary_	1
257	funeralhome	1
257	Tobinator_007	1
257	SyK7	1
257	dudcreeper	1
257	abramgray	1
257	awesomeweasel	1
257	Paint	1
257	Nucket	1
257	Sleek_Storm_721	1
257	MikeIsSalty	1
257	Houstonion	1
257	Hyugo	1
257	JokoFiskare	1
257	RatatJuice	1
257	Incinere	1
257	RebelAndroid	1
257	Rasaq	1
257	Filborg	1
257	Alteriity	1
257	CoffeeNoir	1
257	IWorkAtIkea	1
257	PBandChocolate	1
257	Howertt	1
257	Shazzyling	1
257	Ganjier	1
257	Upstro10	1
257	SqltedWolfie	1
257	jacxhadow	1
257	MinttyFressh	1
257	Sloths_Ender	1
257	Scattman_	1
257	Tmb1	1
257	orxngejuice	1
257	PegLegPete93	1
257	KingEgg1	1
257	olliebollie48	1
257	M_Patata	1
257	CaptainSteve345	1
257	legal_tax_evader	1
257	ChillenChiggen	1
257	issazumi	1
257	corpsecity	1
257	burbankbuilder28	1
