rank	username	minecraft:picked_up/minecraft:nether_wart
188	milkedit	145
189	Batoser	140
190	301851	138
190	Skippeh	138
192	Donutt	134
193	ehunt54	133
194	pixelviolin	132
195	AuroraSkies	128
195	KatieBelle04	128
197	Kubelz	127
197	masskedman	127
199	ShedJr_	125
200	IWorkAtIkea	124
201	JingleLizi	123
201	Ryker	123
201	zorin123	123
201	Quaintster	123
205	livingdaydreams	120
206	sp00ky_ghost977	119
207	popcanter	118
207	mobunni	118
209	Quincannon	117
210	Spacewardharpy7	116
211	Unitas_isa	115
211	DirtyDalle	115
211	1442	115
214	MissCeleste7	113
215	ivorico	112
216	Tolhart	109
216	drumine	109
216	Kijiki	109
219	DarkFisto	108
220	GoofyBread	105
220	Enderslayerxz3	105
222	Cerbric	104
223	Moofyman	102
223	Kowcio_	102
225	Syropatathe	101
225	NotMeowMix	101
227	ABUSNA1996	100
228	Stynxy	99
228	KnightmareD	99
230	Digcove	97
230	Tmb1	97
232	Kouridragon	96
232	Jiminbub	96
234	GravitySaint	94
235	Cowison	93
236	h2p_emrld	91
237	MrExplorer	90
237	Segotep999	90
239	Sleek_Storm_721	89
240	audiocracked	88
241	AnnieBathory	87
242	Guillemet	86
242	Apicomplexa	86
244	stijnbro	85
245	HolyVenom	84
246	MyNameIsJobo	83
247	Professor_x8	81
248	SvenskaHugo	80
249	120s	79
249	Yahrto	79
251	4774	78
252	fred870d	77
252	Hermanni__	77
254	Lord_Lollo	76
255	M_Patata	75
255	cog	75
257	KarlKaek	74
257	_Dean_123	74
257	Groundler	74
257	TheALV	74
261	censorsheep	73
262	jnp_gaming	72
263	MasterNueve	70
264	AvaRosey	69
265	tobinwilliams	68
266	Kubeusz2010	67
266	laron58	67
268	tartanboy	66
269	SlowMoNinja1994	65
269	SquashyHydra	65
269	5712	65
272	Prismyst	64
272	12Magner05	64
272	beeleg	64
272	SeverianTheLame	64
272	LibertyMutual	64
272	BreadBacon	64
278	Huwulling	63
278	Onennon	63
280	selectrix	62
280	Dusk_95	62
282	LeeMcGee30	61
283	Alteriity	60
283	shyshyannne	60
285	Historical_Sand	59
286	dabloons	57
286	Covalents	57
286	AJplaysMC_	57
286	_8man	57
290	tramizu	56
290	Nyxiom_	56
290	Warlord324	56
290	Kyrum2169	56
290	Juh1s	56
290	striker90333	56
296	_Crimson_Legate	55
297	TAKrules	54
297	gaziter10	54
297	Vizzoid	54
297	SharpDev	54
