rank	username	minecraft:picked_up/minecraft:flower_pot
229	J4ko8_	3
229	ogoa	3
229	Inbefour	3
229	XxCookiequeenxX	3
229	sufjanlover	3
229	lolpoottoot	3
229	lordpipe	3
229	gusstationwerker	3
229	Winston_Ingram	3
229	Skippeh	3
229	OfficerAnvil	3
229	Apicomplexa	3
229	Wanjibon	3
256	NatalieTW	2
256	heysushii	2
256	Cowison	2
256	TildaAndrea	2
256	Tommhh	2
256	Sleek_Storm_721	2
256	Natty	2
256	elmer1234	2
256	Whiterooster001	2
256	roxycherry	2
256	MinttyFressh	2
256	thescout7	2
256	Eraza	2
256	stickymonkeyboy	2
256	purpolepickle	2
256	Windo_licker	2
256	Ebsen05	2
256	Hoid_the_Roamer	2
256	Bumpy419	2
256	Hiryu27	2
256	TheWildMateo	2
256	The11thDoctor	2
256	Smussa	2
256	Mattesco	2
256	KeruNatsema	2
256	dezxalo	2
256	audiocracked	2
256	Gryglu583	2
256	censorsheep	2
256	MovingFish7	2
256	Ze_BaronKrigler	2
256	RealGroot	2
256	Deguns123	2
256	jcool7	2
256	Dreamdbr14	2
256	Eczbek	2
256	laron58	2
256	smogfrog	2
256	Powowowow	2
295	RosaDoesMC	1
295	Tobinator_007	1
295	MixerDixer	1
295	diminub	1
295	PazinGaming	1
295	Ailmast	1
