rank	username	minecraft:killed/minecraft:pig
161	chimpmunker	31
161	shadowthemonkey	31
161	SuperPooch06	31
161	NoobSlayerPro	31
161	jaimshae	31
161	Deguns123	31
161	diggydog67	31
168	bigstankyy	30
168	Jackattack53	30
168	AlphaWolfPlaysMC	30
168	Ze_BaronKrigler	30
168	Erased_Identity	30
173	gren_ben	29
173	RebytreGT	29
173	Project_MKBRD	29
173	AvaRosey	29
173	smogfrog	29
173	ALoafOfBreadn	29
179	Bruh77	28
179	intropass	28
179	Winklepicker279	28
179	djancak	28
179	Heisenbberrg	28
184	TooManyDuck	27
184	TheSecondLord	27
184	Inchef	27
184	AJplaysMC_	27
184	Krowuss	27
184	Joestra	27
184	AssFullaCum	27
184	VentiHilton	27
184	2blox_	27
193	Ninzyyy	26
193	FujiBS	26
193	chrolus	26
193	dopplexd	26
193	Toriankel	26
198	Harotio	25
198	Mahoose	25
198	YahooScreen9000	25
198	ElKaySVK	25
202	Froste131	24
202	ImpavidArcher	24
202	whoaluv	24
202	GoofyBread	24
202	_i_ERROR_i_	24
207	RebelAndroid	23
207	Myrlewen	23
207	Pofen	23
207	PeteO1995	23
207	kars0n	23
207	Donutt	23
207	KeruNatsema	23
207	Lutres_	23
207	DarkS0L	23
207	BigCronkin	23
207	Bloo2406	23
207	Soplight	23
207	Njensen7	23
207	TheBananaKat	23
207	h2p_emrld	23
222	Slinkyy7071	22
222	Alteriity	22
222	i2f8x4h8ro	22
222	Z3braYTIL	22
222	Dali1465	22
222	Kakolbus	22
222	RobotMinion101	22
222	ebanana	22
222	SkateboardR6	22
222	HelloIamSora	22
222	Oxygen16	22
233	Napoleonpancake	21
233	RatatJuice	21
233	MoistMicrowave	21
233	EvenMina	21
233	FirsTimeGamingTV	21
233	SnowyAvi	21
233	Touched_Bread	21
233	plato2066	21
233	PlzNoBM	21
233	Nargotah	21
233	Trioxide	21
233	taengoos	21
245	dudcreeper	20
245	Huwulling	20
245	Mercadies	20
245	CollinMH06	20
245	bee_gorl	20
245	wezzzi	20
245	XxCookiequeenxX	20
245	TheRoboSock	20
245	zKaneki	20
245	Rainaldus	20
245	annebolyn	20
245	MandenR1	20
257	SDMNAEK	19
257	VanJosh	19
257	skelctal	19
257	IamCL4SSY	19
257	MightyWertu	19
257	BumbleBeever	19
263	CloroxBleach385	18
263	Z22n	18
263	12Magner05	18
263	Paintz	18
263	ougstur	18
263	Mweems	18
263	fluddd	18
263	PixelatedBoss	18
263	SingedBread	18
263	SUN_DREAM	18
263	Apicomplexa	18
263	AstroLightz_	18
275	Jahara	17
275	Prismyst	17
275	TerraVl	17
275	Boipl	17
275	Kim_Jong_eel	17
275	Deathkob	17
275	lordpipe	17
275	radioactv_jelly	17
275	ConnorDanky_	17
284	xExpresso	16
284	DinoDoctor_	16
284	Dipjol	16
284	PhantomBionic	16
284	Shazzyling	16
284	TheFlfthHorseman	16
284	Sleepy_Evelyn	16
284	TheDankPlatypus	16
284	U_Mos_	16
284	Inconvenionce	16
284	TheWildMateo	16
284	Cattoh	16
284	Kryktal	16
284	EdGalbraith	16
284	PartyPhoenix	16
284	Cyntrical	16
284	marumochis	16
