rank	username	minecraft:killed/minecraft:squid
211	Quotary	15
211	00000000-0000-0000-0009-01ff0c3e5e4f	15
229	Paint	14
229	Tommhh	14
229	Sleek_Storm_721	14
229	ExtraDumb	14
229	Killercatty78	14
229	SyntheticSurgeon	14
229	eiC_	14
229	DemTechAlpha	14
229	MAns_44	14
229	layabout100	14
229	tsitrawhy	14
229	Njensen7	14
229	KingMatthew506	14
242	PegLegPete93	13
242	jordanchohat	13
242	Gryglu583	13
242	Fuhrer_Teemo	13
242	MyNameIsDakar	13
242	MovingFish7	13
248	Jalvajar	12
248	diamondgolem35	12
248	Nicky_H225	12
248	Covalents	12
248	TheDankPlatypus	12
248	SpouHn	12
248	monky_irl	12
248	Hermanni__	12
248	Zoeyfortnite	12
257	_Virify_	11
257	6king6colt6	11
257	H72l9w	11
257	Stynxy	11
257	theonlymagikarp	11
257	Zaridey	11
257	StinkyDiplomat	11
257	Luigipunch989	11
257	smogfrog	11
266	I_Am_Mushkin	10
266	RatatJuice	10
266	ShedJr_	10
266	heckface	10
266	Malorn_Aetherius	10
266	CyrusIsTired	10
266	thescout7	10
266	Karetoko	10
266	pappaberg	10
266	SokaOtaku	10
266	LeGold	10
266	KeruNatsema	10
266	Vellu21	10
266	AltnumberF4	10
280	PhantomsGhost_	9
280	eviltunix	9
280	ILoveCarrot	9
280	NameGenerat0r	9
280	ReyTheLegend	9
280	stellarjay	9
280	Kubeusz2010	9
287	Hormones	8
287	Myszoaz	8
287	The_Fulgurator	8
287	The11thDoctor	8
287	Mattesco	8
287	SpookyDraggin	8
287	MinuteMira	8
287	Lutres_Torane	8
287	DanTheBuilderino	8
287	Hisiste	8
287	33sudo	8
287	stahouo	8
287	NATE_the_HALO	8
287	UrbanPlanner1978	8
