rank	username	minecraft:killed/minecraft:slime
211	WatchMojoTop10	53
211	RebytreGT	53
211	Katthaj	53
211	Quotary	53
216	Morgf	52
216	ConcretePirate	52
216	WyngGoy	52
216	MrTentacles2169	52
220	elliebelle107	51
221	MrExplorer	50
221	KeruNatsema	50
223	himak1	49
223	IamCL4SSY	49
223	jnp_gaming	49
226	ZaneABrain	48
226	mariominejedi	48
228	Ssor69	47
228	Hamsanders	47
230	4774	46
230	NameGenerat0r	46
232	Dan_Scha	45
232	cog	45
234	r123moore	44
234	ooga47	44
236	godipose	43
236	Powowowow	43
238	Juansinmiedo18	42
238	Elastiq	42
240	KGTV	41
240	LexMakesHistory	41
240	QuesoCrusaderIII	41
243	tuckerdoodle	40
243	Ryker	40
243	Gab4101	40
243	bloomkieren	40
247	teslawolf38	39
247	Niklas20114552	39
247	Jonafrog99	39
247	Dakar_	39
247	Sral7	39
247	00000000-0000-0000-0009-01f570995a20	39
253	Apollo_993	38
253	cheerytomato	38
253	SlayerCrypto	38
256	TheDankPlatypus	37
256	theofiel	37
256	8092_	37
256	Aezekial	37
256	layabout100	37
261	thebaddruid	34
261	wezzzi	34
263	gabukun_	33
263	Hahaa_0	33
263	PlzNoBM	33
266	gren_ben	32
266	Pofen	32
266	_Cloverbelle_	32
266	LordSpeed37	32
266	Nicserso	32
266	WYFYoyo	32
266	00000000-0000-0000-0009-01ff0c3e5e4f	32
273	ExtraDumb	31
273	SaucyDark	31
273	SpaceGrenadier	31
273	jacxhadow	31
273	_Nuf	31
273	GravitySaint	31
273	Luigipunch989	31
273	Western_1	31
281	rpmm	30
281	TheMiddayMoon	30
281	BlankityMcBlank	30
281	laron58	30
285	Napoleonpancake	29
285	Scathra	29
285	Nach0Bear	29
285	PegLegPete93	29
285	eiC_	29
285	QueenCamilla	29
285	F_Uhre	29
285	FishyBoy3811	29
285	Luminad3	29
285	yulgur1	29
285	fluddd	29
296	Ze1ig	28
296	soundad	28
296	skroobiez	28
296	The_Fulgurator	28
296	WraitheDX	28
