rank	username	minecraft:killed/minecraft:blaze
247	OG_Songsee	20
247	AssFullaCum	20
253	Tommhh	19
253	BilboBaggins23	19
253	Covalents	19
253	Blamphe	19
253	Shin69	19
258	_Magdo_	18
258	xo_Marren_xo	18
258	ebanana	18
258	little_dUki	18
262	teslawolf38	17
262	Ardennes	17
262	ehunt54	17
262	ImDisconnected_	17
262	Donutt	17
262	SwooshBoi	17
262	DamagedSin	17
262	IAmTheWalrus910	17
262	07shiny	17
262	annoyingenderman	17
262	Njensen7	17
262	anbbang	17
262	FelixPSY375	17
262	Yogscast_Manden	17
276	tuckerdoodle	16
276	TheFlfthHorseman	16
276	SharpDev	16
276	Nyxiom_	16
276	stuy9	16
276	GoofyBread	16
276	FlashMigma	16
276	lcvezra	16
284	Matemaks2137	15
284	KomputerDude	15
284	Awyrlas	15
284	ClemenPine	15
284	amkold	15
289	_stets	14
289	hm947	14
289	FirsTimeGamingTV	14
289	Master_Kol	14
289	Kubelz	14
289	selectrix	14
289	audiocracked	14
289	Kijiki	14
289	NATE_the_HALO	14
298	fanofbands101	13
298	Khelvoryk	13
298	egglapras	13
