rank	username	minecraft:killed/minecraft:stray
147	Natofthese	2
147	T045RTY	2
147	Zlatovlas	2
147	KomputerDude	2
147	Cartoonmaniac	2
147	tramizu	2
147	Cortexia	2
147	Laykon	2
147	IforgotCS_Source	2
147	purpolepickle	2
147	Zaridey	2
147	Hyp3rion_	2
147	PigDab	2
147	jewbacaman	2
147	SullivanNephew	2
147	stuy9	2
147	NoChumpChange	2
147	Jiminbub	2
147	EveryonesUncle	2
147	fkGrim	2
147	proxivitoid	2
147	Blu3beast	2
147	Steven1282598	2
147	fluddd	2
147	ElKaySVK	2
147	lordpipe	2
147	Optiprimus	2
147	Princesse_Louise	2
147	Nekomin0	2
147	_schi	2
147	Haadrada	2
147	RadarHz	2
147	AltnumberF4	2
147	trexgb	2
147	diggydog67	2
187	Gary_	1
187	Jovaphobic	1
187	Thaumatarge	1
187	Bandito_Roamer	1
187	lewieinnit	1
187	KarlKaek	1
187	Frozt99	1
187	_Razar	1
187	RebelAndroid	1
187	ewsophie	1
187	Silenttieg	1
187	jimintyy	1
187	AlazelTheReal	1
187	SteveWithClout	1
187	EvenMina	1
187	Swalt	1
187	titanlax	1
187	Adlair	1
187	MrExplorer	1
187	MattieHD	1
187	lordofthelight95	1
187	CyrusIsTired	1
187	Tmb1	1
187	mwrty	1
187	LotusProject	1
187	surfinggiraffejp	1
187	__crux	1
187	hcb238	1
187	SpicyMeatballs	1
187	Paintz	1
187	CryForHelpPT	1
187	Peeing	1
187	ImDisconnected_	1
187	mariominejedi	1
187	MyNameIsJobo	1
187	Doom_melon	1
187	thewindmillman	1
187	pappaberg	1
187	SourPapaSmurf	1
187	Kouridragon	1
187	CTH_98	1
187	Onennon	1
187	Kynigito	1
187	Sqwishy	1
187	FungalCat	1
187	Project_MKBRD	1
187	Eerini	1
187	thgrocks	1
187	yulgur1	1
187	Fuhrer_Teemo	1
187	HellsSponge	1
187	Quincannon	1
187	Shogunite	1
187	MAns_44	1
187	Freak_Genius	1
187	Nycteus_	1
187	MightyWertu	1
187	Barlycorn	1
187	LeadenKey	1
187	Omar_Alone	1
187	KG1999	1
187	SvenskaHugo	1
187	underscore_2	1
187	CLUBN2	1
187	xof_on_microwave	1
187	Dreamdbr14	1
187	KingMatthew506	1
187	TheGameArchitect	1
187	alderban107	1
187	scarletwarrior1	1
187	BreadBacon	1
187	smogfrog	1
187	Lowjinx	1
187	HesDemonPants	1
187	Powowowow	1
187	2blox	1
187	vandmanden	1
187	kinas45y5	1
187	Zoeyfortnite	1
187	SilentKarma	1
