rank	username	minecraft:killed/minecraft:bat
178	Majonezzon	4
178	KingMatthew506	4
178	hermmm_	4
178	UrbanPlanningEx	4
178	DkansK	4
206	j5ylim	3
206	Froste131	3
206	abramgray	3
206	_stets	3
206	BPTY4618	3
206	PizzaJake	3
206	_darky1_	3
206	I_Am_Mushkin	3
206	EkkoTraveler	3
206	Ryan_GEMS	3
206	ImpavidArcher	3
206	Wooptey	3
206	MoistMicrowave	3
206	chlorinex	3
206	CliffEmAll	3
206	Hamsanders	3
206	StanceTB	3
206	zorin123	3
206	Tmb1	3
206	paranoid_plant	3
206	mwrty	3
206	emrekn	3
206	eviltunix	3
206	XboxPanda	3
206	Zaridey	3
206	PeteO1995	3
206	DaviusMaximoose	3
206	ooga47	3
206	Forcolp	3
206	ougstur	3
206	sammidk	3
206	Maenara	3
206	Lord_Jord	3
206	Wowful	3
206	That_tech_head	3
206	natajimi	3
206	audiocracked	3
206	kkatsuragi	3
206	kiluaemc	3
206	NYJ	3
206	emreknugrlu	3
206	DarkS0L	3
206	Manaateee	3
206	DarlaMeow	3
206	1442	3
206	NameGenerat0r	3
206	EfficientC52	3
206	blackeemperor	3
206	censorsheep	3
206	GravitySaint	3
206	RedcatVII	3
206	SingedBread	3
206	Aezekial	3
206	layabout100	3
206	StarCookiees_	3
206	Sank34	3
206	_Tilariel_	3
206	Kijiki	3
206	miramyu	3
206	stellarjay	3
206	_TCARREIRA_	3
206	Western_1	3
206	obzii	3
206	Slovitypagus	3
206	Soffbord	3
206	Erased_Identity	3
206	Iamthejo	3
206	Creeper_ez	3
206	FelixPSY375	3
275	MunkaKris	2
275	Batoser	2
275	seanitoo	2
275	Tobinator_007	2
275	Frigzy_	2
275	Elprone266	2
275	LJW517	2
275	Healthing	2
275	KingFaenor	2
275	Tommhh	2
275	EMC_	2
275	6king6colt6	2
275	diamondgolem35	2
275	gren_ben	2
275	ssleepless	2
275	CryoInferno_	2
275	hm947	2
275	Lukeee33	2
275	Killercatty78	2
275	Franco093	2
275	ryan521	2
275	KomputerDude	2
275	Huwulling	2
275	Myszoaz	2
275	stevewithclout	2
275	oreee	2
