rank	username	minecraft:killed/minecraft:wandering_trader
132	Werbe	1
132	Btabtab	1
132	The11thDoctor	1
132	RohnJosin	1
132	RobotMinion101	1
132	DeeDeeThonk	1
132	Onennon	1
132	LeCavalier636	1
132	F_Uhre	1
132	Mattesco	1
132	jewbacaman	1
132	DC_XII	1
132	XeroByMyth	1
132	FishyBoy3811	1
132	YahooScreen9000	1
132	Drewen24	1
132	groofles	1
132	KliBeast21	1
132	Maenara	1
132	IamCL4SSY	1
132	Choco_Spy	1
132	xDraggin	1
132	Wowful	1
132	Hahaa_0	1
132	Joestra	1
132	_Crimson_Legate	1
132	yulgur1	1
132	TheSeismicDuck	1
132	Vanni9	1
132	XxCookiequeenxX	1
132	Quinasin	1
132	Syropatathe	1
132	fkGrim	1
132	KlausVonStiglitz	1
132	emreknugrlu	1
132	Toiton	1
132	Tyrannosplart	1
132	handsome_strong	1
132	Manaateee	1
132	Dakar_	1
132	Fuad_R	1
132	Soap_Bender	1
132	HellsSponge	1
132	_Karmaa	1
132	Quincannon	1
132	AstreaTSS	1
132	Shogunite	1
132	thatsjustfrankie	1
132	Umprella	1
132	TiborSterle	1
132	kalzor	1
132	El_Jalapeno	1
132	blackeemperor	1
132	censorsheep	1
132	Xclax101	1
132	Gus2005	1
132	the__Reaper4999	1
132	lunkuku	1
132	MS_Pryxx	1
132	Warlord324	1
132	LazySupport00	1
132	lordpipe	1
132	monky_irl	1
132	NiveauSubmarine	1
132	shuniji_	1
132	IlkeCookes_	1
132	_Mythic____	1
132	MustardSquid	1
132	SvenskaHugo	1
132	IdeallyGrey	1
132	BlankityMcBlank	1
132	Soplight	1
132	SSytex_X	1
132	LeEricc	1
