rank	username	minecraft:killed/minecraft:drowned
209	KingMatthew506	29
215	Sleek_Storm_721	28
215	Hiryu27	28
215	cedric72	28
215	Quincannon	28
215	Typadopoulos	28
215	Fizznut909	28
215	Sral7	28
222	ShedJr_	27
222	heckface	27
222	Z3braYTIL	27
222	natajimi	27
222	Njensen7	27
222	laron58	27
228	Myszoaz	26
228	intropass	26
228	xxPipperDipperxx	26
228	WET_WET_WET	26
228	ooga47	26
228	KeruNatsema	26
228	masskedman	26
228	MasterNueve	26
236	LittleBug562	25
236	SingedBread	25
236	FelixPSY375	25
239	diamondgolem35	24
239	IWorkAtIkea	24
239	r123moore	24
242	Groovy_MoonBird	23
242	fkGrim	23
242	jcool7	23
245	RebelAndroid	22
245	MattieHD	22
245	TheDankPlatypus	22
245	JitteryJared2	22
245	Soap_Bender	22
245	Vorlice	22
245	BlankityMcBlank	22
245	MilleGrug	22
245	TechnoNinja64	22
254	MrExplorer	21
254	Ardennes	21
254	redikul	21
254	eviltunix	21
254	LeauVox4921	21
254	eiC_	21
254	Rebytre	21
254	cichy096	21
262	Alexanderjac	20
262	BigBootyHudge	20
262	Sleepy_Time_	20
262	AlphaWolfPlaysMC	20
266	Drlzyy	19
266	Hyugo	19
266	2Stout	19
266	loveseeker	19
266	Hoid_the_Roamer	19
266	Shiirazuku	19
266	KnightmareD	19
266	GravitySaint	19
266	TheEnderman548	19
266	Juh1s	19
266	DennyKai	19
266	Miko_Fullbuster	19
266	trexgb	19
279	Flores991	18
279	Franco093	18
279	H72l9w	18
279	ApophisNova	18
279	Onennon	18
279	Keeogwi	18
279	MyNamaSheff	18
279	FallenCorps	18
287	fanofbands101	17
287	TooManyDuck	17
287	Rasaq	17
287	impossibleteapot	17
287	Voxin2K	17
287	AuroraSkies	17
287	Fuad_R	17
287	Groundler	17
287	LordSpeed37	17
287	PortlyPete69	17
287	PlzNoBM	17
298	Menthas	16
298	Natty	16
298	Huwulling	16
