rank	username	minecraft:killed/minecraft:tropical_fish
127	KevinLevrone9983	3
127	Warlord324	3
127	SkateboardR6	3
127	MovingFish7	3
127	lordpipe	3
127	SSytex_X	3
127	NATE_the_HALO	3
127	Western_1	3
158	wylify	2
158	Jalvajar	2
158	Jorrdi	2
158	KingFaenor	2
158	6king6colt6	2
158	Sleek_Storm_721	2
158	myaccountwasgone	2
158	77Holly7	2
158	ZaneABrain	2
158	Archsam	2
158	MSK__	2
158	TheMaster972	2
158	titanlax	2
158	NieToksikpl	2
158	ZigzagLily43042	2
158	I_Moose	2
158	ProfessorBee	2
158	poopybh	2
158	TheDiamondCG	2
158	mwrty	2
158	Roenfire	2
158	Noah_Bez	2
158	ARandomHedge	2
158	platinumzero	2
158	arcanemagic	2
158	ZeroAbyssTTV	2
158	gangloot	2
158	AJplaysMC_	2
158	Chromary	2
158	Rumpletaezer	2
158	Mattesco	2
158	Kynigito	2
158	jewbacaman	2
158	ChampBoii	2
158	EdGalbraith	2
158	natajimi	2
158	TheSeismicDuck	2
158	Inbefour	2
158	Fuhrer_Teemo	2
158	Manaateee	2
158	Shogunite	2
158	E775	2
158	kalzor	2
158	LuisCarreroBla	2
158	_k2x	2
158	LokisCharredFace	2
158	Sank34	2
158	Pumpkin_P_Patch	2
158	Segotep999	2
158	truonggojo777	2
158	_TCARREIRA_	2
158	Steelynan	2
158	hermmm_	2
158	Skippeh	2
158	Enderxz3	2
158	Oxygen16	2
158	PlasticOtari	2
158	Zoeyfortnite	2
158	Yamdalorian	2
217	j4ck811	1
217	JaytheGeek	1
217	Groovy_MoonBird	1
217	HazyDrummer	1
217	Mr_Byzantine	1
217	Elprone266	1
217	JohnnyFyes	1
217	SlowMoNinja1994	1
217	shineh10	1
217	TooManyDuck	1
217	Ryker	1
217	MoistMicrowave	1
217	Prismyst	1
217	spaece	1
217	brandonjames_h	1
217	Gregward_Smith	1
217	MrKrabOnCoke	1
217	Historical_Sand	1
217	Swexti	1
217	Digcove	1
217	Whiterooster001	1
217	FirsTimeGamingTV	1
217	heckface	1
217	Euclidoris	1
217	Mubb_	1
217	Crowman1	1
217	Comma__	1
217	Tiberonus	1
217	catandmoose	1
217	TheWaterWraith	1
217	slkiey	1
217	UncreativeArtist	1
217	Scathra	1
217	dragon589	1
217	Septemb3r	1
217	Stiar	1
217	gcaisawesome	1
217	r123moore	1
217	Covalents	1
217	Bolete	1
217	Mobstr	1
217	ImDisconnected_	1
217	Killtroxx	1
217	Doom_melon	1
217	fragrantmonke444	1
217	Norrhede	1
217	hanaryheatwave	1
217	Arceus1975	1
217	U_Mos_	1
217	thebaddruid	1
217	grislgrobl	1
217	Voxin2K	1
217	RohnJosin	1
217	LittleOoccoo	1
217	epiksk8erduck	1
217	J4k__	1
217	TheShyPig	1
217	Y_A_N_N_I	1
217	ADEXTV	1
217	fw3xy74	1
217	ReSynced	1
217	Syropatathe	1
217	fkGrim	1
217	Veillax135	1
217	Deathkob	1
217	AspenLightVT	1
217	MinuteMira	1
217	majlin16	1
217	Quaintster	1
217	MightyWertu	1
217	RedcatVII	1
217	Groundler	1
217	silverpopcorn	1
217	Toriankel	1
217	Jjackoe	1
217	geekbird	1
217	FiguraDei	1
217	ItsDeltaMC	1
217	Kura2218	1
217	MariamHatesYou	1
217	Kukkelikuk	1
217	IdeallyGrey	1
217	morose_moose	1
217	TheKingK_	1
