rank	username	minecraft:killed/minecraft:zombie_villager
91	PhantomsGhost_	15
91	livingdaydreams	15
91	ROY4LE	15
91	xxPipperDipperxx	15
91	Zythose	15
91	Tyrannosplart	15
91	MAns_44	15
91	skitzxo	15
99	Blackberry1310	14
99	m_be9	14
99	benediktine1	14
99	Arceus1975	14
99	Galactic_Badger	14
99	masskedman	14
99	Manaateee	14
99	DanTheBuilderino	14
99	MS_Pryxx	14
99	Eraxa	14
99	pixelviolin	14
99	Soplight	14
111	diamondgolem35	13
111	Secret_Canary	13
111	himak1	13
111	Kubelz	13
111	Zaridey	13
111	crashomon	13
111	burbankbuilder28	13
111	kars0n	13
111	Elastiq	13
111	Racengan	13
111	SkateboardR6	13
111	ItsDeltaMC	13
111	LordSpeed37	13
111	TheKingK_	13
111	Fizznut909	13
111	miramyu	13
111	hermmm_	13
128	H0UNDFRMH3LL	12
128	SyntheticSurgeon	12
128	Nicky_H225	12
128	CollinMH06	12
128	Werbe	12
128	The11thDoctor	12
128	AlexxO_o	12
128	Inbefour	12
128	emreknugrlu	12
128	Hisiste	12
128	obzii	12
128	vandmanden	12
128	TheWickedBird	12
141	CLG_Kata	11
141	soundad	11
141	Lez_	11
141	Historical_Sand	11
141	QuiCreans	11
141	Valoth	11
141	corvidpartyfor6	11
141	Awyrlas	11
141	SellyZ	11
141	M_Patata	11
141	Wowful	11
141	Deodorante	11
141	DarlaMeow	11
141	mihimihimihi	11
141	monky_irl	11
141	MilleGrug	11
141	CattSoup	11
141	Sral7	11
141	00000000-0000-0000-0009-01ff0c3e5e4f	11
160	Mr_Byzantine	10
160	teslawolf38	10
160	Gregward_Smith	10
160	Tersea_	10
160	NieToksikpl	10
160	Crowman1	10
160	Smashic	10
160	NoChumpChange	10
160	Meatlaugh	10
160	JESS_THE_RERE	10
160	claivin	10
160	Blu3beast	10
160	blackeemperor	10
160	Gus2005	10
160	MasterNueve	10
160	SSytex_X	10
160	SpacesickPrism	10
160	Skippeh	10
178	_Virify_	9
178	PazinGaming	9
178	ECstardust	9
178	MattieHD	9
178	_Dean_123	9
178	TheDankPlatypus	9
178	whoaluv	9
178	TheSeismicDuck	9
178	fkGrim	9
178	Njensen7	9
178	Eczbek	9
178	annebolyn	9
190	fanofbands101	8
190	SmashingPump	8
190	ExtraDumb	8
190	Killercatty78	8
190	MrKrabOnCoke	8
190	jacxhadow	8
190	bloodbiter	8
190	i2f8x4h8ro	8
190	Nach0Bear	8
190	Krowuss	8
190	OreTheBear	8
190	Onennon	8
190	F_Uhre	8
190	Vetral1	8
190	Dakar_	8
190	Shogunite	8
190	weabis	8
190	Quaintster	8
190	Cyntrical	8
190	fluddd	8
190	Kura2218	8
190	stavgod	8
190	xzvu	8
190	ZeroKraken	8
190	TheBananaKat	8
190	Iamthejo	8
190	ConnorDanky_	8
190	RadarHz	8
190	Legendosh	8
219	dudcreeper	7
219	dimondking777	7
219	bigstankyy	7
219	Creativebuilder2	7
219	BlancoFlaco	7
219	Humpcat	7
219	Ssor69	7
219	Tiberonus	7
219	crying_wolf_13	7
219	lorpus	7
219	fragrantmonke444	7
219	Rumpletaezer	7
219	selectrix	7
219	epiksk8erduck	7
219	Maenara	7
219	IamCL4SSY	7
219	BumbleBeever	7
219	wwwwinnebagoooo	7
219	Airem_Core	7
219	ayamefag	7
219	SammiWolfGirl	7
219	PlzNoBM	7
219	Dogcorn69420	7
219	CalebDHawk	7
219	jcool7	7
219	Quotary	7
219	TechnoNinja64	7
219	diggydog67	7
247	seanitoo	6
247	Bandito_Roamer	6
247	I_Am_Mushkin	6
247	Qalech	6
247	gren_ben	6
247	Flores991	6
247	lotarp	6
247	poopybh	6
247	Kamflame	6
247	fade_emerge78823	6
247	LeauVox4921	6
247	Septemb3r	6
247	2Stout	6
247	platinumzero	6
247	XboxPanda	6
247	Windo_licker	6
247	yheece	6
247	Jonafrog99	6
247	Samificator	6
247	ougstur	6
247	Rasmanden	6
247	fw3xy74	6
247	Lord_Zacler	6
247	DarkS0L	6
247	Quincannon	6
247	SingedBread	6
247	Barlycorn	6
247	Cocoamallows	6
247	StarCookiees_	6
247	tsitrawhy	6
247	laron58	6
247	HesDemonPants	6
247	UrbanPlanningEx	6
247	Zoeyfortnite	6
247	FishisTTV	6
282	TheBiggestFeller	5
282	xExpresso	5
282	Groovy_MoonBird	5
282	_Huge_Male_	5
282	Apollo_993	5
282	RoskobiOne	5
282	_stets	5
282	BPTY4618	5
282	Tommhh	5
282	6king6colt6	5
282	Sleek_Storm_721	5
282	Gemstuff	5
282	hm947	5
282	Natty	5
282	ShedJr_	5
282	fr0stss	5
282	Swexti	5
282	IWorkAtIkea	5
282	Sleepy_Time_	5
