rank	username	minecraft:killed/minecraft:skeleton_horse
105	ShedJr_	13
105	Yirtle	13
105	The11thDoctor	13
105	AlphaWolfPlaysMC	13
105	SSytex_X	13
105	Steelynan	13
105	HesDemonPants	13
105	xolstoi	13
113	H72l9w	12
113	Awyrlas	12
113	r123moore	12
113	Rumpletaezer	12
113	Werbe	12
113	wwwwinnebagoooo	12
113	Skippeh	12
120	bigstankyy	11
120	Lez_	11
120	MinttyFressh	11
120	MattieHD	11
120	Inchef	11
120	M_Patata	11
120	legal_tax_evader	11
120	Jackattack53	11
120	Chromary	11
120	luseis	11
120	MasterNueve	11
120	LordSpeed37	11
120	gusstationwerker	11
133	Jackster03	10
133	Marbz_	10
133	El_Jalapeno	10
133	RoboTramp7865	10
137	dudcreeper	9
137	Cowison	9
137	Kakolbus	9
137	killmeiamtraitor	9
137	Fuad_R	9
137	Travka100	9
137	Xclax101	9
137	Strangemonkey71	9
137	Mythic1130	9
137	Kowcio_	9
137	Powowowow	9
137	UrbanPlanningEx	9
149	Historical_Sand	8
149	Windo_licker	8
149	_Boipl_	8
149	Hiryu27	8
149	ooga47	8
149	SaintJosie	8
149	Coolbou0427	8
149	SUN_DREAM	8
149	non089	8
149	Wolverine4302	8
159	TheBiggestFeller	7
159	Merv__	7
159	Seyaboy	7
159	MrExplorer	7
159	set67	7
159	UncreativeArtist	7
159	Xalithia	7
159	ItsRyanM8	7
159	XboxPanda	7
159	jedi_george	7
159	rpyoungg	7
159	thewindmillman	7
159	TheWildMateo	7
159	Kynigito	7
159	EfficientC52	7
159	Warlord324	7
159	SkateboardR6	7
159	Paigefly	7
159	monky_irl	7
159	IAmTheWalrus910	7
159	layabout100	7
159	Kura2218	7
159	ayamefag	7
159	Sank34	7
159	lcvezra	7
159	obzii	7
159	MissCeleste7	7
159	RadarHz	7
187	Mr_Byzantine	6
187	chipklip	6
187	Ze1ig	6
187	DinoDoctor_	6
187	Huwulling	6
187	gaziter10	6
187	heckface	6
187	Vizzoid	6
187	titanlax	6
187	Malorn_Aetherius	6
187	theonlymagikarp	6
187	Rebytre	6
187	ApophisNova	6
187	binman420	6
187	Gryglu583	6
187	Meepcraft	6
187	NYJ	6
187	Lifedy	6
187	lordpipe	6
187	07shiny	6
187	luckykill123	6
187	LeeMcGee30	6
187	VentiHilton	6
187	MyNamaSheff	6
211	Tommhh	5
211	6king6colt6	5
211	RebelAndroid	5
211	lotarp	5
211	ThiccExotic	5
211	fr0stss	5
211	Ssor69	5
211	Stynxy	5
211	picardred	5
211	o0z	5
211	Masssonnn	5
211	Kubelz	5
211	fallingemma	5
211	CollinMH06	5
211	Oliver_Frost	5
211	HyperCave	5
211	epiksk8erduck	5
211	cedric72	5
211	Shavrin	5
211	zToasty69z	5
211	ReSynced	5
211	Lutres_Torane	5
211	DarlaMeow	5
211	Quincannon	5
211	E775	5
211	weabis	5
211	Cyntrical	5
211	Godspirit249	5
211	33sudo	5
211	TheEnderMan548	5
211	__tomato	5
211	brofrickcheaters	5
211	Fizznut909	5
211	Iamthejo	5
211	2bolx_	5
246	Jalvajar	4
246	fanofbands101	4
246	livingdaydreams	4
246	Sebaschan__	4
246	Simon_Lowell	4
246	ccwildfire1	4
246	jushykins	4
246	Nicky_H225	4
246	shyshyannne	4
246	slkiey	4
246	Groyperbuscus	4
246	Smashic	4
246	ROY4LE	4
246	Stiar	4
246	RIPB0ZO	4
246	mimbo1211	4
246	PuustaKauasPdnt	4
246	Itz_DuongVN	4
246	gabriels543	4
246	Smussa	4
246	KeruNatsema	4
246	Maenara	4
246	TheSeismicDuck	4
246	Deodorante	4
246	_Bguette_	4
246	Katthaj	4
246	YungWali	4
246	WeebleSock	4
246	Quaintster	4
246	SingedBread	4
246	Typadopoulos	4
246	Toriankel	4
246	MovingFish7	4
246	Dusk_95	4
246	Mythcore	4
246	PabloGonza02	4
246	xzvu	4
246	Chuglyfe	4
246	jcool7	4
246	Dreamdbr14	4
246	Hermanni__	4
246	ZoomieZoomie	4
246	BreadBacon	4
246	Jordan_R	4
246	Zcolt69	4
246	Kateesaur	4
292	MunkaKris	3
292	CadenSteele	3
292	Ailmast	3
292	SlowMoNinja1994	3
292	gren_ben	3
292	SaucyDark	3
292	Tolhart	3
292	Flores991	3
292	SyntheticSurgeon	3
