rank	username	minecraft:killed/minecraft:glow_squid
145	MyNamaSheff	5
161	Groovy_MoonBird	4
161	diamondgolem35	4
161	Creativebuilder2	4
161	gren_ben	4
161	Saltymart	4
161	eitanzaki	4
161	SOA1RR	4
161	Valoth	4
161	_vlex	4
161	Nicky_H225	4
161	ROY4LE	4
161	JitteryJared2	4
161	Skylord_Luke	4
161	Shortest_Man	4
161	Penguinllama517	4
161	420BreadLizard	4
161	NomadicRobin_	4
161	masskedman	4
161	StinkyDiplomat	4
161	QuesoCrusaderIII	4
161	Spacewardharpy7	4
161	Cache3	4
161	IdeallyGrey	4
161	MrShojo	4
161	Soplight	4
161	LeEricc	4
161	Skippeh	4
161	Iamthejo	4
161	2blox_	4
190	NatalieTW	3
190	MoonWatcher19	3
190	ImpavidArcher	3
190	Myszoaz	3
190	CaracolCxnt	3
190	Chickenchaser2	3
190	MinttyFressh	3
190	Xalithia	3
190	CharlieButt	3
190	ZeroAbyssTTV	3
190	Pandarus_	3
190	Di_infiri	3
190	Rocco_Lane	3
190	Galactic_Badger	3
190	RebytreGT	3
190	ScootOfBoot	3
190	Mattesco	3
190	Moofyman	3
190	HolyVenom	3
190	Hahaa_0	3
190	EdGalbraith	3
190	yulgur1	3
190	XxCookiequeenxX	3
190	El_Jalapeno	3
190	Gus2005	3
190	Ze_BaronKrigler	3
190	FadedSpade82	3
190	Pumpkin_P_Patch	3
190	PortlyPete69	3
190	obzii	3
190	mobunni	3
190	Paguz01	3
222	xExpresso	2
222	j5ylim	2
222	Lorcout	2
222	Frigzy_	2
222	IronArshXS	2
222	nattybears	2
222	TAKrules	2
222	MC_Gamer_Geek	2
222	iElijahi	2
222	Miroryk	2
222	titanlax	2
222	Tersea_	2
222	SteveCraftBlocks	2
222	crying_wolf_13	2
222	lorpus	2
222	Mookle96	2
222	bl1ss0	2
222	breadbowlgamer	2
222	Krowuss	2
222	LugusMcGrugus	2
222	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
222	Nadhorion	2
222	Samificator	2
222	zToasty69z	2
222	fw3xy74	2
222	emreknugrlu	2
222	_Karmaa	2
222	AstreaTSS	2
222	Vegvisir	2
222	mihimihimihi	2
222	Druid95	2
222	extralargenose	2
222	NiveauSubmarine	2
222	EtherealEspresso	2
222	Gustavo64	2
222	ediballbearings	2
222	_i_ERROR_i_	2
222	SpacesickPrism	2
222	WigglyMustard	2
222	_3Stump_	2
222	RadarHz	2
222	FishisTTV	2
222	00000000-0000-0000-0009-01ff0c3e5e4f	2
265	SygnalX	1
265	ThreeAmMan	1
265	_Huge_Male_	1
265	CloroxBleach385	1
265	Napoleonpancake	1
265	PazinGaming	1
265	Adem192	1
265	NotRemets	1
265	teslawolf38	1
265	Dumkii	1
265	Tommhh	1
265	jimbo61101jr	1
265	Flores991	1
265	tuckerdoodle	1
265	LagVibes	1
265	T045RTY	1
265	ZaneABrain	1
265	Lazy_geniusig	1
265	YairZaki	1
265	PhantomBionic	1
265	ShedJr_	1
265	MrKrabOnCoke	1
265	cyuar	1
265	SquadMonster	1
265	JuuustYeet	1
265	rarrq	1
265	gabukun_	1
265	Zxhir	1
265	xPixelRainx	1
265	SDMNAEK	1
265	Hetti301	1
265	kekhon	1
265	_Dean_123	1
265	Themelys	1
265	philandr	1
265	TerraVl	1
