rank	username	minecraft:killed/minecraft:silverfish
123	Astronicky	16
123	JMK208	16
123	groofles	16
123	Bloo2406	16
123	iGotUrHost	16
123	AvaRosey	16
123	Kura2218	16
123	QueenOfDirt	16
123	Enderxz3	16
132	RosaDoesMC	15
132	Winklepicker279	15
132	epiksk8erduck	15
132	TheTommyGun63	15
132	Ze_BaronKrigler	15
132	ProbsNotNova	15
132	vandmanden	15
139	FirsTimeGamingTV	14
139	potato292	14
139	drunkeeez	14
139	The_Cruncy	14
139	Sank34	14
144	fr0stss	13
144	King_Pancake1	13
144	PuFY	13
144	lizardfightclub	13
144	SwooshBoi	13
144	LordSpeed37	13
144	TheALV	13
144	xorompole	13
152	Bandito_Roamer	12
152	hollowww	12
152	Frozil20	12
152	ImpavidArcher	12
152	Humpcat	12
152	Meme25327	12
152	PeteO1995	12
152	SuperPooch06	12
152	The11thDoctor	12
152	_Cloverbelle_	12
152	PigDab	12
152	Lord_Jord	12
152	Deodorante	12
152	NYJ	12
152	YungWali	12
152	Rainaldus	12
152	anbbang	12
169	Chroikey	11
169	Allanon1235	11
169	Orcus113	11
169	Bumpy419	11
169	J4k__	11
169	DukBob	11
175	Kegradigm	10
175	Jackster03	10
175	elleparo	10
175	MattieHD	10
175	G1ldor	10
175	KeruNatsema	10
175	Meepcraft	10
175	monky_irl	10
175	33sudo	10
175	BuildTheGondola	10
175	pixelviolin	10
175	brofrickcheaters	10
187	diamondgolem35	9
187	maliraspberry	9
187	Da_Boss_Rani	9
187	xPixelRainx	9
187	boog4loo	9
187	orxngejuice	9
187	Kakolbus	9
187	killmeiamtraitor	9
187	Onennon	9
187	LilLizardWizard	9
187	non089	9
198	Mahoose	8
198	H72l9w	8
198	301851	8
198	Sparky_KT	8
198	Kamflame10	8
198	mwrty	8
198	surfinggiraffejp	8
198	BlueZabu	8
198	GOOBERGABE04	8
198	whoaluv	8
198	HAIRYCLOUD626	8
198	Kouridragon	8
198	NomadicRobin_	8
198	EveryonesUncle	8
198	FreakGenius	8
198	cog	8
198	sp00ky_ghost977	8
198	NeoJordache	8
198	MirielThePastor	8
198	MusicMe1005	8
218	seanitoo	7
218	teslawolf38	7
218	HollieDaNugget	7
218	RebelAndroid	7
218	chlorinex	7
218	_Dean_123	7
218	_lildarki3	7
218	Zythose	7
218	_Boipl_	7
218	Mattesco	7
218	Choco_Spy	7
218	BigCronkin	7
218	Nycteus_	7
218	geekbird	7
218	07shiny	7
218	krutas2000	7
218	SirBreadward	7
218	CattSoup	7
236	ProbablyNick	6
236	2xil2	6
236	BlancoFlaco	6
236	eitanzaki	6
236	Huwulling	6
236	Reamdin	6
236	Sebaschan__	6
236	dopplexd	6
236	ItsHydroMC	6
236	Cortexia	6
236	M_Patata	6
236	ZeroAbyssTTV	6
236	SpaggeDR	6
236	ChrisKyleST3	6
236	audiocracked	6
236	censorsheep	6
236	MasterNueve	6
236	Eraxa	6
236	Kyrum2169	6
236	Bawbman	6
236	__tomato	6
236	MilleGrug	6
236	Erased_Identity	6
236	FishisTTV	6
260	Bruh77	5
260	Krimys	5
260	Hpdinosaur	5
260	MOSS000	5
260	Ravenbie	5
260	Dali1465	5
260	intropass	5
260	mimbo1211	5
260	burbankbuilder28	5
260	Solar_Power	5
260	tobinwilliams	5
260	Corbsman	5
260	Moofyman	5
260	Skomo	5
260	CaptainAvenger7	5
260	brycepants	5
260	Lord_Zacler	5
260	DarlaMeow	5
260	SkateboardR6	5
260	Burge_r	5
260	Slapface522	5
260	skrongus	5
282	gary_	4
282	SaltineDream	4
282	Mr_Byzantine	4
282	PhantomsGhost_	4
282	BPTY4618	4
282	MrKrabOnCoke	4
282	ccwildfire1	4
282	rarrq	4
282	Chickenchaser2	4
282	prizm_	4
282	FennYuzuna	4
282	__Fanda__	4
282	Malware_Mara	4
282	andy_rex	4
282	ItsAki_	4
282	stuy9	4
282	420BreadLizard	4
282	_Karmaa	4
282	Blu3beast	4
