rank	username	minecraft:killed_by/minecraft:creeper
213	ComplexSquirrel	7
213	stavgod	7
213	jcool7	7
213	anbbang	7
213	HesDemonPants	7
237	Elprone266	6
237	Jalvajar	6
237	teslawolf38	6
237	openatheclose	6
237	Alteriity	6
237	SOA1RR	6
237	Myszoaz	6
237	IgnoredBee	6
237	QuiCreans	6
237	cheerytomato	6
237	firesgal3116	6
237	corvidpartyfor6	6
237	eclipseboi	6
237	_Dean_123	6
237	AngalexikCZ	6
237	imcombxt	6
237	M_Patata	6
237	mariominejedi	6
237	CollinMH06	6
237	UMosDiesIrae	6
237	ooga47	6
237	KliBeast21	6
237	TheTrueClipse	6
237	fw3xy74	6
237	NoChumpChange	6
237	JESS_THE_RERE	6
237	ProfessorDiaper	6
237	SUN_DREAM	6
237	MasterNueve	6
237	sp00ky_ghost977	6
237	Optiprimus	6
237	IdeallyGrey	6
237	Kijiki	6
237	infiniteQuery	6
237	SpacesickPrism	6
237	Kferno	6
237	laron58	6
237	Quotary	6
237	little_dUki	6
237	OrewaSora	6
237	Powowowow	6
237	2blox_	6
279	pintsizedrogue	5
279	seanitoo	5
279	Cowison	5
279	Badenbeele	5
279	TheMilkerOfCats	5
279	gren_ben	5
279	Flores991	5
279	SnowyAvi	5
279	Comma__	5
279	Raspberry_Sodas	5
279	Masssonnn	5
279	UncreativeArtist	5
279	Dali1465	5
279	Mookle96	5
279	SellyZ	5
279	2Stout	5
279	Covalents	5
279	ARandomHedge	5
279	purpolepickle	5
279	Gamergirl420628	5
279	prizm_	5
279	ZeroAbyssTTV	5
